seed,child,subset,centre_s,auc_base,drop
11,7,all,-0.16,0.40468341480050024,-0.0034216210071614794
11,7,odd,-0.16,0.46978173147468816,-0.0066489361702127825
11,7,even,-0.16,0.3418560606060606,-0.004554473304473339
11,7,first200,-0.16,0.39676330725571407,-0.0023009664058905033
11,7,first400,-0.16,0.41851966690290576,-0.001993267186392589
11,7,first800,-0.16,0.40468341480050024,-0.0034216210071614794
11,12,all,-0.16,0.5546444150434247,0.003317439316731896
11,12,odd,-0.16,0.5558784778733628,0.005076338835929506
11,12,even,-0.16,0.5548378522062732,0.002365762892078571
11,12,first200,-0.16,0.5382727412179783,0.0046019328117810065
11,12,first400,-0.16,0.5433203125,0.00037109374999999556
11,12,first800,-0.16,0.5568932191249915,-0.0009664537524897154
11,14,all,-0.16,0.5205811293597552,-0.003739686945793963
11,14,odd,-0.16,0.5361474766402472,-0.0036717226709883644
11,14,even,-0.16,0.5036147722823959,-0.004397755448257823
11,14,first200,-0.16,0.5617088607594938,-0.008815551537070365
11,14,first400,-0.16,0.568549624175487,-0.006653627857033273
11,14,first800,-0.16,0.5459763411386191,-0.0034312153111908383
11,21,all,-0.16,0.5856978653530378,0.000554187192118194
11,21,odd,-0.16,0.5578415356340617,-0.0006977060785514633
11,21,even,-0.16,0.6093184272375024,0.0013180461157341616
11,21,first200,-0.16,0.6398437499999999,0.006093750000000009
11,21,first400,-0.16,0.5969366424689293,0.004788871574626485
11,21,first800,-0.16,0.595595703125,0.0013720703125000844
11,23,all,-0.16,0.5673223350253807,0.00042829949238576415
11,23,odd,-0.16,0.5056999662416578,0.0018307408657717295
11,23,even,-0.16,0.6235691406153006,7.449159486505597e-05
11,23,first200,-0.16,0.5662296564195298,-0.0023357444243520264
11,23,first400,-0.16,0.5321751802423685,-0.0008820371222579837
11,23,first800,-0.16,0.5360083204541257,6.318101847802016e-05
11,24,all,-0.16,0.4970197131613794,-0.0010071056901470588
11,24,odd,-0.16,0.5010589557399723,-0.0011057803135086086
11,24,even,-0.16,0.49329243733928185,-0.00020138178888989833
11,24,first200,-0.16,0.478025770823746,-0.001591501764074188
11,24,first400,-0.16,0.47861275591160646,-0.002118890049924549
11,24,first800,-0.16,0.49168826274535715,-0.0019858603804335795
11,24,rec:B4c144b0e31ac,-0.16,0.5001383224608905,-0.002016830720079854
11,24,rec:Bf454d333d715,-0.16,0.4903263167221498,-0.0030157082642430777
11,29,all,-0.16,0.5807775087436104,0.00043718052192620593
11,29,odd,-0.16,0.6226215644820297,0.003765856236786491
11,29,even,-0.16,0.5380241161962181,-0.004042203343381678
11,29,first200,-0.16,0.60625,0.008828124999999964
11,29,first400,-0.16,0.5805064500716675,0.0009157509157509125
11,29,first800,-0.16,0.5807775087436104,0.00043718052192620593
11,30,all,-0.16,0.6068973926213044,-0.0021498199926841544
11,30,odd,-0.16,0.6365182628560078,-0.0036873339458196597
11,30,even,-0.16,0.5746941489361701,-0.0014095744680852063
