seed,child,side,auc_base,drop
11,7,left,0.40468341480050024,-0.0012049562350801013
11,12,left,0.5546444150434247,0.013855958291305814
11,14,left,0.5205811293597552,-0.0034408975248670925
11,21,left,0.5856978653530378,-0.019675697865352948
11,23,left,0.5673223350253807,-0.007465101522842632
11,24,left,0.4970197131613794,-0.0023741584139950755
11,29,left,0.5807775087436104,0.046122545063223
11,30,left,0.6068973926213044,0.029946671629435206
11,33,left,0.5180713652216242,0.0204919945852588
11,37,left,0.5094282837568673,-0.007217589248582845
11,42,left,0.5258977991133496,0.0012230791427296772
11,48,left,0.6003431708991077,0.005749432448128311
11,49,left,0.5575354201831109,-0.01526456447240554
11,57,left,0.6094423558897243,0.020570175438596405
11,66,left,0.6162898550724638,-0.016124223602484444
11,7,right,0.40468341480050024,-0.025906559054222955
11,12,right,0.5546444150434247,0.02227891379242586
11,14,right,0.5205811293597552,0.006714729997172597
11,21,right,0.5856978653530378,0.04266830870279148
11,23,right,0.5673223350253807,-0.011449873096446739
11,24,right,0.4970197131613794,-0.010334023387232105
11,29,right,0.5807775087436104,-0.015990718321226782
11,30,right,0.6068973926213044,0.010062441040384451
11,33,right,0.5180713652216242,-0.008028754142743844
11,37,right,0.5094282837568673,0.019617177752971227
11,42,right,0.5258977991133496,0.02357952309750533
11,48,right,0.6003431708991077,0.013452299245024002
11,49,right,0.5575354201831109,0.027290803539460895
11,57,right,0.6094423558897243,0.008204887218045132
11,66,right,0.6162898550724638,0.040981366459627355
11,5,left,0.5433427672955975,-0.0026037735849056
11,8,left,0.5521567062423094,0.026016827962353273
11,10,left,0.6506903842969416,-0.0037767332849300006
11,11,left,0.5249342207088686,-0.03918511066398378
11,20,left,0.5427935353076034,0.01444703385816326
11,25,left,0.5936204304478556,0.0036299256211425046
11,27,left,0.47417009288868583,0.003654636820465962
11,40,left,0.5328722580645161,-0.009914838709677465
11,43,left,0.5668192675159236,-0.025099522292993615
11,45,left,0.5591008310540712,0.01718569193141173
11,50,left,0.6058473725060494,0.03952084189380456
11,56,left,0.5679679648241206,0.010549623115577944
11,58,left,0.5715331610680447,0.024279467302723123
11,62,left,0.6248346275524879,0.022537388553350635
11,69,left,0.5375457266378451,-0.014699035583638165
11,5,right,0.5433427672955975,0.019965408805031504
11,8,right,0.5521567062423094,-0.009900562040639826
11,10,right,0.6506903842969416,0.07765549568828245
11,11,right,0.5249342207088686,0.03685574988391893
11,20,right,0.5427935353076034,0.008231493586464356
11,25,right,0.5936204304478556,0.03973828928627943
11,27,right,0.47417009288868583,-0.00289008172173999
11,40,right,0.5328722580645161,0.03314064516129034
11,43,right,0.5668192675159236,0.11921111995753719
11,45,right,0.5591008310540712,0.01628576688407324
11,50,right,0.6058473725060494,0.01583687166141623
11,56,right,0.5679679648241206,0.0011746231155779219
11,58,right,0.5715331610680447,0.026157821506658685
11,62,right,0.6248346275524879,0.019995685936151975
11,69,right,0.5375457266378451,0.029318257399401415
11,4,left,0.5554080310880829,-0.010151786900491566
11,6,left,0.5615621895749464,0.008741569509071012
11,9,left,0.5162393162393162,-0.022222222222222254
11,16,left,0.5655605670103093,-0.019566589522406974
11,31,left,0.5729747945802897,0.012732552953187204
11,32,left,0.687403125,0.01903749999999993
11,46,left,0.5306420312780288,0.016776471355653078
11,47,left,0.507988110137672,-0.00301314142678355
11,55,left,0.5337757123710739,0.0218518734339489
11,59,left,0.5729467136408676,0.047528349664207936
11,63,left,0.5126131153794531,-0.00879845152904446
11,65,left,0.6439453477286197,0.03827076193666423
11,67,left,0.4981312814070351,0.018778266331658244
11,68,left,0.6939782042861661,0.03328346590770881
11,70,left,0.5274686451157039,0.03039313823627543
11,4,right,0.5554080310880829,0.02381343828882687
11,6,right,0.5615621895749464,0.017681811052438934
11,9,right,0.5162393162393162,0.02632850241545892
11,16,right,0.5655605670103093,0.04368622448979598
11,31,right,0.5729747945802897,0.01706495128405905
11,32,right,0.687403125,0.047059375000000125
11,46,right,0.5306420312780288,-0.004659904437305351
11,47,right,0.507988110137672,0.0012296620775968936
11,55,right,0.5337757123710739,-0.030672746343453183
11,59,right,0.5729467136408676,-0.014103269844764954
11,63,right,0.5126131153794531,0.010578627992568479
11,65,right,0.6439453477286197,-0.0025831636991420215
11,67,right,0.4981312814070351,-0.0366896984924624
11,68,right,0.6939782042861661,0.01343987934515567
11,70,right,0.5274686451157039,0.01168325187933028
11,0,left,0.6196064445749769,-0.004183099773433008
11,1,left,0.5294306871771116,0.028805819870941107
11,2,left,0.526675279931094,-0.0012919896640826156
11,3,left,0.6265425031168105,-0.0007505788362210941
11,19,left,0.6577049180327869,0.002922446406052881
11,22,left,0.5314052566035263,-0.002307137707281748
11,36,left,0.5066847729440483,0.02285109203485447
11,41,left,0.4882441842669115,0.02321510560146922
11,44,left,0.5000170575692964,-0.009159914712153494
11,53,left,0.541707559617047,-0.02865647971817986
11,60,left,0.4983814523184602,-0.007141294838145185
11,61,left,0.5345678745423621,0.005924068148404293
11,64,left,0.6260456593805035,0.01587589350460994
11,71,left,0.4835777024690504,-0.03828065564700189
11,0,right,0.6196064445749769,0.054841822606360724
11,1,right,0.5294306871771116,-0.034818860859663014
11,2,right,0.526675279931094,-0.0031223083548664876
11,3,right,0.6265425031168105,0.0479925196549883
11,19,right,0.6577049180327869,0.02672446406052953
11,22,right,0.5314052566035263,-0.0013960804876449462
11,36,right,0.5066847729440483,-0.002222868874985906
11,41,right,0.4882441842669115,-0.033475538210386735
11,44,right,0.5000170575692964,0.01768017057569299
