route,run,mode,control,estimate,ci_lower,ci_upper,n_candidates,units
A,A_L0_core_001,L0,alternate20:pre,-0.035132822340970066,-0.07378006393366225,0.0013428167457012418,55,cosine_difference
A,A_L0_core_001,L0,alternate20:background,0.34997171664828625,0.2833239872792334,0.4171187934293508,55,cosine_difference
A,A_L0_core_001,L0,alternate20:background_adjusted,0.04711098623688439,0.007561866097664315,0.08485207273218415,55,cosine_difference
A,A_L0_core_001,L0,alternate20:random_projection,0.01801004342080435,-0.02674394659101144,0.06277094053450065,55,cosine_difference
A,A_L0_core_001,L0,alternate20:paired_post_minus_pre,0.05354650606199978,0.006986029930170257,0.09783533131860324,55,cosine_difference
A,A_L0_core_001,L0,early_late20:pre,0.02277319242535412,-0.0128464608814635,0.05718222416677384,55,cosine_difference
A,A_L0_core_001,L0,early_late20:background,0.2897718431502354,0.2260493390232216,0.3531245210406133,55,cosine_difference
A,A_L0_core_001,L0,early_late20:background_adjusted,0.0330588070341164,-0.007169239835325672,0.07175856579226074,55,cosine_difference
A,A_L0_core_001,L0,early_late20:random_projection,0.027104332933650978,-0.004605447110702921,0.05875701773185004,55,cosine_difference
A,A_L0_core_001,L0,early_late20:paired_post_minus_pre,0.010607947148127319,-0.04419631412870264,0.06274256341902858,55,cosine_difference
A,A_L0_core_001,L0,alternate20_common40:pre,-0.019722458561598145,-0.05929187433364855,0.01935426916143746,38,cosine_difference
A,A_L0_core_001,L0,alternate20_common40:background,0.30939666543379046,0.23012537425288104,0.3906291723350755,38,cosine_difference
A,A_L0_core_001,L0,alternate20_common40:background_adjusted,0.049067617013607345,0.005114103953159197,0.09457725169802517,38,cosine_difference
A,A_L0_core_001,L0,alternate20_common40:random_projection,0.04100654723018945,-0.010754396500771953,0.09393964842649773,38,cosine_difference
A,A_L0_core_001,L0,alternate20_common40:paired_post_minus_pre,0.037833249543142725,-0.011785311284326416,0.0881894557716453,38,cosine_difference
