lane,branch,protocol_task,role,codes,sound_identity_status,onset_coordinate,export_coordinate,records,records_with_events,n_target_events,n_supported_epochs,literal_counts,unsupported_reasons,target_sample_collisions,unknown_sound_events,soa_min_over_records_s,soa_p05_median_over_records_s,soa_p05_min_over_records_s,soa_median_over_records_s,max_alignment_residual_ms,history_complete_fraction
mff_puretone,MFF,puretone,primary,"{""stad"": 0, ""devt"": 1}",literal source task label; acoustics not re-validated,original MFF sample from MNE annotations; no acoustic latency correction,D1 interval.start + (onset - interval.original_start_sample) // stride @250 Hz,41,41,34684,34567,"{""BAD_ACQ_SKIP"": 58, ""CELL"": 192, ""IBEG"": 2, ""IEND"": 2, ""ITI+"": 36547, ""SESS"": 48, ""TRSP"": 36547, ""bgin"": 36565, ""devt"": 5336, ""net"": 1, ""stad"": 30272, ""stm+"": 940}","{""epoch_after_interval_guard"": 73, ""onset_not_in_exported_interval"": 44}",924,928,0.761,0.78195,0.7783,0.873,3.0,0.8650736251337982
mff_bapa,MFF,bapa,primary,"{""stad"": 0, ""devt"": 1}",literal source task label; acoustics not re-validated,original MFF sample from MNE annotations; no acoustic latency correction,D1 interval.start + (onset - interval.original_start_sample) // stride @250 Hz,29,29,24043,23999,"{""BAD_ACQ_SKIP"": 35, ""CELL"": 124, ""ITI+"": 24643, ""SESS"": 31, ""TRSP"": 24642, ""bgin"": 24651, ""devt"": 3620, ""net"": 5, ""stad"": 20423, ""stm+"": 600}","{""epoch_after_interval_guard"": 41, ""epoch_before_interval_guard"": 2, ""onset_not_in_exported_interval"": 1}",0,0,0.961,0.982,0.9793499999999999,1.074,3.0,0.8666194424767699
bdf_puretone,HA_BDF,puretone_literal_1_2,primary,"{""1"": 0, ""2"": 1}",literal 1/2; 800 vs 1200 Hz mapping documented but not confirmed per record,BDF event-companion annotation seconds x 1000 Hz; header clocks equal (else held),D1 interval.start + (onset - interval.original_start_sample) // stride @250 Hz,93,93,91895,91895,"{""0"": 305, ""1"": 73569, ""2"": 18326, ""4"": 2}",{},0,307,0.527,0.734,0.716,0.781,3.0,0.7912182382066489
mff_unknown_event,MFF,unknown,supplementary_event_condition_layer,"{""stad"": 0, ""devt"": 1}",sound identity unknown; reported as stad/devt event-condition readability only,original MFF sample from MNE annotations; no acoustic latency correction,D1 interval.start + (onset - interval.original_start_sample) // stride @250 Hz,75,75,48546,48486,"{""BAD_ACQ_SKIP"": 75, ""CELL"": 300, ""IBEG"": 3, ""IEND"": 1, ""ITI+"": 50046, ""SESS"": 75, ""TRSP"": 50046, ""bgin"": 50061, ""devt"": 9048, ""net"": 4, ""stad"": 39498, ""stm+"": 1500}","{""epoch_after_interval_guard"": 60}",0,4,0.761,0.975,0.78,1.065,3.0,0.8392525677515159
mff_unknown_hdev_ldev,MFF,unknown,deferred_multi_deviant_event_layer,"{""stad"": 0, ""hdev"": 1, ""ldev"": 2}","two deviant literals; documented in scope tables, no binary readout in round 1",original MFF sample from MNE annotations; no acoustic latency correction,D1 interval.start + (onset - interval.original_start_sample) // stride @250 Hz,56,56,54721,54591,"{""BAD_ACQ_SKIP"": 63, ""CELL"": 232, ""IBEG"": 1, ""IEND"": 1, ""ITI+"": 55881, ""SESS"": 58, ""TRSP"": 55881, ""bgin"": 55883, ""hdev"": 6855, ""ldev"": 6848, ""net"": 1, ""stad"": 41018, ""stm+"": 1160}","{""epoch_after_interval_guard"": 107, ""onset_not_in_exported_interval"": 23}",0,2,0.778,0.839,0.824,0.98,3.0,0.8264915462255683
mff_tone,MFF,tone,case_description_only,"{""stad"": 0, ""devt"": 1}",literal source task label; acoustics not re-validated,original MFF sample from MNE annotations; no acoustic latency correction,D1 interval.start + (onset - interval.original_start_sample) // stride @250 Hz,1,1,817,816,"{""BAD_ACQ_SKIP"": 1, ""CELL"": 4, ""ITI+"": 837, ""SESS"": 1, ""TRSP"": 837, ""bgin"": 838, ""devt"": 117, ""stad"": 700, ""stm+"": 20}","{""epoch_after_interval_guard"": 1}",0,0,0.962,0.97875,0.97875,1.064,3.0,0.8762254901960784
