branch,protocol_task,lane,records,identity_groups,source_gate_eligible_records,d1_exported_records,events_read_records,records_with_two_classes_ge_min,identity_groups_with_two_classes_ge_min,age_available_records,age_available_groups,device_duration_available_records,cohort_evidence_counts,same_day_multirecord_days,supported_trials_class0_median,supported_trials_class1_median,supported_trials_class1_min,d1_seconds_median,age_months_p25,age_months_median,age_months_p75
HA_BDF,puretone_literal_1_2,bdf_puretone,93,78,84,93,93,93,78,57,57,57,"{""HA"": 84, ""NH"": 9}",0,797.0,200.0,89.0,797.0,66.0,94.0,114.0
MFF,bapa,mff_bapa,29,27,29,29,29,27,25,7,7,0,"{""unknown"": 28, ""CI"": 1}",1,848.0,149.0,16.0,1100.556,47.17864476386037,54.83367556468173,62.47227926078028
MFF,puretone,mff_puretone,41,37,41,41,41,36,34,28,28,0,"{""unknown"": 41}",3,848.0,149.0,0.0,896.224,28.517453798767967,50.8911704312115,69.82340862422998
MFF,tone,mff_tone,1,1,1,1,1,1,1,1,1,0,"{""unknown"": 1}",0,699.0,117.0,117.0,899.116,69.61806981519507,69.61806981519507,69.61806981519507
MFF,unknown,mff_unknown_event,132,63,132,132,131,71,45,30,30,0,"{""unknown"": 91, ""CI"": 19, ""CIHA_label"": 18, ""HA"": 3, ""NH"": 1}",12,748.0,125.0,17.0,997.406,47.81930184804928,64.55852156057495,81.16632443531827
