mode,variant,comparison,baseline_MAE,augmented_MAE,leave_one_out_gain_minimum,leave_one_out_gain_maximum,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,seed,effect,gain_definition,valid,model,original_MAE,variant_MAE
L0,all_trials,D2_minus_D3,6.4062569950216695,6.457197516068713,-0.059740701979523116,-0.037017127086935865,-0.05094052104704247,-0.10141360227825653,-0.0069013131364928,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,,,
L0,all_trials,D1_minus_D3,6.607480115832933,6.457197516068713,-0.0057160374598884305,0.3052446652785487,0.15028259976422134,-0.5178514081750231,0.7879330376194246,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,,,
L0,all_trials,original_budget_minus_variant,,,,,0.0,0.0,0.0,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D0_mean,17.698952470293936,17.698952470293936
L0,all_trials,original_budget_minus_variant,,,,,1.3664283380001927e-16,-2.1862853408003084e-15,2.4595710084003467e-15,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D1_C,6.607480115832932,6.607480115832933
L0,all_trials,original_budget_minus_variant,,,,,0.06592356525879854,-0.11849206816982295,0.24264694775117587,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D2_CV,6.472180560280465,6.4062569950216695
L0,all_trials,original_budget_minus_variant,,,,,0.01498304421175607,-0.18236543285514842,0.20351046132193693,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D3_CVN,6.472180560280465,6.457197516068713
L0,all_trials,original_budget_minus_variant,,,,,-0.05094052104704234,-0.10141360227825656,-0.006901313136490936,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D4_CN,6.607480115832932,6.658420636879976
L0,all_trials,original_budget_minus_variant,,,,,-0.2598223723409841,-0.5936504381192305,0.024888842893203936,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D5_CFULL,6.689290720063233,6.949113092404218
L0,all_trials,original_budget_minus_variant,,,,,0.06592356525879854,-0.11849206816982295,0.24264694775117587,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_0,6.472180560280465,6.4062569950216695
L0,all_trials,original_budget_minus_variant,,,,,-0.0812697351531213,-0.38311013935915,0.19558543313884288,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_1,6.514760174228469,6.596029909381589
L0,all_trials,original_budget_minus_variant,,,,,0.029037026129693926,-0.5020684606882093,0.5356159298074831,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_10,6.423464762905933,6.39442773677624
L0,all_trials,original_budget_minus_variant,,,,,0.06592356525879854,-0.11849206816982295,0.24264694775117587,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_11,6.472180560280465,6.4062569950216695
L0,all_trials,original_budget_minus_variant,,,,,0.06592356525879854,-0.11849206816982295,0.24264694775117587,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_12,6.472180560280465,6.4062569950216695
L0,all_trials,original_budget_minus_variant,,,,,0.41427669836853814,0.016659925635140287,0.8600921516467813,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_13,7.288901525266369,6.874624826897831
L0,all_trials,original_budget_minus_variant,,,,,0.06592356525879854,-0.11849206816982295,0.24264694775117587,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_14,6.472180560280465,6.4062569950216695
L0,all_trials,original_budget_minus_variant,,,,,0.08355092432578992,-0.1104786926994672,0.2633760192963284,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_15,6.541563860122549,6.458012935796761
L0,all_trials,original_budget_minus_variant,,,,,0.09309495542867388,-0.3158571473841304,0.5032272632685945,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_16,6.5432269141943165,6.450131958765642
L0,all_trials,original_budget_minus_variant,,,,,-0.23546181619988113,-0.620432508963939,0.07939091424975754,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_17,6.472180560280465,6.707642376480347
L0,all_trials,original_budget_minus_variant,,,,,0.023216385181277326,-0.2355389326647646,0.26876450315390066,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_18,6.472180560280465,6.44896417509919
L0,all_trials,original_budget_minus_variant,,,,,0.06592356525879854,-0.11849206816982295,0.24264694775117587,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_19,6.472180560280465,6.4062569950216695
L0,all_trials,original_budget_minus_variant,,,,,0.1876243138764034,-0.11856024352621676,0.4876430229978752,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_2,6.9051558036751475,6.717531489798744
L0,all_trials,original_budget_minus_variant,,,,,0.2700988989750626,-0.09146491458547662,0.6208562547391527,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_3,6.6604884631623,6.390389564187237
L0,all_trials,original_budget_minus_variant,,,,,0.03016043606873408,-0.16160036900020577,0.2113935155748399,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_4,6.472180560280465,6.442020124211733
