child,all,even,first200,first400,first800,odd,rec:B018a1ddd7825,rec:B1329b9cb691b,rec:B3d0ede4734d3,rec:B3f16ac6256e6,rec:B4a77825e7c06,rec:B4c144b0e31ac,rec:B4cb60380085a,rec:B6274c7e6938f,rec:B7116e2ba0693,rec:B7e5c5fda0c76,rec:B95c11b9630b5,rec:Babd62bd011f9,rec:Bc8698b5fd4ea,rec:Bcf04c678c557,rec:Bd007dc424ddc,rec:Bd25987f72256,rec:Bd2980aa79f71,rec:Bd3b249797b57,rec:Bdc61b92b5207,rec:Bf01015be23f4,rec:Bf454d333d715,rec:Bf9d7dd3adf2b
0,0.2666835107560893,0.0,0.0671192232163755,0.4248405288395129,0.28153845578020503,0.49868096963028447,,,,,,,,,,,,,,,,,,,,,,
1,0.9504911941870321,0.8951795438652453,0.9651658501274825,0.9629494200271085,0.9335583861420639,0.9329166964285671,0.39786730029923606,,0.9010606052989825,,,,,,,,,,,,,,,,,,,
2,1.0,0.9937286506020673,0.9112867123213119,0.9731916604515058,1.0,0.9673167996275935,,,,,,,,,,,,,,,,,,,,,,
3,0.3632551194590728,0.27535897210445587,0.3676920233352633,0.26169397312839754,0.3689524062405114,0.4212898158928316,,,,,,,,,,,,,,,,,,,,,,
4,0.34386192466864857,0.07053308327550711,0.040336336054447156,0.5744414527715714,0.24590928446946203,0.7402167300658793,,0.0021079933784292713,,,,,,,,,,,,,0.6941136857135257,,,,,,,
5,0.0,0.2984326638067377,0.8527815127083733,0.00701373686968527,0.0,0.16141524689288347,,,,,,,,,,,,,,,,,,,,,,
6,0.5251048396619755,1.0,0.34319569961053226,0.28426224487446977,0.5251048396619755,0.20496601219784794,,,,,,,,,,,,,,,,,,,,,,
7,1.0,1.0,1.0,1.0,1.0,0.9753817150783498,,,,,,,,,,,,,,,,,,,,,,
8,0.7547905444050825,0.9848380895610584,0.0,0.11350109714331462,0.494599247754162,0.24977023029558554,,,,,,,,,,,,,,,,,,,,,,
9,0.8882899230411305,0.4839489920909813,0.35511909576912487,0.1957536302179495,0.8882899230411305,0.9609905315195133,,,,,,,,,,,,,,,,,,,,,,
10,0.16571613976882696,0.3235791059719679,0.2902076366343217,0.2635782471032702,0.18963972721856812,0.0,,,,,,,,,,,,,,,,,,,,,,
11,0.36643295001040305,0.685165777295152,0.6396356188526935,0.5255414928886336,0.16120497908750958,0.4906299662976905,,,,,,,,,,,,,,,,,,,,,,
12,0.36140438841218037,0.7392354391842103,0.5551258662124213,0.9323504022636873,0.13423150925030422,0.15047404061325437,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.1557786165040332,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
14,0.6096439708257451,0.4573550375390325,0.9338616227003289,0.8673218333028646,0.6585956791815417,0.69289276357294,,,,,,,,,,,,,,,,,,,,,,
15,0.46465469340131427,0.331016852499862,0.0,0.21864782245260725,0.23582109345797567,0.8807822922681334,,,,,,,,,,,,,,,,,,,,,,
16,0.4860300471803227,0.724613466753473,0.06039226266993861,0.0,0.4682255750966495,0.34562079155383035,,,,,,,,,,,,,,,,,,,,,,
17,1.0,0.9970666204086187,0.9938726410129033,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
18,0.7905629233575803,0.5743283547700123,0.998051897386198,0.9916395857673344,0.8553360543394596,0.9917634533728262,,,,,,,,,,,,,,,,,,,,,,
19,0.4810478498400199,0.230936619597399,0.5844005589083823,0.480793307963484,0.42923868256327274,0.6234983483835003,,,,,,,,,,,,,,,,,,,,,,
