model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
film_age,11,0,2,1,965,145,0.534390243902439,0.526892346509672,0.9994577169418335,0.0005422830581665039
film_age,11,0,3,1,866,131,0.5152671755725191,0.5198213636599678,1.0039994716644287,-0.003999471664428711
film_age,11,0,8,1,967,141,0.4992401215805471,0.506443940720897,1.004483699798584,-0.004483699798583984
film_age,11,0,17,1,828,119,0.5512676156499271,0.5257849261002003,0.9922745823860168,0.007725417613983154
film_age,11,0,21,1,936,141,0.5412641063383737,0.5295196039073999,0.9969039559364319,0.0030960440635681152
film_age,11,0,26,1,669,104,0.5802756977535739,0.5466048332198775,0.9828410744667053,0.017158925533294678
film_age,11,1,5,1,963,147,0.5522709083633454,0.5337134853941576,0.9951114654541016,0.0048885345458984375
film_age,11,1,11,1,467,69,0.5320442793678538,0.5267278421090962,1.017661690711975,-0.017661690711975098
film_age,11,1,18,2,1416,199,0.5328243518331179,0.520011726669502,0.9993125200271606,0.0006874799728393555
film_age,11,1,24,2,491,67,0.5426640382990707,0.5343917206420727,1.015045166015625,-0.015045166015625
film_age,11,1,30,1,508,74,0.4761800971478391,0.48689126914933367,1.0508029460906982,-0.05080294609069824
film_age,11,1,34,1,416,60,0.42207397003745317,0.44035580524344564,1.0358556509017944,-0.035855650901794434
film_age,11,2,6,2,1717,259,0.5018126592200666,0.5026176970621414,1.0102474689483643,-0.010247468948364258
film_age,11,2,7,1,901,132,0.5314950545769792,0.5225450210820822,0.9985306262969971,0.0014693737030029297
film_age,11,2,20,2,1170,179,0.47467994069530806,0.481086764117279,1.0177226066589355,-0.017722606658935547
film_age,11,2,23,1,958,145,0.531119311193112,0.5181532849811257,1.000383734703064,-0.00038373470306396484
film_age,11,2,25,1,659,99,0.5340458152958154,0.5117604617604617,0.9975631237030029,0.0024368762969970703
film_age,11,3,10,1,785,116,0.4872944693572496,0.47020127828462455,1.0099050998687744,-0.009905099868774414
film_age,11,3,13,1,960,142,0.5333172629911498,0.5014893763559352,0.9978068470954895,0.002193152904510498
