source,child,segment,segment_start_s,auc,n
child_spatial_s11_odd_even_blocks_b0,3,3,360.0,0.5,37
child_spatial_s11_odd_even_blocks_b0,3,4,480.0,0.6333333333333334,38
child_spatial_s11_odd_even_blocks_b0,3,5,600.0,0.5448275862068965,39
child_spatial_s11_odd_even_blocks_b0,6,1,120.0,0.3420765027322405,76
child_spatial_s11_odd_even_blocks_b0,6,2,240.0,0.6965174129353233,79
child_spatial_s11_odd_even_blocks_b0,6,3,360.0,0.3822055137844611,71
child_spatial_s11_odd_even_blocks_b0,6,4,480.0,0.5054773082942097,80
child_spatial_s11_odd_even_blocks_b0,6,5,600.0,0.4708646616541354,90
child_spatial_s11_odd_even_blocks_b0,6,6,720.0,0.7283653846153847,60
child_spatial_s11_odd_even_blocks_b0,7,0,0.0,0.4305555555555556,44
child_spatial_s11_odd_even_blocks_b0,7,6,720.0,0.4559386973180076,38
child_spatial_s11_odd_even_blocks_b0,8,0,0.0,0.34285714285714286,44
child_spatial_s11_odd_even_blocks_b0,13,1,120.0,0.5529411764705883,44
child_spatial_s11_odd_even_blocks_b0,13,3,360.0,0.5399305555555556,44
child_spatial_s11_odd_even_blocks_b0,13,7,840.0,0.5166666666666667,40
child_spatial_s11_odd_even_blocks_b0,15,2,240.0,0.5339506172839505,45
child_spatial_s11_odd_even_blocks_b0,15,6,720.0,0.5494252873563219,44
child_spatial_s11_odd_even_blocks_b0,16,5,600.0,0.6000000000000001,43
child_spatial_s11_odd_even_blocks_b0,16,6,720.0,0.5234375,40
child_spatial_s11_odd_even_blocks_b0,18,1,120.0,0.5803303303303303,83
child_spatial_s11_odd_even_blocks_b0,18,2,240.0,0.341025641025641,88
child_spatial_s11_odd_even_blocks_b0,18,3,360.0,0.587641866330391,74
child_spatial_s11_odd_even_blocks_b0,20,0,0.0,0.5280701754385966,91
child_spatial_s11_odd_even_blocks_b0,20,4,480.0,0.5645645645645646,46
child_spatial_s11_odd_even_blocks_b0,20,6,720.0,0.3843843843843844,46
