child,seed,train_record,test_record,same_day,within_record_auc,across_record_auc,across_j_bits,n_test
6,11,M0154,M0162,False,0.5506558118498417,0.47776831199228964,-0.00977325439453125,951
6,11,M0162,M0154,False,0.5495934959349593,0.5017765310892941,-0.024852395057678223,766
6,22,M0154,M0162,False,0.6033469018543646,0.4376333815227867,-0.03068995475769043,951
6,22,M0162,M0154,False,0.5892953929539295,0.5519668737060042,0.0028036832809448242,766
6,33,M0154,M0162,False,0.5120609075832956,0.5176967162329615,-0.008045077323913574,951
6,33,M0162,M0154,False,0.5059620596205963,0.4775863220463501,-0.045527100563049316,766
18,11,M0321,M0318,True,0.48472762645914397,0.5452004363239705,0.0024248361587524414,443
18,22,M0321,M0318,True,0.5804474708171206,0.4563448777383874,-0.030488014221191406,443
18,33,M0321,M0318,True,0.6122568093385214,0.47625215889464595,-0.04491925239562988,443
20,11,M0349,M0348,True,0.5427357761949713,0.5133561643835617,-0.0005457401275634766,176
20,22,M0349,M0348,True,0.5874023856517635,0.496917808219178,-0.0021424293518066406,176
20,33,M0349,M0348,True,0.5505878314597099,0.6033105022831051,0.006500601768493652,176
