all_folds_records,candidate_records,deviant_literal_code,median,n,protocol_task,q25,q75,source_cohort_evidence,variant,window
1,1,devt,0.5519563154382254,1,bapa,0.5519563154382254,0.5519563154382254,CI,primary,late
1,1,devt,0.4892663459891316,1,bapa,0.4892663459891316,0.4892663459891316,CI,primary,poststim
1,1,devt,0.5072456095490656,1,bapa,0.5072456095490656,0.5072456095490656,CI,primary,prestim
1,1,devt,0.506056205641893,1,bapa,0.506056205641893,0.506056205641893,CI,strict,late
1,1,devt,0.3282799341273917,1,bapa,0.3282799341273917,0.3282799341273917,CI,strict,poststim
1,1,devt,0.5170059305275878,1,bapa,0.5170059305275878,0.5170059305275878,CI,strict,prestim
18,18,devt,0.488170177792828,18,unknown,0.4570499459309274,0.5317785478368288,CI,primary,late
18,18,devt,0.5168238735134336,18,unknown,0.47331530474863315,0.56109900147104,CI,primary,poststim
18,18,devt,0.5035696713271518,18,unknown,0.466626581498304,0.5352952177216238,CI,primary,prestim
4,7,devt,0.499473524506284,4,unknown,0.4832979746706433,0.5159137222544481,CI,strict,late
4,7,devt,0.5489285790397653,4,unknown,0.5186975321606826,0.5888849186032535,CI,strict,poststim
4,7,devt,0.5169032457457505,4,unknown,0.48710745375658576,0.563545006367587,CI,strict,prestim
18,18,devt,0.5371107997179798,18,unknown,0.5017312381605143,0.5629900698865838,CIHA_label,primary,late
18,18,devt,0.5195051999071914,18,unknown,0.4942214592814544,0.5259732400518511,CIHA_label,primary,poststim
18,18,devt,0.5068631151954226,18,unknown,0.4609743731521735,0.5127018594126681,CIHA_label,primary,prestim
0,1,devt,,0,unknown,,,CIHA_label,strict,late
0,1,devt,,0,unknown,,,CIHA_label,strict,poststim
0,1,devt,,0,unknown,,,CIHA_label,strict,prestim
3,3,devt,0.5319640846799796,3,unknown,0.5209995910314775,0.5491929875199463,HA,primary,late
3,3,devt,0.5474140843164623,3,unknown,0.5420626948702136,0.5529674220855196,HA,primary,poststim
3,3,devt,0.518009064360754,3,unknown,0.517200693546297,0.5207271008075272,HA,primary,prestim
2,2,devt,0.55527418024439,2,unknown,0.5508188972662662,0.5597294632225138,HA,strict,late
2,2,devt,0.5736318233276458,2,unknown,0.5560576220164503,0.5912060246388415,HA,strict,poststim
2,2,devt,0.44918798586608777,2,unknown,0.4334615826496902,0.4649143890824854,HA,strict,prestim
1,1,devt,0.5322763391780944,1,unknown,0.5322763391780944,0.5322763391780944,NH,primary,late
1,1,devt,0.5591516020676488,1,unknown,0.5591516020676488,0.5591516020676488,NH,primary,poststim
