candidate_records,event_code,median,n,protocol_task,q25,q75,source_cohort_evidence,split,variant
2,devt,0.5292085027300464,2,unknown,0.3474612526107115,0.7109557528493812,HA,alternating_30s_blocks,strict
2,devt,0.8033177351432796,1,unknown,0.8033177351432796,0.8033177351432796,HA,early_late_time,strict
3,stad,0.8029653160298814,3,unknown,0.7394743585775603,0.8431661953609575,HA,alternating_30s_blocks,strict
3,stad,0.8630435796123745,3,unknown,0.7671043690595656,0.9102375492156062,HA,early_late_time,strict
1,devt,0.3482079486536681,1,unknown,0.3482079486536681,0.3482079486536681,NH,alternating_30s_blocks,primary
1,devt,0.1898042818410959,1,unknown,0.1898042818410959,0.1898042818410959,NH,early_late_time,primary
1,stad,0.1259955843588734,1,unknown,0.1259955843588734,0.1259955843588734,NH,alternating_30s_blocks,primary
1,stad,0.3446603445445517,1,unknown,0.3446603445445517,0.3446603445445517,NH,early_late_time,primary
24,devt,0.5633729678883036,24,bapa,0.15647747366326736,0.7513451730335209,unknown,alternating_30s_blocks,primary
24,devt,0.4289681421754923,24,bapa,0.21051196496025407,0.6596004740941974,unknown,early_late_time,primary
26,stad,0.6034653706643112,26,bapa,0.3421930635864689,0.8330378000623321,unknown,alternating_30s_blocks,primary
26,stad,0.7690895155129892,26,bapa,0.3026972590031073,0.8827276681383098,unknown,early_late_time,primary
20,devt,0.26459865774247654,18,bapa,-0.04981615703978993,0.5492713392500577,unknown,alternating_30s_blocks,strict
20,devt,0.3444083723767754,17,bapa,-0.2595291052602534,0.5074804312087188,unknown,early_late_time,strict
24,stad,0.4891378798732314,24,bapa,0.2673628720843316,0.762407733782012,unknown,alternating_30s_blocks,strict
24,stad,0.6260269349848868,24,bapa,0.33829347038965024,0.7657134497573426,unknown,early_late_time,strict
35,devt,0.2774578437351448,34,puretone,0.010029104138649075,0.4906141532735762,unknown,alternating_30s_blocks,primary
35,devt,0.18089464980393266,34,puretone,-0.2683343429024412,0.5617076502676609,unknown,early_late_time,primary
40,stad,0.6250307776500246,40,puretone,0.22499192759799888,0.8292201246646034,unknown,alternating_30s_blocks,primary
40,stad,0.5622409533824286,40,puretone,0.08549190853792835,0.7265276845443932,unknown,early_late_time,primary
19,devt,0.35591732251526764,18,puretone,0.1412780884883541,0.5228440489097286,unknown,alternating_30s_blocks,strict
19,devt,0.4832149181088512,17,puretone,0.1902386664067495,0.6387197849100086,unknown,early_late_time,strict
35,stad,0.3940734603426867,33,puretone,0.0655507464072262,0.8305154978448885,unknown,alternating_30s_blocks,strict
35,stad,0.4183535324146586,32,puretone,0.12920362658426307,0.7828690053591165,unknown,early_late_time,strict
1,devt,0.9264398148098336,1,tone,0.9264398148098336,0.9264398148098336,unknown,alternating_30s_blocks,primary
1,devt,0.906687254718572,1,tone,0.906687254718572,0.906687254718572,unknown,early_late_time,primary
1,stad,0.987708669681247,1,tone,0.987708669681247,0.987708669681247,unknown,alternating_30s_blocks,primary
1,stad,0.9740536010574236,1,tone,0.9740536010574236,0.9740536010574236,unknown,early_late_time,primary
1,devt,0.897194648440504,1,tone,0.897194648440504,0.897194648440504,unknown,alternating_30s_blocks,strict
1,devt,0.9066842125144768,1,tone,0.9066842125144768,0.9066842125144768,unknown,early_late_time,strict
1,stad,0.9883530966004032,1,tone,0.9883530966004032,0.9883530966004032,unknown,alternating_30s_blocks,strict
1,stad,0.9665643974678853,1,tone,0.9665643974678853,0.9665643974678853,unknown,early_late_time,strict
31,devt,0.7468175275636285,31,unknown,0.5672117187594765,0.838744042932179,unknown,alternating_30s_blocks,primary
31,devt,0.7894879834634987,31,unknown,0.23125313846423085,0.8861975959352214,unknown,early_late_time,primary
55,hdev,0.2402470908775529,55,unknown,-0.11477265836170684,0.4588418947391125,unknown,alternating_30s_blocks,primary
55,hdev,0.0949889405219564,55,unknown,-0.2598340904563998,0.40434839165935366,unknown,early_late_time,primary
55,ldev,0.1762293746428505,55,unknown,-0.15184256257106726,0.49908411203249536,unknown,alternating_30s_blocks,primary
55,ldev,0.3019922167325833,55,unknown,-0.10371849208826114,0.5713010668453176,unknown,early_late_time,primary
90,stad,0.780038415286354,90,unknown,0.520232221277019,0.8759351940329246,unknown,alternating_30s_blocks,primary
90,stad,0.74859127255649,90,unknown,0.47746652001738515,0.8615592635521543,unknown,early_late_time,primary
16,devt,0.7488989871148061,16,unknown,0.16436687193473523,0.8567206339562002,unknown,alternating_30s_blocks,strict
16,devt,0.6010837469384624,15,unknown,0.07439667061699856,0.8008129845657419,unknown,early_late_time,strict
51,hdev,0.1832201006579749,50,unknown,-0.13653435472997383,0.4231989150652278,unknown,alternating_30s_blocks,strict
51,hdev,0.2532985424735425,49,unknown,0.0029754619446521,0.5821666130121178,unknown,early_late_time,strict
51,ldev,0.1404245763732111,51,unknown,-0.02737417438228685,0.4856933571348587,unknown,alternating_30s_blocks,strict
51,ldev,0.2544293085801125,47,unknown,0.04905770411703895,0.48767730727162895,unknown,early_late_time,strict
78,stad,0.73118393244461,78,unknown,0.4396728957283619,0.8544455650860857,unknown,alternating_30s_blocks,strict
78,stad,0.7307746168854177,75,unknown,0.4451760092219444,0.8507803272064174,unknown,early_late_time,strict
