candidate_records,event_code,median,n,protocol_task,q25,q75,source_cohort_evidence,split,variant
1,devt,0.0401003094559305,1,bapa,0.0401003094559305,0.0401003094559305,CI,alternating_30s_blocks,primary
1,devt,0.3136462374613059,1,bapa,0.3136462374613059,0.3136462374613059,CI,early_late_time,primary
1,stad,0.3313085411083997,1,bapa,0.3313085411083997,0.3313085411083997,CI,alternating_30s_blocks,primary
1,stad,0.7937980233812356,1,bapa,0.7937980233812356,0.7937980233812356,CI,early_late_time,primary
1,devt,-0.0899107820202649,1,bapa,-0.0899107820202649,-0.0899107820202649,CI,alternating_30s_blocks,strict
1,devt,0.3157539857763586,1,bapa,0.3157539857763586,0.3157539857763586,CI,early_late_time,strict
1,stad,0.6566123928503323,1,bapa,0.6566123928503323,0.6566123928503323,CI,alternating_30s_blocks,strict
1,stad,-0.0466903275011651,1,bapa,-0.0466903275011651,-0.0466903275011651,CI,early_late_time,strict
18,devt,0.10868883388807095,18,unknown,-0.09998150999316417,0.41257825751966676,CI,alternating_30s_blocks,primary
18,devt,0.13724483589024364,18,unknown,-0.37844630096690246,0.5764994305564772,CI,early_late_time,primary
19,stad,0.5827263420094045,19,unknown,0.2673338849205215,0.7257979384353322,CI,alternating_30s_blocks,primary
19,stad,0.5707638602255811,19,unknown,0.14425581724583442,0.7657082637641098,CI,early_late_time,primary
7,devt,0.1091495099977659,5,unknown,0.0529674068050158,0.1176619168172781,CI,alternating_30s_blocks,strict
7,devt,0.5414489435584833,4,unknown,0.25494171201828825,0.6895776934121988,CI,early_late_time,strict
13,stad,0.45723724515628383,12,unknown,0.2702733934156682,0.6177368136268965,CI,alternating_30s_blocks,strict
13,stad,0.2018263287307801,11,unknown,0.04776140125028305,0.47737267879648426,CI,early_late_time,strict
18,devt,0.5854653296389621,18,unknown,0.2375296670486522,0.7151506016957647,CIHA_label,alternating_30s_blocks,primary
18,devt,0.2691436653081331,17,unknown,-0.3087126622560162,0.7359617459090069,CIHA_label,early_late_time,primary
18,stad,0.8377682076496259,18,unknown,0.32456149631912734,0.8950885494804692,CIHA_label,alternating_30s_blocks,primary
18,stad,0.735213744590291,18,unknown,0.2546344690544956,0.8722775802473344,CIHA_label,early_late_time,primary
1,devt,0.6829237842046987,1,unknown,0.6829237842046987,0.6829237842046987,CIHA_label,alternating_30s_blocks,strict
1,devt,0.7027006838622825,1,unknown,0.7027006838622825,0.7027006838622825,CIHA_label,early_late_time,strict
13,stad,0.334965142068269,13,unknown,0.0275573750886963,0.4695449309757113,CIHA_label,alternating_30s_blocks,strict
13,stad,0.332921079171123,12,unknown,0.12294574434896015,0.6471848099735488,CIHA_label,early_late_time,strict
3,devt,0.427718683334764,3,unknown,0.16525558409638935,0.6010018441214409,HA,alternating_30s_blocks,primary
3,devt,0.315428143980684,3,unknown,0.11069279556415773,0.5230684587931422,HA,early_late_time,primary
3,stad,0.666067355544454,3,unknown,0.6432008245866327,0.8229054486265455,HA,alternating_30s_blocks,primary
3,stad,0.9189356572762112,3,unknown,0.8259403451770961,0.935558560987266,HA,early_late_time,primary
