band,from_s,to_s,metric,mean,ci_lo,ci_hi,children_positive,children
pre,-0.2,0.0,bacc,0.5031038695443296,0.4960414414479421,0.5102031254955828,21,38
pre,-0.2,0.0,auc,0.5114233931430491,0.4980657814667539,0.526825282946265,21,38
pre,-0.2,0.0,g_prior,9.637210666533254e-05,-0.00016464079936626325,0.00042487997350806184,24,38
pre,-0.2,0.0,g_prior_raw,-0.015811169846430394,-0.03181090896019354,-0.005591733821759312,6,38
pre,-0.2,0.0,g_hist,9.57415697247499e-05,-0.00018191763353649285,0.00044259013869849884,23,38
early,0.05,0.25,bacc,0.5087006979231566,0.5017293360680276,0.5160594550632389,23,38
early,0.05,0.25,auc,0.5166373385488633,0.5053214596896396,0.528522107856762,24,38
early,0.05,0.25,g_prior,-0.000583285506670847,-0.0018296130154445193,9.656187143089183e-05,21,38
early,0.05,0.25,g_prior_raw,-0.0682077925665861,-0.16585909183954028,-0.01218652924062068,5,38
early,0.05,0.25,g_hist,-0.0005356787085169469,-0.0016920914700202696,9.847900200459605e-05,21,38
mid,0.25,0.45,bacc,0.5081967605376494,0.4985090038565948,0.5168915231175786,23,38
mid,0.25,0.45,auc,0.5216049554412656,0.5084087880176925,0.5357420114007091,28,38
mid,0.25,0.45,g_prior,-0.0012113318352024102,-0.003119455415334442,-8.419411244800155e-05,13,38
mid,0.25,0.45,g_prior_raw,-0.03484503917901459,-0.07953616646031869,-0.006613775096494354,4,38
mid,0.25,0.45,g_hist,-0.001221370217721857,-0.003131679323312296,-9.842682464943288e-05,13,38
late,0.45,0.72,bacc,0.49931473740659404,0.49296392277183193,0.5051942895268827,21,38
late,0.45,0.72,auc,0.5037871970482127,0.49226694708085417,0.516211086682544,21,38
late,0.45,0.72,g_prior,-6.867633727885859e-05,-0.00015791230951766518,1.8828279765793975e-06,16,38
late,0.45,0.72,g_prior_raw,-0.015423023075745534,-0.030173434725074336,-0.0055650857914398,4,38
late,0.45,0.72,g_hist,-6.806040920821498e-05,-0.00016007156819797879,3.4781608115319e-06,18,38
