child,n_dev_after_dev,n_dev_after_std3,dev_after_dev,dev_after_std3,std_after_dev,std_after_std3,repetition_effect,carryover_on_standards
0,36,122,0.6098902120671561,0.5509102644229706,0.2912483708655822,0.31465269357046205,0.05897994764418546,-0.023404322704879854
1,35,120,0.22304883571379092,0.5290552627015711,0.5350196284737491,0.3890137235953895,-0.3060064269877802,0.14600590487835957
2,102,353,0.8513581639512974,0.8345607921171622,0.7628097235411109,0.7382097492985625,0.01679737183413521,0.02459997424254834
3,93,266,0.7015370516106899,0.5926187403618687,0.20050868292203367,0.3355188941256985,0.10891831124882123,-0.13501021120366485
4,50,185,0.6068534360502144,0.6067908554458048,0.45674332062884376,0.4918246629482837,6.25806044095567e-05,-0.035081342319439934
5,81,306,0.6845710529897625,0.6380761105219792,0.4868993464991614,0.3876267301083182,0.046494942467783296,0.09927261639084317
6,29,91,0.4089889555316366,0.4918097170457338,0.05351519372763245,0.028120677154746858,-0.08282076151409717,0.025394516572885592
7,80,283,0.41240010507886393,0.605462012278128,0.11201400681755731,0.14879011358914496,-0.19306190719926408,-0.036776106771587644
8,78,284,0.34654773829493607,0.40019877290960143,0.0760024383422401,0.24568749364060005,-0.05365103461466536,-0.16968505529835995
9,89,307,0.4883145971895751,0.4647169926407172,0.13306057278570713,0.24362890876527935,0.023597604548857898,-0.11056833597957222
10,92,330,0.7656204847880682,0.776735287165947,0.5815798670747381,0.6021348452321278,-0.011114802377878763,-0.020554978157389714
11,119,399,0.543924863955776,0.3696841364070341,0.27630221474580513,0.30144238974536075,0.17424072754874187,-0.02514017499955562
12,128,422,0.5188031355401218,0.3959134149462795,0.27334434865488483,0.2159008022899757,0.12288972059384229,0.057443546364909115
13,152,519,0.40900599036266827,0.3546000204329972,0.23115104694581293,0.30309078112250754,0.05440596992967106,-0.07193973417669461
14,146,520,0.4796824490971915,0.5579350150620253,0.16031226473631338,0.18344031568494196,-0.07825256596483376,-0.023128050948628576
