metric,value
status,"ACCOUNTING_PARTIAL"
jobs,118
budget_status,"WITHIN_CONSERVATIVE_BOUND"
accounted_jobs,12
missing_jobs,106
ongoing_jobs,1
actual_cpu_core_hours,null
actual_gpu_hours,null
actual_cpu_core_hours_lower_bound,null
actual_gpu_hours_lower_bound,null
reservation_upper_cpu_core_hours,138.77277777777778
reservation_upper_gpu_hours,13.713333333333333
max_cpu_core_hours,256.0
max_gpu_hours,32.0
cpu_actual_complete,false
gpu_actual_complete,false
cpu_lower_bound_complete,false
gpu_lower_bound_complete,false
upper_bound_complete,true
accounting_query_available,false
scontrol_rows,12
discovered_jobs,118
sacct_rows,0
sacct_command_format,"JobIDRaw,JobName,State,ElapsedRaw,AllocCPUS,AllocTRES,TimelimitRaw"
scontrol_fallback_attempted,true
