condition,leave_one_out_max,leave_one_out_min,max_absolute_change,n,original_icc_a1,split
code1,0.8422222361252141,0.7457722524770433,0.05538372311522721,56,0.8011559755922705,alternating_30s_blocks
code2,0.8781918168452375,0.8164080173859781,0.03882410467986663,56,0.8552321220658448,alternating_30s_blocks
code2_minus_code1,0.6805697113688438,0.5164061610402628,0.1376388075920819,56,0.6540449686323447,alternating_30s_blocks
code1,0.7964538995199602,0.7597343405030911,0.02076110412203902,55,0.7756927953979211,early_late
code2,0.79106948229453,0.6862852942449482,0.07482362386524466,55,0.7611089181101929,early_late
code2_minus_code1,0.6323749171421542,0.31188672647901045,0.2678333460314672,55,0.5797200725104776,early_late
