model,seed,fold,child,n,n_class1,auc,bacc,ce_bal_bits,j_bits
riemann_post,11,0,7,558,95,0.4766624985790611,0.48631351597135386,1.0061664534857155,-0.0061664534857155395
riemann_post,11,0,12,981,194,0.4554159734866844,0.4574398407105149,1.0090820221786119,-0.00908202217861187
riemann_post,11,0,14,984,198,0.4969414244223404,0.4981108797902691,1.003324310702559,-0.003324310702558897
riemann_post,11,0,21,874,174,0.49335796387520525,0.5035550082101806,1.00629913762665,-0.006299137626649909
riemann_post,11,0,23,988,200,0.4942258883248731,0.5130964467005077,1.004954960195393,-0.004954960195393099
riemann_post,11,0,24,1831,366,0.49190958428915127,0.49469777504242896,1.0016006484658795,-0.001600648465879484
riemann_post,11,0,29,438,84,0.5056497175141242,0.5071630347054076,1.0050567535349872,-0.005056753534987246
riemann_post,11,0,30,988,197,0.4980394925141342,0.5120710788245939,1.0026409110194259,-0.0026409110194258734
riemann_post,11,0,33,970,193,0.533031921632958,0.5264035315848787,0.9962921276191345,0.0037078723808654512
riemann_post,11,0,37,739,157,0.44380239455424964,0.44393919495698997,1.0136447358605047,-0.013644735860504742
riemann_post,11,0,42,980,194,0.4901629023372944,0.4869363343039269,1.0031489915277918,-0.0031489915277918
riemann_post,11,0,48,766,155,0.5345335515548282,0.5258381289266669,0.9968585007139786,0.0031414992860213653
riemann_post,11,0,49,994,196,0.536750038361209,0.5112781954887218,0.9961546235994212,0.003845376400578804
riemann_post,11,0,57,998,200,0.5442355889724311,0.5195426065162907,0.999245921922213,0.0007540780777870459
riemann_post,11,0,66,865,175,0.539768115942029,0.49575569358178057,1.0005805716676945,-0.0005805716676945405
riemann_post,11,1,5,995,200,0.4864779874213836,0.4892924528301887,1.0061651891632448,-0.006165189163244822
riemann_post,11,1,8,966,195,0.4484552196614453,0.46077022847450866,1.0167521749100514,-0.01675217491005143
riemann_post,11,1,10,991,198,0.4808743169398907,0.4951724050084706,1.0062716738486417,-0.00627167384864169
riemann_post,11,1,11,892,182,0.49777898158179845,0.4970747562296858,1.0052556735967098,-0.005255673596709753
riemann_post,11,1,20,1811,365,0.4892930900547566,0.5074935106765949,1.0070954878467195,-0.007095487846719539
