A_half,stimulus_local_id,source_candidate_denominator,source_trial_denominator,matched_candidate_numerator,matched_bag_numerator,matched_trial_numerator
0,0,60,11645,53,209,1672
0,1,60,2929,53,209,1672
1,0,60,10577,50,152,1216
1,1,60,2478,50,152,1216
