view,metric,estimate,ci_lower,ci_upper,n_candidates,n_bags,unit,bootstrap_scope,calibration,selection
all_metadata,ce_bits,0.0910030431475408,0.06080717468070874,0.14655420687641446,57,3307,bits_per_bag,candidate_cluster_fixed_oof_no_refit,none,none
all_metadata,bacc,0.9844487569358926,0.965943397849901,0.9956263509236191,57,3307,balanced_accuracy,candidate_cluster_fixed_oof_no_refit,none,none
block_span,ce_bits,0.6917491809749758,0.6830243143166512,0.6990885523464958,57,3307,bits_per_bag,candidate_cluster_fixed_oof_no_refit,none,none
block_span,bacc,0.5,0.5,0.5,57,3307,balanced_accuracy,candidate_cluster_fixed_oof_no_refit,none,none
gap,ce_bits,0.6913344017453682,0.684823208173488,0.6973639539902461,57,3307,bits_per_bag,candidate_cluster_fixed_oof_no_refit,none,none
gap,bacc,0.5,0.5,0.5,57,3307,balanced_accuracy,candidate_cluster_fixed_oof_no_refit,none,none
history,ce_bits,0.12034541001262877,0.06658757706887881,0.22422355501579053,57,3307,bits_per_bag,candidate_cluster_fixed_oof_no_refit,none,none
history,bacc,0.9851903984864807,0.9640782729832813,0.9972578758823406,57,3307,balanced_accuracy,candidate_cluster_fixed_oof_no_refit,none,none
position,ce_bits,0.691093647657641,0.6822300368726859,0.6988742906792168,57,3307,bits_per_bag,candidate_cluster_fixed_oof_no_refit,none,none
position,bacc,0.5,0.5,0.5,57,3307,balanced_accuracy,candidate_cluster_fixed_oof_no_refit,none,none
