paired_MAE_delta,repeat,scope
-0.06954368236201525,0,dependent_repeat_descriptive_not_independent_sample
0.14681090506345562,1,dependent_repeat_descriptive_not_independent_sample
0.31048147317338604,2,dependent_repeat_descriptive_not_independent_sample
0.04090294504278624,3,dependent_repeat_descriptive_not_independent_sample
0.24585454993007083,4,dependent_repeat_descriptive_not_independent_sample
0.11382000125123781,5,dependent_repeat_descriptive_not_independent_sample
0.09653133226370869,6,dependent_repeat_descriptive_not_independent_sample
0.07223845923532579,7,dependent_repeat_descriptive_not_independent_sample
-0.017806169295651486,8,dependent_repeat_descriptive_not_independent_sample
0.20213596689903568,9,dependent_repeat_descriptive_not_independent_sample
0.13272132656183366,10,dependent_repeat_descriptive_not_independent_sample
0.03967090132168494,11,dependent_repeat_descriptive_not_independent_sample
0.05170533835891611,12,dependent_repeat_descriptive_not_independent_sample
0.3072085443367101,13,dependent_repeat_descriptive_not_independent_sample
0.17193600963325117,14,dependent_repeat_descriptive_not_independent_sample
0.19550320597424253,15,dependent_repeat_descriptive_not_independent_sample
0.3122678962024441,16,dependent_repeat_descriptive_not_independent_sample
0.07706383203139922,17,dependent_repeat_descriptive_not_independent_sample
0.07960633449168775,18,dependent_repeat_descriptive_not_independent_sample
0.029897249138242543,19,dependent_repeat_descriptive_not_independent_sample
