target,outer_fold,scope,n,alpha,alpha_over_n,basis,target_unit
A_archive,0,outer_train,41,1.0,0.024390243902439025,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,0,inner_train[0],27,1.0,0.037037037037037035,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,0,inner_train[1],27,1.0,0.037037037037037035,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,0,inner_train[2],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,1,outer_train,41,0.1,0.0024390243902439024,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,1,inner_train[0],27,0.1,0.003703703703703704,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,1,inner_train[1],27,0.1,0.003703703703703704,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,1,inner_train[2],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,2,outer_train,42,0.1,0.002380952380952381,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,2,inner_train[0],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,2,inner_train[1],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,2,inner_train[2],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,3,outer_train,42,0.1,0.002380952380952381,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,3,inner_train[0],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,3,inner_train[1],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,3,inner_train[2],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,4,outer_train,42,1.0,0.023809523809523808,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,4,inner_train[0],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,4,inner_train[1],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
A_archive,4,inner_train[2],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,0,outer_train,41,0.1,0.0024390243902439024,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,0,inner_train[0],27,0.1,0.003703703703703704,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,0,inner_train[1],27,0.1,0.003703703703703704,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,0,inner_train[2],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,1,outer_train,41,0.01,0.00024390243902439024,linear,HA source column 0-100; network trains on 0-1
V_archive_given_A,1,inner_train[0],27,0.01,0.00037037037037037035,linear,HA source column 0-100; network trains on 0-1
V_archive_given_A,1,inner_train[1],27,0.01,0.00037037037037037035,linear,HA source column 0-100; network trains on 0-1
V_archive_given_A,1,inner_train[2],28,0.01,0.00035714285714285714,linear,HA source column 0-100; network trains on 0-1
V_archive_given_A,2,outer_train,42,1.0,0.023809523809523808,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,2,inner_train[0],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,2,inner_train[1],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,2,inner_train[2],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,3,outer_train,42,1.0,0.023809523809523808,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,3,inner_train[0],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,3,inner_train[1],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,3,inner_train[2],28,1.0,0.03571428571428571,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,4,outer_train,42,0.1,0.002380952380952381,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,4,inner_train[0],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,4,inner_train[1],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
V_archive_given_A,4,inner_train[2],28,0.1,0.0035714285714285718,additive_quadratic,HA source column 0-100; network trains on 0-1
