model,MAE,RMSE,n,n_at_source_ceiling
M0_C,5.003564047216319,7.381972279436445,52,17
M1_CQ,5.637850823499358,8.406986540055001,52,17
M2_MEAN_RIDGE,5.637850823499358,8.406986540055001,52,17
M3_MEAN_THEN_MLP,8.565486655809735,11.262895260480361,52,17
M4_MLP_THEN_MEAN,8.570891802750015,11.282654939179475,52,17
M1_CQ_amplitude,5.895864303377427,8.587396747544373,52,17
M4_amplitude,8.710080050108047,11.321538746347205,52,17
M4_mismatch,8.33386349724876,10.732119743845827,52,17
