candidate,ci_high,ci_low,gain_MAE,interval,meaning,n_identity_groups,n_nonzero_paired_differences,reference,repetitions,scope,seed,status
M4_amplitude,-0.9540360238521419,-4.734921956055717,-2.8142157467306204,percentile,EEG increment after adding the amplitude summary to Q,52,52,M1_CQ_amplitude,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4_amplitude,-1.9531860188154433,-5.489023484764834,-3.706516002891729,percentile,amplitude-adjusted method against the original clinical baseline,52,49,M0_C,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4_mismatch,-0.5431545121242524,-4.647181309161087,-2.6960126737494035,percentile,training-correspondence mismatch diagnostic,52,51,M1_CQ,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4_MLP_THEN_MEAN,1.405924807406273,-1.9688875249874052,-0.23702830550125198,percentile,real correspondence against mismatched training,52,49,M4_mismatch,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
