outer_fold,model,n_test,fold_MAE,selection
0,M0_C,11,7.44486800373256,"{""family"": ""additive_quadratic"", ""inner_MAE"": 4.539166697489875, ""penalty"": 0.1}"
0,M1_CQ,11,7.527530642550134,"{""family"": ""additive_quadratic"", ""inner_MAE"": 5.4791326351021805, ""penalty"": 0.1}"
0,M2_MEAN_RIDGE,11,7.527530642550134,"{""candidate"": ""eeg_off"", ""inner_MAE"": 5.4791326351021805}"
0,M3_MEAN_THEN_MLP,11,10.53456297404625,"{""inner_MAE"": 7.760698360118939, ""penalty"": 0.1}"
0,M4_MLP_THEN_MEAN,11,10.575180824651039,"{""inner_MAE"": 7.571273206260497, ""penalty"": 0.1}"
1,M0_C,11,4.472432497045797,"{""family"": ""additive_quadratic"", ""inner_MAE"": 5.29349810268818, ""penalty"": 1.0}"
1,M1_CQ,11,6.876437137009165,"{""family"": ""linear"", ""inner_MAE"": 4.962437283783521, ""penalty"": 0.01}"
1,M2_MEAN_RIDGE,11,6.876437137009165,"{""candidate"": ""eeg_off"", ""inner_MAE"": 4.962437283783521}"
1,M3_MEAN_THEN_MLP,11,7.217385192738737,"{""inner_MAE"": 9.50843117458446, ""penalty"": 0.1}"
1,M4_MLP_THEN_MEAN,11,7.226559860740679,"{""inner_MAE"": 9.06444994894061, ""penalty"": 0.1}"
2,M0_C,10,4.39381229086229,"{""family"": ""additive_quadratic"", ""inner_MAE"": 5.373609585599666, ""penalty"": 1.0}"
2,M1_CQ,10,4.627083383438992,"{""family"": ""additive_quadratic"", ""inner_MAE"": 5.569378374713783, ""penalty"": 1.0}"
2,M2_MEAN_RIDGE,10,4.627083383438992,"{""candidate"": ""eeg_off"", ""inner_MAE"": 5.569378374713783}"
2,M3_MEAN_THEN_MLP,10,9.383250228065233,"{""inner_MAE"": 11.429387610384563, ""penalty"": 0.1}"
2,M4_MLP_THEN_MEAN,10,9.384565517968863,"{""inner_MAE"": 11.362623872700373, ""penalty"": 0.1}"
3,M0_C,10,3.0886312538142833,"{""family"": ""additive_quadratic"", ""inner_MAE"": 5.496726232575293, ""penalty"": 1.0}"
3,M1_CQ,10,3.0985900864047196,"{""family"": ""additive_quadratic"", ""inner_MAE"": 5.661650229036866, ""penalty"": 1.0}"
3,M2_MEAN_RIDGE,10,3.0985900864047196,"{""candidate"": ""eeg_off"", ""inner_MAE"": 5.661650229036866}"
3,M3_MEAN_THEN_MLP,10,11.231382416300667,"{""inner_MAE"": 11.939381253665246, ""penalty"": 0.1}"
3,M4_MLP_THEN_MEAN,10,11.186585021418036,"{""inner_MAE"": 11.880518061329663, ""penalty"": 0.1}"
4,M0_C,10,5.42705894999209,"{""family"": ""additive_quadratic"", ""inner_MAE"": 5.493171235120754, ""penalty"": 0.1}"
4,M1_CQ,10,5.746786254837724,"{""family"": ""additive_quadratic"", ""inner_MAE"": 6.073894878084665, ""penalty"": 0.1}"
4,M2_MEAN_RIDGE,10,5.746786254837724,"{""candidate"": ""eeg_off"", ""inner_MAE"": 6.073894878084665}"
4,M3_MEAN_THEN_MLP,10,4.39875498238124,"{""inner_MAE"": 9.233201470787643, ""penalty"": 0.1}"
4,M4_MLP_THEN_MEAN,10,4.415572080982285,"{""inner_MAE"": 9.278629520395198, ""penalty"": 0.1}"
