candidate,ci_high,ci_low,gain_MAE,interval,loo_max,loo_min,meaning,n_identity_groups,n_nonzero_paired_differences,reference,repetitions,scope,seed,status
M4_MLP_THEN_MEAN,-1.8405548653489021,-5.371730916435692,-3.5673277555336957,percentile,-3.325703887822907,-3.822363602208804,complete method vs original clinical numbers,52,49,M0_C,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4_MLP_THEN_MEAN,-1.176456798872737,-4.740250451140414,-2.9330409792506553,percentile,-2.6565787592064622,-3.2363190763822405,EEG increment beyond the acquisition summary (main archival increment),52,51,M1_CQ,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4_MLP_THEN_MEAN,0.09650049512947353,-0.10079099271076687,-0.0054051469402784085,percentile,0.0186643548801021,-0.04041044376401102,learn-then-aggregate vs aggregate-then-learn (main method comparison),52,48,M3_MEAN_THEN_MLP,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M2_MEAN_RIDGE,0.0,0.0,0.0,percentile,0.0,0.0,fixed segment-mean EEG reference,52,0,M1_CQ,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M1_CQ,0.1436695061062743,-1.5526307718279668,-0.6342867762830404,percentile,-0.2872601185474844,-0.7894303452889727,technical summary alone,52,47,M0_C,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
