mode,variant,comparison,baseline_MAE,augmented_MAE,leave_one_out_gain_minimum,leave_one_out_gain_maximum,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,seed,effect,gain_definition,valid,model,original_MAE,variant_MAE
R_SIM,all_trials,original_budget_minus_variant,,,,,5.167292229908285e-05,-0.4494805394797446,0.41415520286629603,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_6,6.555803561864796,6.555751888942496
R_SIM,all_trials,original_budget_minus_variant,,,,,0.042323205113788176,-0.2215205475855183,0.32517845124529193,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_7,6.685191914898368,6.64286870978458
R_SIM,all_trials,original_budget_minus_variant,,,,,-0.03546447343389577,-0.2736711829273162,0.19924404994285672,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_8,6.588548590991697,6.624013064425592
R_SIM,all_trials,original_budget_minus_variant,,,,,0.2650044019752343,-0.049661669130081486,0.6222980291683675,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D6_CRANDOM_9,6.520044522297291,6.255040120322057
R_SIM,all_trials,original_budget_minus_variant,,,,,0.027603783112904887,-0.42666740184627905,0.412896223974222,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D7_CPRE,7.04219876958803,7.014594986475125
R_SIM,budget40_count_qc,D2_minus_D3,7.178584560687288,7.179814922439032,-0.011748410770659917,0.007964279866408788,-0.0012303617517447636,-0.04419518827038222,0.044854993863497304,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,,,
R_SIM,budget40_count_qc,D1_minus_D3,7.2595132516743694,7.179814922439032,-0.047151457907736616,0.15164288487420166,0.07969832923533877,-0.262605732470637,0.4729277564438111,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,,,
R_SIM,budget40_count_qc,original_budget_minus_variant,,,,,-0.7045575946098229,-2.47508557278156,0.4370675517902686,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D1_C,6.554955657064546,7.2595132516743694
R_SIM,budget40_count_qc,original_budget_minus_variant,,,,,-0.6368443027227629,-2.4252438262276708,0.5446488099653629,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D2_CV,6.5417402579645225,7.178584560687288
R_SIM,budget40_count_qc,original_budget_minus_variant,,,,,-0.7468042852929341,-2.479632660203709,0.4456861091180633,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D3_CVN,6.433010637146096,7.179814922439032
R_SIM,all_trials_count_qc,D2_minus_D3,7.120819810855421,7.068347885494202,-0.011490837353972836,0.08034442815261031,0.052471925361219814,-0.08104846706212955,0.2402482386671987,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,,,
R_SIM,all_trials_count_qc,D1_minus_D3,7.2595132516743694,7.068347885494202,0.08532804523228776,0.27506970760432664,0.19116536618016747,-0.29275405492289397,0.7326089231057196,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,,,
R_SIM,all_trials_count_qc,original_budget_minus_variant,,,,,-0.7045575946098229,-2.47508557278156,0.4370675517902686,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D1_C,6.554955657064546,7.2595132516743694
R_SIM,all_trials_count_qc,original_budget_minus_variant,,,,,-0.5790795528908987,-2.459711269252382,0.6212954694334334,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D2_CV,6.5417402579645225,7.120819810855421
R_SIM,all_trials_count_qc,original_budget_minus_variant,,,,,-0.6353372483481053,-2.5037592010895167,0.5894266905665416,51,2000,20260917,baseline_minus_augmented,baseline - augmented,True,D3_CVN,6.433010637146096,7.068347885494202
