alias_count,attempted_units,coverage_fraction,explicit_count,field,inherited_count,missing_count,present_count
0,7553,0.5317092546008209,4016,fit_id,0,3537,4016
0,7553,0.0,0,packet,0,7553,0
0,7553,0.16126042632066728,1218,mode,0,6335,1218
0,7553,0.26135310472659873,1974,view,0,5579,1974
3701,7553,0.49000397193168277,0,objective_id,0,3852,3701
0,7553,0.0,0,optimizer_id,0,7553,0
0,7553,0.05163511187607573,390,outer_fold,0,7163,390
0,7553,0.047663180193300674,360,inner_fold,0,7193,360
0,7553,0.49000397193168277,3701,seed,0,3852,3701
4151,7553,0.5495829471733086,0,training_scope_hash,0,3402,4151
3701,7553,0.6433205348868,1158,input_hash,0,2694,4859
0,7553,0.0,0,feature_scope_hash,0,7553,0
0,7553,0.0,0,label_map_hash,0,7553,0
0,7553,0.0,0,weight_distribution,0,7553,0
0,7553,0.0,0,hyperparameter_source,0,7553,0
0,7553,0.0,0,calibration_scope_hash,0,7553,0
0,7553,0.0,0,n_train_candidates,0,7553,0
0,7553,0.0,0,n_train_trials_or_bags,0,7553,0
0,7553,0.0,0,n_eval_candidates,0,7553,0
0,7553,0.0,0,n_eval_trials_or_bags,0,7553,0
3509,7553,0.46458360916192243,0,step_count,0,4044,3509
0,7553,0.0,0,final_train_loss,0,7553,0
0,7553,0.0,0,gradient_diagnostic,0,7553,0
0,7553,0.0,0,finite_parameters,0,7553,0
3701,7553,0.49000397193168277,0,optimizer_status,0,3852,3701
0,7553,0.0,0,resource_usage,0,7553,0
0,7553,1.0,0,code_hash,7553,0,7553
0,7553,1.0,0,config_hash,7553,0,7553
0,7553,0.0,0,model_hash,0,7553,0
0,7553,0.0,0,prediction_hash,0,7553,0
0,7553,0.0,0,exception_class,0,7553,0
0,7553,0.0,0,failure_stage,0,7553,0
