model,task,seed,fold,child,n,n_class1,auc,bacc,ce_bal_bits,j_bits
multitask,pt,11,0,G3e8af,467,69,0.48457869055422037,0.5101959070715898,1.0099945068359375,-0.0099945068359375
multitask,pt,11,0,Gdd369,828,119,0.5408908274170035,0.5214647212904908,0.9970933794975281,0.002906620502471924
multitask,pt,11,0,Gced13,1416,199,0.5167910216654349,0.5350581997910671,1.0023694038391113,-0.002369403839111328
multitask,pt,11,0,Ge5576,855,131,0.5021614440555017,0.5035373877103454,1.0038622617721558,-0.0038622617721557617
multitask,pt,11,0,G34ded,669,104,0.5192477876106194,0.5251957113682777,1.0005559921264648,-0.0005559921264648438
multitask,bp,11,0,G765c6,865,131,0.5116427813715498,0.5204515672774923,1.0058081150054932,-0.005808115005493164
multitask,bp,11,0,G3f56e,1435,209,0.5010829944503852,0.5040978168392953,1.0092456340789795,-0.009245634078979492
multitask,bp,11,0,Gd5f66,913,139,0.5464698009034632,0.5384018366701987,0.9957660436630249,0.004233956336975098
multitask,bp,11,0,Gc2dfd,96,14,0.5374564459930313,0.5958188153310104,0.9924400448799133,0.00755995512008667
multitask,bp,11,0,Ga19c3,330,50,0.4761785714285714,0.4760714285714286,1.015454649925232,-0.015454649925231934
multitask,bp,11,0,G10afc,800,120,0.5029166666666667,0.5075980392156862,1.0050108432769775,-0.005010843276977539
single_puretone,pt,11,0,G3e8af,467,69,0.49018643944359475,0.5031498070060447,1.0165668725967407,-0.016566872596740723
single_puretone,pt,11,0,Gdd369,828,119,0.555090019082386,0.5342771805478186,0.9920010566711426,0.007998943328857422
single_puretone,pt,11,0,Gced13,1416,199,0.5293806749441539,0.5174847119740031,1.0011308193206787,-0.001130819320678711
single_puretone,pt,11,0,Ge5576,855,131,0.43351187212686093,0.4343342752309055,1.031180739402771,-0.031180739402770996
single_puretone,pt,11,0,G34ded,669,104,0.5697413206262765,0.5253148400272294,0.9864933490753174,0.013506650924682617
single_bapa,bp,11,0,G765c6,865,131,0.46192566091894255,0.46727645235767623,1.015691876411438,-0.01569187641143799
single_bapa,bp,11,0,G3f56e,1435,209,0.5004800299726031,0.5078600029660388,1.0087532997131348,-0.008753299713134766
single_bapa,bp,11,0,Gd5f66,913,139,0.5325088766196346,0.5174929823582994,0.9951081275939941,0.004891872406005859
single_bapa,bp,11,0,Gc2dfd,96,14,0.5627177700348432,0.602787456445993,0.9915837049484253,0.008416295051574707
