child,seed,direction,same_task_val_auc,cross_task_auc,cross_task_j_bits,n_train,n_cross
G1a0f4,11,puretone_to_bapa,0.6724250325945241,0.4811931457584091,-0.0489201545715332,816,960
G1a0f4,11,bapa_to_puretone,0.517829457364341,0.48689693171252457,-0.002389073371887207,816,960
G1a0f4,22,puretone_to_bapa,0.5889830508474576,0.4849883647133489,-0.015627503395080566,816,960
G1a0f4,22,bapa_to_puretone,0.5925064599483204,0.48123213609284066,-0.013286232948303223,816,960
G1a0f4,33,puretone_to_bapa,0.4848435462842242,0.4817347154643537,-0.001984834671020508,816,960
G1a0f4,33,bapa_to_puretone,0.5511627906976744,0.5068657667275043,-0.04857504367828369,816,960
G59a14,11,puretone_to_bapa,0.3877551020408163,0.4038313538698338,-0.012887001037597656,755,865
G59a14,11,bapa_to_puretone,0.7007575757575758,0.5030421724804883,-0.11479449272155762,735,888
G59a14,22,puretone_to_bapa,0.4128401360544218,0.4618788609938224,-0.004037380218505859,755,865
G59a14,22,bapa_to_puretone,0.6376262626262627,0.5576068891113551,-0.016060829162597656,735,888
G59a14,33,puretone_to_bapa,0.5437925170068026,0.48343282650747765,-0.009989023208618164,755,865
G59a14,33,bapa_to_puretone,0.6898148148148149,0.5155024444293255,-0.14703607559204102,735,888
G66eeb,11,puretone_to_bapa,0.6339181286549709,0.4842133033769063,-0.006492137908935547,819,960
G66eeb,11,bapa_to_puretone,0.44485842026825634,0.5123299319727891,-0.002665996551513672,816,963
G66eeb,22,puretone_to_bapa,0.5203216374269006,0.5301947167755992,0.004650592803955078,819,960
G66eeb,22,bapa_to_puretone,0.5013040238450075,0.4935057356275844,-0.0028074979782104492,816,963
G66eeb,33,puretone_to_bapa,0.4722222222222222,0.5148207720588236,-0.002093195915222168,819,960
G66eeb,33,bapa_to_puretone,0.43517138599105815,0.48885387488328663,-0.0008707046508789062,816,963
Ga187b,11,bapa_to_puretone,0.6860215053763441,0.5211856701218404,-0.03707385063171387,583,321
Ga187b,22,bapa_to_puretone,0.6483870967741936,0.5694671758501546,-0.017730355262756348,583,321
Ga187b,33,bapa_to_puretone,0.6258064516129032,0.5244135297326787,-0.024257540702819824,583,321
Gab417,11,puretone_to_bapa,0.5285018012290739,0.5109552599758161,-0.0009952783584594727,994,977
Gab417,11,bapa_to_puretone,0.5704724409448819,0.5227945363015745,-0.00177001953125,830,1170
Gab417,22,puretone_to_bapa,0.4330366603093876,0.547565497783152,0.002855658531188965,994,977
Gab417,22,bapa_to_puretone,0.3978346456692913,0.4800241277644048,-0.003832101821899414,830,1170
Gab417,33,puretone_to_bapa,0.39235007416825596,0.5004433696090287,-0.005095839500427246,994,977
Gab417,33,bapa_to_puretone,0.5196850393700787,0.5792833828478654,0.00942683219909668,830,1170
Gb4f11,11,puretone_to_bapa,0.524968394437421,0.49378301503453875,-0.014371752738952637,799,757
Gb4f11,11,bapa_to_puretone,0.4866717440974867,0.49366229062924394,-0.005377769470214844,643,940
Gb4f11,22,puretone_to_bapa,0.5831226295828066,0.5141744548286604,-0.11240077018737793,799,757
Gb4f11,22,bapa_to_puretone,0.5582635186595583,0.5076647227474058,0.0004551410675048828,643,940
Gb4f11,33,puretone_to_bapa,0.5850189633375474,0.5168156575917648,-0.04561948776245117,799,757
Gb4f11,33,bapa_to_puretone,0.5803503427265804,0.5018152122777585,-0.02525031566619873,643,940
Gdca85,11,puretone_to_bapa,0.43442328422565574,0.5048391302080617,-0.0017631053924560547,814,882
Gdca85,11,bapa_to_puretone,0.45971280414838445,0.5085973618356874,-0.001089334487915039,750,958
Gdca85,22,puretone_to_bapa,0.5997125404240029,0.4960421338061219,-0.017202138900756836,814,882
Gdca85,22,bapa_to_puretone,0.47467092142002393,0.47299486787971323,-0.008897781372070312,750,958
Gdca85,33,puretone_to_bapa,0.50700682716493,0.5095948271366741,-0.00021886825561523438,814,882
Gdca85,33,bapa_to_puretone,0.6166733147187873,0.484590914874666,-0.04913020133972168,750,958
Geda03,11,puretone_to_bapa,0.4373219373219373,0.4769462546422815,-0.004597663879394531,493,473
Geda03,11,bapa_to_puretone,0.4091511936339523,0.5311917121733073,0.00014340877532958984,402,580
Geda03,22,puretone_to_bapa,0.6581196581196581,0.5341601849905403,0.0037459731101989746,493,473
Geda03,22,bapa_to_puretone,0.47480106100795766,0.4390548102204544,-0.008907079696655273,402,580
Geda03,33,puretone_to_bapa,0.41310541310541304,0.5269252329899796,-0.0005095005035400391,493,473
Geda03,33,bapa_to_puretone,0.383289124668435,0.48387604215825075,-0.0033932924270629883,402,580
Gef4f4,11,puretone_to_bapa,0.5246449456975772,0.5026836632002684,-0.004269838333129883,820,956
Gef4f4,11,bapa_to_puretone,0.6942110177404296,0.5228973927670311,-0.045769333839416504,813,965
Gef4f4,22,puretone_to_bapa,0.4649122807017544,0.46312973619246683,-0.008910417556762695,820,956
Gef4f4,22,bapa_to_puretone,0.7005135387488328,0.5120311185870481,-0.04788482189178467,813,965
Gef4f4,33,puretone_to_bapa,0.5396825396825398,0.5032255567310917,-0.004967927932739258,820,956
Gef4f4,33,bapa_to_puretone,0.6781045751633987,0.5563540790580319,-0.028969883918762207,813,965
