mode,seed,fold,child,eval_half,shift_samples,auc_shifted,auc_unshifted_input
aligned,11,0,7,even,30,0.5579455266955268,0.3802759740259741
aligned,11,0,7,odd,30,0.41548972853998534,0.45515407190022006
aligned,11,0,12,even,0,0.47228867623604465,0.47228867623604465
aligned,11,0,12,odd,30,0.47442455242966747,0.5232245730966959
aligned,11,0,14,even,40,0.45790160511548994,0.49856453086258645
aligned,11,0,14,odd,40,0.5146109240080018,0.5204856802815832
aligned,11,0,21,even,30,0.44016388236041415,0.5728577780600902
aligned,11,0,21,odd,30,0.4808896603362603,0.5418623647130897
aligned,11,0,23,even,30,0.35639262036600206,0.6661286718148635
aligned,11,0,23,odd,30,0.39607624191747376,0.5484042691318912
aligned,11,0,24,even,30,0.5031911268085634,0.48106623911763796
aligned,11,0,24,odd,30,0.5235275472568003,0.5191080278930382
aligned,11,0,29,even,0,0.5692655522060839,0.5692655522060839
aligned,11,0,29,odd,0,0.5276162790697675,0.5276162790697675
aligned,11,0,30,even,30,0.4321276595744681,0.5097473404255319
aligned,11,0,30,odd,0,0.5538574230874284,0.5538574230874284
aligned,11,0,33,even,-20,0.48955655526992287,0.46891066838046275
aligned,11,0,33,odd,-20,0.4927197364225741,0.5136039961738761
aligned,11,0,37,even,30,0.5450980392156862,0.49793601651186786
aligned,11,0,37,odd,-10,0.43649457538346426,0.4280770669659559
aligned,11,0,42,even,0,0.4984641815910037,0.4984641815910037
aligned,11,0,42,odd,0,0.474962986463621,0.474962986463621
aligned,11,0,48,even,0,0.523295985060691,0.523295985060691
aligned,11,0,48,odd,30,0.3699712643678161,0.5508310034172104
aligned,11,0,49,even,0,0.5334130982367757,0.5334130982367757
aligned,11,0,49,odd,-10,0.5717996674979219,0.52958748960931
aligned,11,0,57,even,30,0.5053884711779448,0.5571428571428572
aligned,11,0,57,odd,30,0.45750626566416036,0.5775939849624061
aligned,11,0,66,even,30,0.4586892770623486,0.6070859365038888
aligned,11,0,66,odd,30,0.4966858839368937,0.5116684503055201
aligned,11,1,5,even,-20,0.5277654433851378,0.5344260154107353
aligned,11,1,5,odd,0,0.5429664723032069,0.5429664723032069
aligned,11,1,8,even,10,0.5143305904592461,0.5109668631157567
aligned,11,1,8,odd,30,0.48265201839550326,0.5264052120592744
aligned,11,1,10,even,0,0.6191988814756672,0.6191988814756672
aligned,11,1,10,odd,0,0.6064360375656603,0.6064360375656603
aligned,11,1,11,even,-20,0.48855700863382423,0.5136173184357542
aligned,11,1,11,odd,-20,0.47399359284332687,0.5312651112185687
aligned,11,1,20,even,0,0.5125141201693653,0.5125141201693653
aligned,11,1,20,odd,30,0.4809846411533342,0.4911615595136614
aligned,11,1,25,even,30,0.5301787519529455,0.5445424746500015
aligned,11,1,25,odd,30,0.5013681795838112,0.5435072914959855
aligned,11,1,27,even,40,0.5068229166666667,0.4554947916666666
aligned,11,1,27,odd,0,0.43297998811174954,0.43297998811174954
aligned,11,1,40,even,30,0.5004537401149475,0.5220171989110237
aligned,11,1,40,odd,30,0.4729767184035477,0.5652716186252771
aligned,11,1,43,even,0,0.526961926961927,0.526961926961927
aligned,11,1,43,odd,30,0.5458826731999455,0.5229889750918743
aligned,11,1,45,even,0,0.5167508167508167,0.5167508167508167
aligned,11,1,45,odd,0,0.5339053545112167,0.5339053545112167
aligned,11,1,50,even,0,0.5698412698412698,0.5698412698412698
aligned,11,1,50,odd,0,0.5818854568854569,0.5818854568854569
aligned,11,1,56,even,30,0.4322250639386188,0.49172980854267745
aligned,11,1,56,odd,30,0.4664675428116288,0.5157042347006505
aligned,11,1,58,even,0,0.5112546410891089,0.5112546410891089
aligned,11,1,58,odd,40,0.451063829787234,0.5073240589198036
aligned,11,1,62,even,30,0.5007978723404255,0.5235294117647058
aligned,11,1,62,odd,30,0.48757356875334407,0.6047217763509899
aligned,11,1,69,even,0,0.5155487458858246,0.5155487458858246
aligned,11,1,69,odd,40,0.5390375675336098,0.5084809649453448
aligned,11,2,4,even,10,0.5411207541330306,0.5331029324529957
aligned,11,2,4,odd,10,0.5295420266008501,0.5171877142465378
aligned,11,2,6,even,0,0.4595712754555198,0.4595712754555198
aligned,11,2,6,odd,30,0.4239174836601307,0.49611928104575165
aligned,11,2,9,even,40,0.5451617420529338,0.5194650609158381
aligned,11,2,9,odd,0,0.554727157360406,0.554727157360406
aligned,11,2,16,even,0,0.5698105329088157,0.5698105329088157
aligned,11,2,16,odd,30,0.512126272264631,0.4532575275657337
aligned,11,2,31,even,30,0.4874466892880491,0.5246824705040003
aligned,11,2,31,odd,0,0.4931282590242128,0.4931282590242128
aligned,11,2,32,even,0,0.5452422293414199,0.5452422293414199
aligned,11,2,32,odd,0,0.5111278810979509,0.5111278810979509
aligned,11,2,46,even,30,0.48906886614329725,0.5166120109973833
aligned,11,2,46,odd,70,0.46394833236938504,0.47945183471499264
aligned,11,2,47,even,30,0.48184988507569154,0.5294840294840295
aligned,11,2,47,odd,30,0.503945737173374,0.519049208468434
aligned,11,2,55,even,-20,0.45087064676616917,0.5358830845771144
aligned,11,2,55,odd,30,0.47683758802816906,0.5429962588028169
aligned,11,2,59,even,0,0.5244458354812579,0.5244458354812579
aligned,11,2,59,odd,0,0.5214269515790397,0.5214269515790397
aligned,11,2,63,even,0,0.4648626590115952,0.4648626590115952
aligned,11,2,63,odd,10,0.49893607966635456,0.5125968167503617
aligned,11,2,65,even,0,0.5843638676844785,0.5843638676844785
aligned,11,2,65,odd,0,0.5556440036539214,0.5556440036539214
aligned,11,2,67,even,60,0.5209164292497627,0.4799382716049383
aligned,11,2,67,odd,0,0.4966668451488541,0.4966668451488541
aligned,11,2,68,even,30,0.37360695841261216,0.6077285494246625
aligned,11,2,68,odd,30,0.4846125422297297,0.5259184966216216
aligned,11,2,70,even,0,0.546895119418484,0.546895119418484
aligned,11,2,70,odd,-20,0.5605314226003881,0.5613711001642036
aligned,11,3,0,even,0,0.5193656753285248,0.5193656753285248
aligned,11,3,0,odd,0,0.5215464129244249,0.5215464129244249
aligned,11,3,1,even,60,0.45667802362598325,0.47131929279907386
aligned,11,3,1,odd,30,0.5182650271502904,0.5459917100273393
aligned,11,3,2,even,30,0.45110332634887373,0.48353195390256676
aligned,11,3,2,odd,30,0.4381924198250728,0.5223943148688046
aligned,11,3,3,even,0,0.5627732898539984,0.5627732898539984
aligned,11,3,3,odd,0,0.5394539965874787,0.5394539965874787
aligned,11,3,19,even,30,0.4563530927835051,0.5793685567010308
aligned,11,3,19,odd,0,0.5222090466661726,0.5222090466661726
aligned,11,3,22,even,0,0.5461377323906782,0.5461377323906782
