half,stimulus_local_id,history,position_third,quota,candidates,median_trials,minimum_trials,zero_cell_candidates,below_quota_candidates,literal_code
0,0,0,0,4,55,38.0,9,0,0,1
0,0,0,1,4,55,45.0,14,0,0,1
0,0,0,2,3,55,33.0,6,0,0,1
0,0,1,0,3,55,19.0,5,0,0,1
0,0,1,1,3,55,26.0,11,0,0,1
0,0,1,2,3,55,19.0,2,0,1,1
0,1,0,0,4,55,0.0,0,54,55,2
0,1,0,1,4,55,0.0,0,54,55,2
0,1,0,2,3,55,0.0,0,54,55,2
0,1,1,0,3,55,16.0,5,0,0,2
0,1,1,1,3,55,16.0,5,0,0,2
0,1,1,2,3,55,14.0,2,0,1,2
1,0,0,0,4,55,32.0,9,0,0,1
1,0,0,1,4,55,32.0,12,0,0,1
1,0,0,2,3,55,30.0,4,0,0,1
1,0,1,0,3,55,21.0,9,0,0,1
1,0,1,1,3,55,21.0,9,0,0,1
1,0,1,2,3,55,23.0,7,0,0,1
1,1,0,0,4,55,0.0,0,55,55,2
1,1,0,1,4,55,0.0,0,54,55,2
1,1,0,2,3,55,0.0,0,54,54,2
1,1,1,0,3,55,12.0,3,0,0,2
1,1,1,1,3,55,13.0,5,0,0,2
1,1,1,2,3,55,13.0,2,0,1,2
