source,child,segment,segment_start_s,auc,n
child_spatial_s11_odd_even_blocks_b0,0,0,0.0,0.6875,36
child_spatial_s11_odd_even_blocks_b0,0,1,120.0,0.7076023391812866,47
child_spatial_s11_odd_even_blocks_b0,0,2,240.0,0.47941176470588237,44
child_spatial_s11_odd_even_blocks_b0,0,3,360.0,0.4222222222222222,49
child_spatial_s11_odd_even_blocks_b0,0,4,480.0,0.4375,42
child_spatial_s11_odd_even_blocks_b0,0,6,720.0,0.5874999999999999,50
child_spatial_s11_odd_even_blocks_b0,1,0,0.0,0.6022058823529411,97
child_spatial_s11_odd_even_blocks_b0,1,1,120.0,0.498125,100
child_spatial_s11_odd_even_blocks_b0,1,2,240.0,0.5627705627705627,98
child_spatial_s11_odd_even_blocks_b0,1,3,360.0,0.469150641025641,94
child_spatial_s11_odd_even_blocks_b0,1,4,480.0,0.6329113924050633,97
child_spatial_s11_odd_even_blocks_b0,1,5,600.0,0.6382113821138211,100
child_spatial_s11_odd_even_blocks_b0,2,0,0.0,0.6423611111111112,44
child_spatial_s11_odd_even_blocks_b0,2,2,240.0,0.5886363636363636,51
child_spatial_s11_odd_even_blocks_b0,2,3,360.0,0.67003367003367,42
child_spatial_s11_odd_even_blocks_b0,2,5,600.0,0.47619047619047616,37
child_spatial_s11_odd_even_blocks_b0,3,0,0.0,0.5907859078590787,50
child_spatial_s11_odd_even_blocks_b0,3,1,120.0,0.4026315789473684,48
child_spatial_s11_odd_even_blocks_b0,3,2,240.0,0.4977272727272727,51
child_spatial_s11_odd_even_blocks_b0,3,3,360.0,0.5,51
child_spatial_s11_odd_even_blocks_b0,3,4,480.0,0.5311653116531165,50
child_spatial_s11_odd_even_blocks_b0,3,5,600.0,0.37669376693766937,50
child_spatial_s11_odd_even_blocks_b0,4,0,0.0,0.5420054200542006,100
child_spatial_s11_odd_even_blocks_b0,4,1,120.0,0.6078947368421053,96
child_spatial_s11_odd_even_blocks_b0,4,2,240.0,0.6267123287671234,93
child_spatial_s11_odd_even_blocks_b0,4,3,360.0,0.4513888888888889,89
child_spatial_s11_odd_even_blocks_b0,4,4,480.0,0.6253561253561254,96
child_spatial_s11_odd_even_blocks_b0,4,5,600.0,0.4060356652949245,99
child_spatial_s11_odd_even_blocks_b0,5,0,0.0,0.5501355013550135,50
child_spatial_s11_odd_even_blocks_b0,5,1,120.0,0.39499999999999996,50
child_spatial_s11_odd_even_blocks_b0,5,2,240.0,0.4423076923076923,49
child_spatial_s11_odd_even_blocks_b0,5,3,360.0,0.5,51
child_spatial_s11_odd_even_blocks_b0,5,4,480.0,0.5071225071225072,48
child_spatial_s11_odd_even_blocks_b0,5,5,600.0,0.4986772486772486,51
child_spatial_s11_odd_even_blocks_b0,6,1,120.0,0.6286764705882353,42
child_spatial_s11_odd_even_blocks_b0,6,2,240.0,0.558974358974359,49
child_spatial_s11_odd_even_blocks_b0,6,3,360.0,0.41025641025641024,47
child_spatial_s11_odd_even_blocks_b0,8,1,120.0,0.49743589743589745,49
child_spatial_s11_odd_even_blocks_b0,8,2,240.0,0.3213213213213213,46
child_spatial_s11_odd_even_blocks_b0,8,3,360.0,0.47916666666666663,50
child_spatial_s11_odd_even_blocks_b0,8,4,480.0,0.61625,50
child_spatial_s11_odd_even_blocks_b0,8,5,600.0,0.415625,48
child_spatial_s11_odd_even_blocks_b0,10,0,0.0,0.5027777777777778,49
child_spatial_s11_odd_even_blocks_b0,10,1,120.0,0.7550000000000001,50
child_spatial_s11_odd_even_blocks_b0,10,2,240.0,0.6409090909090909,51
child_spatial_s11_odd_even_blocks_b0,10,3,360.0,0.6476964769647696,50
child_spatial_s11_odd_even_blocks_b0,10,4,480.0,0.7710027100271002,50
child_spatial_s11_odd_even_blocks_b0,10,5,600.0,0.6166666666666667,49
child_spatial_s11_odd_even_blocks_b0,11,0,0.0,0.6267806267806268,48
child_spatial_s11_odd_even_blocks_b0,11,1,120.0,0.5128571428571429,45
child_spatial_s11_odd_even_blocks_b0,11,2,240.0,0.43939393939393945,47
child_spatial_s11_odd_even_blocks_b0,11,3,360.0,0.5241935483870968,39
