seed,train_tertile,test_tertile,auc_child_mean,children
11,0,1,0.5310169433961754,19
11,0,2,0.540293111253224,19
11,0,0,0.5011485102831226,19
11,1,0,0.5286485272208813,19
11,1,2,0.5434415487679777,19
11,1,1,0.5243911360696636,19
11,2,0,0.5208972924760777,19
11,2,1,0.5325548940157843,19
11,2,2,0.5351149107187471,19
22,0,1,0.5311988147893999,19
22,0,2,0.5313502841650406,19
22,0,0,0.512804656650048,19
22,1,0,0.5264437413975621,19
22,1,2,0.543812465002588,19
22,1,1,0.5245307148779685,19
22,2,0,0.5156481384574932,19
22,2,1,0.5161171503304579,19
22,2,2,0.526368175910182,19
33,0,1,0.5371645649805739,19
33,0,2,0.545646455333056,19
33,0,0,0.5207285924534609,19
33,1,0,0.5237710969366214,19
33,1,2,0.5324428931050115,19
33,1,1,0.5284829550088866,19
33,2,0,0.5371847302298484,19
33,2,1,0.5362660598354555,19
33,2,2,0.5320210650185956,19
