representation,probability_mode,family,statistic,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,seed,units,uncertainty
L0,calibrated,linear,CE_C_L,0.9983441526933015,0.9969958897129773,0.9996477516014578,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,CE_C_LL,0.9984134554265551,0.9972004102054902,0.999668416201227,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,CE_C_LR,0.9981098378758375,0.9965091831194391,0.9996830164684755,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,CE_C_R,0.9979130916432799,0.9962682057825014,0.9995607053518769,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,CE_C_RR,0.9982716503794663,0.9966587853218752,0.9999950067528343,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,G_R_given_L,0.00023431481746394311,-0.0004776784765215758,0.0009372169472860369,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,G_L_given_R,-0.0001967462325576097,-0.0009172565517863385,0.0005378958171727168,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,T_C,-0.0001967462325576097,-0.0009228881760523861,0.00020853241718099254,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,J_joint,0.0018901621241624866,0.00031698353152457285,0.003490816880560846,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,calibrated,linear,duplicate_margin,0.00016181250362878874,-0.0005740027466306751,0.0004210456395930316,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,CE_C_L,0.9984295426175136,0.9965669247295343,1.0002430984366162,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,CE_C_LL,0.9983502641036934,0.9972300059121375,0.9994716384365676,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,CE_C_LR,0.9980886666904751,0.996544639161366,0.9995272130430111,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,CE_C_R,0.9979908103000632,0.9958520778783014,1.0002053283507184,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,CE_C_RR,0.9979707526994979,0.9964391536664907,0.9993819795809483,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,G_R_given_L,0.00034087592703846425,-0.0006714820510198616,0.0013924033798364088,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,G_L_given_R,-9.785639041193228e-05,-0.0013478540551561612,0.001189082277642145,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,T_C,-9.785639041193228e-05,-0.0013601439511175622,0.0006684502795669122,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,J_joint,0.0019113333095248652,0.00047278695698894094,0.0034553608386339208,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
L0,raw,linear,duplicate_margin,-0.00011791399097726973,-0.0008206858903128111,0.0003210263565020047,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,CE_C_L,0.9984713520771881,0.9972710417792211,0.9996615599628461,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,CE_C_LL,0.9984635018659136,0.9972909596598128,0.9996425214385037,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,CE_C_LR,0.9983778620358836,0.9968754032378531,0.9998525079102557,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,CE_C_R,0.9990682690797618,0.9977964374832804,1.000391590204792,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,CE_C_RR,0.9989978992473542,0.9977249844113785,1.000285513774956,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,G_R_given_L,9.349004130443372e-05,-0.0006058444589666978,0.0008119800445251234,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,G_L_given_R,0.0006904070438781273,4.8842140855615004e-05,0.0013418028670094749,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,T_C,9.349004130443372e-05,-0.0006058444589666978,0.0006020183576841115,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,J_joint,0.0016221379641163658,0.00014749208974432218,0.0031245967621469552,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,calibrated,linear,duplicate_margin,8.56398300299599e-05,-0.0006079252590403983,0.0005782928929517619,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,CE_C_L,0.9982398135991812,0.9966535923778879,0.9997591038177654,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,CE_C_LL,0.9987615793409582,0.9973363430040352,1.0002736181450682,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,CE_C_LR,0.9987135608840834,0.997196816842283,1.0002474898359082,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,CE_C_R,0.9988447571845032,0.997499237336168,1.000189158799317,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,CE_C_RR,0.9988901692279296,0.9972987503914986,1.0004993393847381,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,G_R_given_L,-0.00047374728490212625,-0.0014777862289958089,0.0005439045640476978,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,G_L_given_R,0.00013119630041980024,-0.000663297788791617,0.0008898413946875653,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,T_C,-0.00047374728490212625,-0.0014777862289958089,0.0003072189773555916,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,J_joint,0.0012864391159166377,-0.00024748983590821557,0.0028031831577169618,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_RAND,raw,linear,duplicate_margin,4.801845687485429e-05,-0.0008710338861605604,0.0003830423011727552,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,CE_C_L,1.0091356686200665,1.0053442798622132,1.0129933190925715,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,CE_C_LL,1.008968896121151,1.005135455700062,1.0128910694849071,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,CE_C_LR,1.0166757820079202,1.011057245697086,1.0220357090006422,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,CE_C_R,1.0086221079693605,1.0045287787156238,1.0125850217104875,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,CE_C_RR,1.0084640616899405,1.0043526035832913,1.0125055517872417,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,G_R_given_L,-0.007540113387853653,-0.010576121727006444,-0.004421661517237132,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,G_L_given_R,-0.008053674038559722,-0.011116987631995595,-0.005059547947526639,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,T_C,-0.008053674038559722,-0.011348174785764664,-0.006053436235234688,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,J_joint,-0.016675782007920192,-0.022035709000642233,-0.011057245697086,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,calibrated,linear,duplicate_margin,-0.008211720317979676,-0.011410364012212033,-0.006214373049491473,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,CE_C_L,1.0093415927492155,1.005484981485174,1.0133644754098048,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,CE_C_LL,1.009444432422192,1.005526995260653,1.0135293873820563,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,CE_C_LR,1.018456836370323,1.0126651051911881,1.0241857411896196,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,CE_C_R,1.0091222627459748,1.005090227416139,1.0131669942108945,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,CE_C_RR,1.0081208343107428,1.0041438186319231,1.0120174757301221,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,G_R_given_L,-0.009115243621107494,-0.0123602971252057,-0.005910920636585727,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,G_L_given_R,-0.009334573624348197,-0.012496660929261844,-0.006252065554526961,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,T_C,-0.009334573624348197,-0.012905116804631023,-0.007412674562258716,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,J_joint,-0.018456836370323026,-0.02418574118961968,-0.01266510519118808,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SUP,raw,linear,duplicate_margin,-0.010336002059580185,-0.013631593835175848,-0.007823358272718108,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
