representation,family,model,probability_mode,ce_bits,bacc,auroc,brier,candidate_groups,class0_trials,class1_trials
L0,linear,C_L,calibrated,0.9983441526933015,0.5239087074586751,0.5330840918083383,0.49885060844348156,60,37825,9350
L0,linear,C_L,raw,0.9984295426175134,0.5239087074586751,0.5330840918083383,0.4989062422721405,60,37825,9350
L0,linear,C_LL,calibrated,0.9984134554265552,0.522879336221011,0.5331663018202428,0.49889912111945,60,37825,9350
L0,linear,C_LL,raw,0.9983502641036937,0.522879336221011,0.5331663018202428,0.4988558896517402,60,37825,9350
L0,linear,C_LR,calibrated,0.9981098378758373,0.5311503299741488,0.5373506755357702,0.4986868938050694,60,37825,9350
L0,linear,C_LR,raw,0.9980886666904752,0.5311503299741488,0.5373506755357702,0.4986738346659033,60,37825,9350
L0,linear,C_R,calibrated,0.99791309164328,0.526621106268123,0.5370524488143045,0.49854756150236706,60,37825,9350
L0,linear,C_R,raw,0.9979908103000633,0.526621106268123,0.5370524488143045,0.4985880783276073,60,37825,9350
L0,linear,C_RR,calibrated,0.9982716503794663,0.5264301273788847,0.5360848816002884,0.49879430807819664,60,37825,9350
L0,linear,C_RR,raw,0.9979707526994978,0.5264301273788847,0.5360848816002884,0.4985902865795795,60,37825,9350
R_RAND,linear,C_L,calibrated,0.9984713520771884,0.5228400472579644,0.5302680814842402,0.4989400433662343,60,37825,9350
R_RAND,linear,C_L,raw,0.9982398135991813,0.5228400472579644,0.5302680814842402,0.49878035412993343,60,37825,9350
R_RAND,linear,C_LL,calibrated,0.9984635018659133,0.522751337628233,0.5300512105434945,0.49893460195378336,60,37825,9350
R_RAND,linear,C_LL,raw,0.9987615793409582,0.522751337628233,0.5300512105434945,0.4991396291975351,60,37825,9350
R_RAND,linear,C_LR,calibrated,0.9983778620358836,0.5196390276033059,0.5300781042539897,0.4988750484234918,60,37825,9350
R_RAND,linear,C_LR,raw,0.9987135608840833,0.5196390276033059,0.5300781042539897,0.49910716016438544,60,37825,9350
R_RAND,linear,C_R,calibrated,0.9990682690797617,0.5171880933660573,0.5259152889316285,0.49935228393204173,60,37825,9350
R_RAND,linear,C_R,raw,0.9988447571845033,0.5171880933660573,0.5259152889316285,0.49919925477658633,60,37825,9350
R_RAND,linear,C_RR,calibrated,0.9989978992473542,0.5187164422404068,0.5263304959849162,0.4993038392003442,60,37825,9350
R_RAND,linear,C_RR,raw,0.99889016922793,0.5187164422404068,0.5263304959849162,0.49922961564126384,60,37825,9350
R_SUP,linear,C_L,calibrated,1.0091356686200663,0.5137369183718108,0.5192857114566868,0.5060083891130855,60,37825,9350
R_SUP,linear,C_L,raw,1.0093415927492155,0.5137369183718108,0.5192857114566868,0.5061315555540556,60,37825,9350
R_SUP,linear,C_LL,calibrated,1.008968896121151,0.5153622229211203,0.5196415275894726,0.5058984372682189,60,37825,9350
R_SUP,linear,C_LL,raw,1.0094444324221918,0.5153622229211203,0.5196415275894726,0.5061932840868808,60,37825,9350
R_SUP,linear,C_LR,calibrated,1.0166757820079202,0.5206562772522737,0.5289146668956967,0.510489332553609,60,37825,9350
R_SUP,linear,C_LR,raw,1.018456836370323,0.5206562772522737,0.5289146668956967,0.5115660269904485,60,37825,9350
R_SUP,linear,C_R,calibrated,1.0086221079693607,0.5149545493927389,0.5279247551913908,0.5055998247727814,60,37825,9350
R_SUP,linear,C_R,raw,1.0091222627459748,0.5149545493927389,0.5279247551913908,0.505919403456731,60,37825,9350
R_SUP,linear,C_RR,calibrated,1.0084640616899407,0.5190236594078096,0.5285674265327026,0.5054962531754528,60,37825,9350
R_SUP,linear,C_RR,raw,1.008120834310743,0.5190236594078096,0.5285674265327026,0.5052686545988648,60,37825,9350
