representation,probability_mode,family,model,intervention,ce_increase_bits,perturbed_ce_bits,ci_lower,ci_upper,n_candidates,n_bootstrap,OOD_diagnostic,seed
L0,calibrated,linear,C_LL,opposite_class_first,0.0020305680413687114,1.000444023467924,0.0006816555564311953,0.00342976114148922,60,2000,True,20260917
L0,calibrated,linear,C_LL,opposite_class_second,0.0020305680413687187,1.000444023467924,0.0006816555564312006,0.003429761141489229,60,2000,True,20260917
L0,calibrated,linear,C_LL,same_class_first,-0.00042298820660696863,0.9979904672199483,-0.0008192352488060493,-6.158621829621536e-05,60,2000,True,20260917
L0,calibrated,linear,C_LL,same_class_second,-0.0004229882066069705,0.9979904672199483,-0.0008192352488060494,-6.158621829620821e-05,60,2000,True,20260917
L0,calibrated,linear,C_LL,zero_first,0.0004878827160057275,0.9989013381425612,-0.00016965418949861795,0.0011001133993432152,60,2000,True,20260917
L0,calibrated,linear,C_LL,zero_second,0.0004878827160057275,0.9989013381425612,-0.00016965418949861795,0.0011001133993432152,60,2000,True,20260917
L0,calibrated,linear,C_LR,opposite_class_first,0.002912320540935722,1.0010221584167731,0.0011344503641136571,0.00476209205020512,60,2000,True,20260917
L0,calibrated,linear,C_LR,opposite_class_second,0.0034750301475670207,1.0015848680234043,0.0014965911170591825,0.005506217635307852,60,2000,True,20260917
L0,calibrated,linear,C_LR,same_class_first,-0.0002504935269972345,0.99785934434884,-0.0008694297080855065,0.00036253927847640404,60,2000,True,20260917
L0,calibrated,linear,C_LR,same_class_second,-0.00025057837205494555,0.9978592595037824,-0.0009268190616568581,0.0004752655425184951,60,2000,True,20260917
L0,calibrated,linear,C_LR,zero_first,0.0006206915380593536,0.9987305294138966,-0.0002268152595237929,0.0014427413295213698,60,2000,True,20260917
L0,calibrated,linear,C_LR,zero_second,0.0008535105905470408,0.9989633484663843,-0.00011092291962609765,0.0017975430900554503,60,2000,True,20260917
L0,calibrated,linear,C_RR,opposite_class_first,0.0026838808404898292,1.0009555312199558,0.0009206652022611472,0.0043918325095618875,60,2000,True,20260917
L0,calibrated,linear,C_RR,opposite_class_second,0.0026838808404898253,1.0009555312199558,0.0009206652022611398,0.004391832509561883,60,2000,True,20260917
L0,calibrated,linear,C_RR,same_class_first,-0.0008296165646299165,0.9974420338148364,-0.0014687374068924777,-0.0002109455001919018,60,2000,True,20260917
L0,calibrated,linear,C_RR,same_class_second,-0.0008296165646299222,0.9974420338148364,-0.0014687374068924816,-0.0002109455001919146,60,2000,True,20260917
L0,calibrated,linear,C_RR,zero_first,0.00036331622176089727,0.9986349666012273,-0.0005411541524152114,0.0011878331071837743,60,2000,True,20260917
L0,calibrated,linear,C_RR,zero_second,0.00036331622176089727,0.9986349666012273,-0.0005411541524152114,0.0011878331071837743,60,2000,True,20260917
L0,raw,linear,C_LL,opposite_class_first,0.0019966768637890635,1.0003469409674828,0.0007800250348111489,0.003252425920938048,60,2000,True,20260917
L0,raw,linear,C_LL,opposite_class_second,0.001996676863789065,1.0003469409674828,0.0007800250348111489,0.003252425920938048,60,2000,True,20260917
L0,raw,linear,C_LL,same_class_first,-0.0003092508788448486,0.9980410132248487,-0.0006661806344468673,3.1762158979593364e-05,60,2000,True,20260917
L0,raw,linear,C_LL,same_class_second,-0.0003092508788448541,0.9980410132248487,-0.0006661806344468748,3.176215897958791e-05,60,2000,True,20260917
L0,raw,linear,C_LL,zero_first,0.0005894598089140243,0.9989397239126075,1.8218722963507752e-05,0.001140646209220206,60,2000,True,20260917
L0,raw,linear,C_LL,zero_second,0.0005894598089140243,0.9989397239126075,1.8218722963507752e-05,0.001140646209220206,60,2000,True,20260917
