model,seed,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
child_spatial,11,odd_even_blocks,0,1,1,292,43,0.5599140749042683,0.5484729616138975,0.9912225008010864,0.008777499198913574
child_spatial,11,odd_even_blocks,0,4,1,316,44,0.5061831550802138,0.48980614973262027,1.0036976337432861,-0.003697633743286133
child_spatial,11,odd_even_blocks,0,7,1,320,43,0.5848375451263539,0.5848795231298799,0.9879990816116333,0.0120009183883667
child_spatial,11,odd_even_blocks,0,8,1,281,47,0.5095017275868339,0.5284597199490817,1.0032984018325806,-0.0032984018325805664
child_spatial,11,odd_even_blocks,0,12,2,445,68,0.4946559525667031,0.4696715556249025,1.0100443363189697,-0.010044336318969727
child_spatial,11,odd_even_blocks,0,13,1,313,49,0.576530612244898,0.534438775510204,0.9883000254631042,0.011699974536895752
child_spatial,11,odd_even_blocks,0,15,1,313,48,0.49292452830188677,0.49838836477987425,1.008560061454773,-0.00856006145477295
child_spatial,11,odd_even_blocks,0,22,1,297,48,0.48493975903614456,0.4787901606425703,1.0049424171447754,-0.004942417144775391
child_spatial_meanfilter,11,odd_even_blocks,0,1,1,292,43,0.5128887643597646,0.5233492107966751,0.9979848861694336,0.0020151138305664062
child_spatial_meanfilter,11,odd_even_blocks,0,4,1,316,44,0.44786096256684493,0.5008355614973262,1.0033035278320312,-0.00330352783203125
child_spatial_meanfilter,11,odd_even_blocks,0,7,1,320,43,0.5197716396608177,0.5038199983208799,1.0007431507110596,-0.0007431507110595703
child_spatial_meanfilter,11,odd_even_blocks,0,8,1,281,47,0.5111838516093835,0.4662211311147481,1.00177800655365,-0.0017780065536499023
child_spatial_meanfilter,11,odd_even_blocks,0,12,2,445,68,0.49617725074114527,0.5038812607271025,1.0016276836395264,-0.0016276836395263672
child_spatial_meanfilter,11,odd_even_blocks,0,13,1,313,49,0.5846861471861472,0.5383039579468151,0.9978152513504028,0.002184748649597168
child_spatial_meanfilter,11,odd_even_blocks,0,15,1,313,48,0.5567216981132075,0.5234669811320755,0.9981553554534912,0.001844644546508789
child_spatial_meanfilter,11,odd_even_blocks,0,22,1,297,48,0.5330488621151271,0.5028865461847389,0.999570906162262,0.0004290938377380371
child_spatial,11,odd_even_blocks,1,1,1,339,61,0.4959016393442623,0.4933069937492629,1.0044724941253662,-0.004472494125366211
child_spatial,11,odd_even_blocks,1,4,1,313,54,0.5084727584727585,0.4885957385957386,1.0079538822174072,-0.007953882217407227
child_spatial,11,odd_even_blocks,1,7,1,314,48,0.4932252506265664,0.5013314536340852,1.0044925212860107,-0.004492521286010742
child_spatial,11,odd_even_blocks,1,8,1,289,40,0.45110441767068277,0.4572791164658635,1.006103754043579,-0.0061037540435791016
child_spatial,11,odd_even_blocks,1,12,2,487,71,0.521008261105092,0.5128148699891658,1.0031349658966064,-0.0031349658966064453
child_spatial,11,odd_even_blocks,1,13,1,273,43,0.5220424671385238,0.4864509605662285,0.9988682270050049,0.0011317729949951172
child_spatial,11,odd_even_blocks,1,15,1,319,48,0.5368619311193112,0.5920587330873309,0.9989241361618042,0.0010758638381958008
child_spatial,11,odd_even_blocks,1,22,1,302,46,0.647843070652174,0.5952785326086957,0.977774977684021,0.022225022315979004
child_spatial_meanfilter,11,odd_even_blocks,1,1,1,339,61,0.4189468097653025,0.4975822620592051,1.002853274345398,-0.0028532743453979492
child_spatial_meanfilter,11,odd_even_blocks,1,4,1,313,54,0.5150865150865152,0.473044473044473,0.9998364448547363,0.00016355514526367188
child_spatial_meanfilter,11,odd_even_blocks,1,7,1,314,48,0.4206610275689223,0.4542606516290727,1.0012426376342773,-0.0012426376342773438
child_spatial_meanfilter,11,odd_even_blocks,1,8,1,289,40,0.4232429718875502,0.45421686746987955,1.002795696258545,-0.002795696258544922
child_spatial_meanfilter,11,odd_even_blocks,1,12,2,487,71,0.490147616468039,0.49994921451787644,1.0005384683609009,-0.0005384683609008789
