child,n,balanced_brier,calibration_slope,calibration_intercept,auc
0,827,0.2535762244267833,-0.19038361947847687,-1.7755855148913036,0.47756954266855256
1,321,0.2508052966292775,0.2761483053812513,-1.985475050882694,0.4949081651209311
2,965,0.25021001829073053,0.4541970263622999,-1.7409258606181608,0.5276534903280068
3,866,0.2486799981340361,0.8816808112127236,-1.6545331934628553,0.5467258659188867
4,786,0.244937851584266,2.5417223729416385,-1.4941741563918354,0.5985111132218845
5,963,0.25108579540577997,0.11319592297073831,-1.7149788025429225,0.5037098172602374
6,1717,0.24911200810753903,0.7089549601677013,-1.7347658099118424,0.528143222587667
7,901,0.2505595141525244,0.2841706268038311,-1.7553046791985538,0.5126788036410923
8,967,0.2526440094326528,-0.1347944554708456,-1.7658078141587565,0.48577696495114453
9,580,0.25106768695891724,0.038084150735962045,-1.683129198245892,0.5017079035483943
10,785,0.2491087704944564,0.7067176141300976,-1.7494233886119832,0.5570073707540848
11,467,0.2554635516581278,-0.4521980957467613,-1.7737363556141308,0.4739822299905324
12,740,0.24785913590222797,1.0134947709904165,-1.7535527234235562,0.5539177489177489
13,960,0.2452107108712467,1.8541827714766193,-1.7279674766554511,0.5909337442749406
14,748,0.2515269384842017,0.11044579776392156,-1.7361633364027425,0.490285265049416
15,940,0.24913732739979214,0.6979646982910752,-1.750507501937489,0.5367924444562796
16,888,0.24927870944715044,0.6782231875221377,-1.6831552276953388,0.539018534897509
17,828,0.24391246294525326,1.932230206219199,-1.8205387128212172,0.6047575588768653
18,1416,0.24977069929469808,0.5933011035588027,-1.8091774183302118,0.5248159449672355
19,855,0.2534767405399797,-0.3552809328771548,-1.7280038349879792,0.4798616675804479
20,1170,0.24877843923968387,0.8582983508400388,-1.6874292487011502,0.5411299460507698
21,936,0.24884839103115325,0.8887168520310836,-1.7121293018081496,0.5431776618047193
22,879,0.25050828339275577,0.2629660697361594,-1.6819121603847582,0.5156955934987971
23,958,0.2477407708965801,1.2843210090974135,-1.7567465822638424,0.5597785977859778
24,491,0.2547203644941375,-0.24142268875234288,-1.8480257788772194,0.49200929315685726
25,659,0.2516593470776553,0.024263777659876407,-1.7324514836820601,0.5022907647907647
26,669,0.2477378398195122,1.1625798112115227,-1.6936211058553277,0.559428182437032
27,776,0.25298981870725645,0.37852680824163354,-1.5817860091466023,0.5316829111418959
28,88,0.24172153444345157,4.038186544393174,-1.8496416620929237,0.6448717948717949
29,860,0.25358588715682356,-0.6897768910849231,-1.7354957456442117,0.4727976817702846
30,508,0.25425261575344965,-0.0822003653539079,-1.7708535564951216,0.5000622742558227
31,811,0.2541135762862326,-0.937473193868582,-1.7548333685636641,0.47311866859623736
32,781,0.25123222338787765,0.24646217928808006,-1.7054038003865108,0.5224596570852245
33,97,0.255611925974291,-1.9224706890143246,-1.1959960929373779,0.4421269095182139
34,416,0.2519834058576914,-0.19819598882171818,-1.7782041649500788,0.5121020599250936
35,797,0.24749130218842288,1.006989101912625,-1.676146958442201,0.5516001969473165
