child,kind,n,slope_per_position,slope_per_second,position_coef_given_time,bin0,bin1,bin2,bin3,bin4
0,standard,570,-0.0013074211528502808,-0.0012204160449516713,0.004653934980297708,-0.006560618511299959,-0.016253986874142205,-0.025252638922797308,0.0032826972730231985,-0.016819222332680066
0,deviant,108,0.007077445135735328,0.0007759375136728819,0.007734217361011752,-0.05745417277018229,0.014739905463324652,0.03932262602306548,,-0.0040861059118200245
1,standard,810,0.001239229571384331,6.072375980080398e-05,0.0016823965963412338,-0.03871618551984635,-0.022407120727128048,-0.033542675918407656,-0.006862773551597248,-0.029767562038353138
1,deviant,142,-0.005633096067283441,-0.0012225326599137392,-0.0031754704304556,-0.0017856829094164298,0.02897135416666667,-0.020656331380208337,0.028423490978422616,-0.013327511581214693
2,standard,815,0.005507711300321455,0.0008911015693589665,0.0062057077386189295,-0.050370028177897146,-0.03187305533625997,-0.019987364828368246,-0.004477655785715476,-0.023302757221719494
2,deviant,143,-0.0027580296763002146,-0.001708545156425769,0.0039253033503671535,-0.028902488842345125,0.009086750171802658,-0.04612375895182292,-0.012474255684094557,-0.02820426989824344
3,standard,400,-0.0030662288409728598,9.431802195645575e-06,-0.005103305209971846,0.02633383495560109,0.02874735466339303,0.037907254254376445,-0.0006228715945512814,0.018711927306927473
3,deviant,70,0.013654227022012452,0.0014055645597834282,0.00884381936410408,-0.02592264811197917,,,,0.03249417818509615
4,standard,815,-0.0040741168986496434,-0.0017142611378873247,0.0009783965270598791,-0.009893773094056141,-0.01322771468252506,-0.02530355164498994,-0.013156738281250004,-0.02712587023538256
4,deviant,144,0.00898985777498814,0.0019647126475778234,0.006070899899830556,-0.04720185932360197,-0.021065159847861847,0.030654342086226846,0.0026653240888546703,0.002265294392903644
5,standard,642,-0.0029560088812726495,-0.0010515541354136112,0.000610847050362352,-0.02084866548195863,-0.0180894306727818,-0.0039052877340230844,0.0023994250175280413,-0.030206694426359957
5,deviant,114,-0.005433996419045616,0.00010959148149127765,-0.008340974908231331,0.0168420040246212,-0.044643402099609375,0.018147786458333332,,-0.0343110313018163
6,standard,731,-0.005720637303428792,-0.001316560624938489,-0.0022370132243071184,-0.020607342510103432,-0.05260498314573055,-0.011646550455134673,-0.0541962158985627,-0.049346071338325845
6,deviant,130,0.01705359592010049,0.0004562259166769317,0.025947888481019338,-0.10423431131574841,-0.0832357695608428,-0.07670091699670863,-0.008028772142198349,-0.03827837919577574
