partition,window_centre_s,directions,children,auc_mean,auc_lo,auc_hi
early_late_halves,-0.16,42,21,0.49816138363952855,0.4830445216871706,0.5126772596387895
early_late_halves,-0.14,42,21,0.49686439439633223,0.48290516017862645,0.5101679359102611
early_late_halves,-0.12000000000000001,42,21,0.49921028630201936,0.4855065447998204,0.512124787490758
early_late_halves,-0.1,42,21,0.5017020089342431,0.487124641235893,0.5159784151403608
early_late_halves,-0.08000000000000002,42,21,0.4989020268437714,0.4848020158487689,0.5131620515850339
early_late_halves,-0.06,42,21,0.49747956283823214,0.482827896859868,0.5119072513159656
early_late_halves,-0.04000000000000001,42,21,0.49723307962509933,0.4844293336055932,0.5105251380415979
early_late_halves,-0.020000000000000018,42,21,0.5011117239842753,0.48922333774266663,0.5124532797154052
early_late_halves,0.0,42,21,0.5031899172968259,0.4925228933774285,0.5138454092848372
early_late_halves,0.01999999999999999,42,21,0.5185404892017972,0.5077524222718239,0.5303825765699886
early_late_halves,0.03999999999999998,42,21,0.5115171454115701,0.5027777467990907,0.5198935597204355
early_late_halves,0.06,42,21,0.5315018182307566,0.5170787362480643,0.5483545297138214
early_late_halves,0.08000000000000002,42,21,0.5429684989909489,0.5212976010744608,0.5698810750283578
early_late_halves,0.09999999999999998,42,21,0.54692037758527,0.5226942907640819,0.57599055378771
early_late_halves,0.12,42,21,0.5295436429759919,0.506858782776025,0.5550201370130887
early_late_halves,0.14,42,21,0.5168899087752264,0.4988594324500542,0.5359617553211043
early_late_halves,0.15999999999999998,42,21,0.5155597727234151,0.5016218262715554,0.530672161849845
early_late_halves,0.18,42,21,0.5135666454304288,0.4991669222707657,0.5283229398706779
early_late_halves,0.2,42,21,0.5173359933066437,0.5028192739146505,0.5318330882601922
early_late_halves,0.21999999999999997,42,21,0.5137340599443047,0.49953222672900804,0.5270266243098015
early_late_halves,0.24,42,21,0.5146725855008829,0.5022245231779441,0.5268641379512765
early_late_halves,0.26,42,21,0.5164967305163998,0.5025317832153838,0.5311126186857505
early_late_halves,0.27999999999999997,42,21,0.5275515834138295,0.5077154199880604,0.5475500436777264
early_late_halves,0.3,42,21,0.5344542722432324,0.5137955114944203,0.5561459877152939
early_late_halves,0.32,42,21,0.5316366464501249,0.513653718560914,0.5509559115176008
early_late_halves,0.34,42,21,0.5262143100618596,0.5124106372918883,0.540766092612109
early_late_halves,0.36000000000000004,42,21,0.5229584931724266,0.5105605380729172,0.5351644853282553
early_late_halves,0.37999999999999995,42,21,0.5212950431910375,0.5081494354983965,0.5345720212645271
early_late_halves,0.39999999999999997,42,21,0.5160079171594228,0.5045221112555196,0.5276806624519088
early_late_halves,0.42,42,21,0.5061531252811017,0.49492284018539756,0.517379993065438
early_late_halves,0.44,42,21,0.51147749468978,0.4983079241066177,0.5248873495067233
early_late_halves,0.46,42,21,0.5081329844798994,0.4931611766990168,0.5247294580183212
early_late_halves,0.48000000000000004,42,21,0.5053691966264314,0.48766119579145667,0.5249450773929282
early_late_halves,0.49999999999999994,42,21,0.5077775752030252,0.4920806983156792,0.5254442258511979
early_late_halves,0.52,42,21,0.5050992933774635,0.4920453086228372,0.5193158822186565
early_late_halves,0.54,42,21,0.4988826537113248,0.4861549409388716,0.5118950513819551
early_late_halves,0.56,42,21,0.49639151120782626,0.4840251668775941,0.5094499643084691
early_late_halves,0.5800000000000001,42,21,0.4934420324660343,0.4807861369008135,0.5067323750069865
early_late_halves,0.6000000000000001,42,21,0.4988549038151761,0.486572746326968,0.5105306894120791
early_late_halves,0.6199999999999999,42,21,0.5011449824588883,0.4893216917093794,0.5122325933514809
early_late_halves,0.6399999999999999,42,21,0.5022660160103909,0.4911816509993439,0.5125702542906755
early_late_halves,0.6599999999999999,42,21,0.5066131780113745,0.4944048006887339,0.5179796876754947
early_late_halves,0.6799999999999999,42,21,0.5100376217803558,0.4988477149935332,0.5211581126846127
early_late_halves,0.7,42,21,0.5064707217357317,0.49457873361094123,0.5187604698313367
early_late_halves,0.72,42,21,0.5039069791935976,0.49127492418849805,0.5161845196727517
early_late_halves,0.74,42,21,0.5003331732921419,0.4869117039852304,0.5134654316767115
early_late_halves,0.76,42,21,0.4962840413842904,0.484181302541624,0.5082435201518416
odd_even_blocks,-0.16,40,20,0.5016567321319447,0.4842708816559602,0.5206954527028984
odd_even_blocks,-0.14,40,20,0.4973943022754327,0.4803072325378318,0.5147892561377473
odd_even_blocks,-0.12000000000000001,40,20,0.4995659405913795,0.483851345798439,0.5156586746128878
odd_even_blocks,-0.1,40,20,0.494783030137548,0.47970033630609676,0.510109041835432
odd_even_blocks,-0.08000000000000002,40,20,0.48891109978957087,0.47417458733522916,0.5042111293888208
odd_even_blocks,-0.06,40,20,0.4877356958015374,0.4733225484309333,0.5028214729110895
odd_even_blocks,-0.04000000000000001,40,20,0.48640465333970784,0.4725891890402345,0.49988282195344486
odd_even_blocks,-0.020000000000000018,40,20,0.4952929754937392,0.4818716964049481,0.5091647958196762
odd_even_blocks,0.0,40,20,0.4972187607487174,0.48396867308405617,0.5098038330279768
odd_even_blocks,0.01999999999999999,40,20,0.5067245960488556,0.495727923842342,0.5167936134455074
odd_even_blocks,0.03999999999999998,40,20,0.49595563790625646,0.4792949024684756,0.5114843252599289
odd_even_blocks,0.06,40,20,0.518051464987051,0.5013865065447699,0.5348782624355364
odd_even_blocks,0.08000000000000002,40,20,0.5389170048846027,0.5165077011334944,0.5664201326046906
odd_even_blocks,0.09999999999999998,40,20,0.5424307579964867,0.5176853062990132,0.5704288395761847
odd_even_blocks,0.12,40,20,0.5299348245065751,0.5060365484175383,0.5551621428364205
odd_even_blocks,0.14,40,20,0.5207600883797083,0.5017450029931112,0.5400093619722274
odd_even_blocks,0.15999999999999998,40,20,0.5074814998628339,0.4902744758592345,0.5251808366018312
odd_even_blocks,0.18,40,20,0.505097472562294,0.4860021471476633,0.5238384455889782
odd_even_blocks,0.2,40,20,0.5140689189818454,0.4975845364495622,0.531761995754503
odd_even_blocks,0.21999999999999997,40,20,0.5163618178467156,0.501704590337764,0.531232655007343
odd_even_blocks,0.24,40,20,0.5137666156751669,0.497520470403471,0.5297367840082934
odd_even_blocks,0.26,40,20,0.5194381483432958,0.5004272901115255,0.5390429628697619
odd_even_blocks,0.27999999999999997,40,20,0.5342087018160674,0.5147905980125894,0.5544377241335465
odd_even_blocks,0.3,40,20,0.5373654976810028,0.5160696674682407,0.5592995259614034
odd_even_blocks,0.32,40,20,0.5336970313280381,0.5131357857681972,0.5561410944031023
odd_even_blocks,0.34,40,20,0.5272991750330734,0.5118484394927024,0.5428748816803581
odd_even_blocks,0.36000000000000004,40,20,0.5205926969907574,0.505154162004528,0.5363330960735818
odd_even_blocks,0.37999999999999995,40,20,0.5145912248617157,0.49980388023733924,0.5297683810708868
odd_even_blocks,0.39999999999999997,40,20,0.5156524321284432,0.499213248332705,0.5328582392330161
odd_even_blocks,0.42,40,20,0.5090316186922059,0.49307371016728835,0.5253448383417482
odd_even_blocks,0.44,40,20,0.5069066335789775,0.49227738474847255,0.520905128767086
odd_even_blocks,0.46,40,20,0.5062103836626487,0.4899524716764612,0.5212065160242574
odd_even_blocks,0.48000000000000004,40,20,0.5032996041068158,0.48645047861016144,0.5194042227404039
odd_even_blocks,0.49999999999999994,40,20,0.49818696165012427,0.48063903745621495,0.5140599038936549
odd_even_blocks,0.52,40,20,0.49287153002234396,0.4743214230593355,0.5111860113544171
odd_even_blocks,0.54,40,20,0.4972603229252785,0.47998955537753685,0.5148745493651022
odd_even_blocks,0.56,40,20,0.5051281383760904,0.4886791673636599,0.521367259075748
odd_even_blocks,0.5800000000000001,40,20,0.5061762118231319,0.48952895043716116,0.5225694634181328
odd_even_blocks,0.6000000000000001,40,20,0.5120716300276145,0.4966066680522128,0.5269491069384468
odd_even_blocks,0.6199999999999999,40,20,0.5097124167307687,0.4919169466769094,0.527711157226887
odd_even_blocks,0.6399999999999999,40,20,0.5083117720498436,0.4875664198421623,0.5289877465570237
