mode,variant,baseline,augmented,n,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,seed,effect,gain_definition,valid,leave_one_out_min,leave_one_out_max,positive_folds,fold_min,fold_max
L0,all_trials,D1_C,D2_CV,52,0.2012231208112638,-0.47572197442558745,0.856086422835854,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04622331733317448,0.35718402007161165,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D3_CVN,52,0.15028259976422134,-0.5178514081750231,0.7879330376194246,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.0057160374598884305,0.3052446652785487,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D4_CN,52,-0.05094052104704247,-0.10141360227825653,-0.0069013131364928,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.059740701979523116,-0.037017127086935865,0,-0.24080973585874624,0.0
L0,all_trials,D1_C,D5_CFULL,52,-0.34163297657128516,-0.7294570769397123,0.007407701971443308,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.4102193315187395,-0.24359971932472327,0,-1.7764914781706829,0.0
L0,all_trials,D1_C,D6_CRANDOM_0,52,0.2012231208112638,-0.47572197442558745,0.856086422835854,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04622331733317448,0.35718402007161165,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_1,52,0.011450206451344048,-0.6792522303754027,0.6991746640501403,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.15117376714437658,0.13319257226894984,2,-1.1507163119841188,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_10,52,0.2130523790566921,-0.46909094825389624,0.8742325030098721,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.05828452181870923,0.36924522455714637,3,-0.45291309094017296,1.0333563984514398
L0,all_trials,D1_C,D6_CRANDOM_11,52,0.2012231208112638,-0.47572197442558745,0.856086422835854,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04622331733317448,0.35718402007161165,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_12,52,0.2012231208112638,-0.47572197442558745,0.856086422835854,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04622331733317448,0.35718402007161165,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_13,52,-0.26714471106489956,-1.0453427495938838,0.48441602624136104,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.4313281975209529,-0.10401608960937687,2,-1.2891089634846116,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_14,52,0.2012231208112638,-0.47572197442558745,0.856086422835854,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04622331733317448,0.35718402007161165,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_15,52,0.14946718003617304,-0.5093365371358568,0.7664685737529984,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04070735664998084,0.28987464556590836,3,-0.722043982970645,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_16,52,0.15734815706729022,-0.49373144257487567,0.7533730611994048,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04356126496147135,0.30487960357262894,3,-0.6810629024088357,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_17,52,-0.10016226064741587,-0.8426315315173001,0.6091701566787576,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.2610715814090087,0.04988912132942844,3,-1.424730894168304,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_18,52,0.1585159407337426,-0.5793666379876704,0.8588658615472048,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.005082647431354628,0.32371729640807534,3,-0.6749904273432833,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_19,52,0.2012231208112638,-0.47572197442558745,0.856086422835854,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04622331733317448,0.35718402007161165,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_2,52,-0.11005137396581059,-0.8850943816740477,0.6241239619781437,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.27115459891011706,0.04184320160923737,3,-1.471479429855261,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_3,52,0.21709055164569513,-0.3958440687248457,0.8343087006558741,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.08156862291023148,0.3400888555143849,3,-0.28644372956078856,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_4,52,0.16545999162119934,-0.5097560070448067,0.8115092332847027,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.00975895031585385,0.320719653054291,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_5,52,0.10401817828385586,-0.6703407800483493,0.8637746708324877,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.05288760445947676,0.2580730982789604,2,-1.1292925316411613,1.71755297012525
L0,all_trials,D1_C,D6_CRANDOM_6,52,0.047558558748584515,-0.6145009580762923,0.7169656431355851,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.11045427535818479,0.20050642738025237,2,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_7,52,-0.8549902609081859,-2.101447539552001,0.19656779064350272,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-1.0307001306944996,-0.5238473683536917,2,-4.238008705183355,0.9718442555752127
L0,all_trials,D1_C,D6_CRANDOM_8,52,0.37843675895433565,-0.5134421301863141,1.3048616803715238,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.12740045991848611,0.5688988434947005,3,-0.45310925891837284,1.7486895993798164
L0,all_trials,D1_C,D6_CRANDOM_9,52,0.2012231208112638,-0.47572197442558745,0.856086422835854,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.04622331733317448,0.35718402007161165,3,-0.45291309094017296,0.9718442555752127
L0,all_trials,D1_C,D7_CPRE,52,-0.04710956931523104,-0.16565409008067997,0.05546899343253549,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.06681894599406114,-0.00650447557081226,0,-0.24496976043920143,0.0
L0,all_trials,D2_CV,D3_CVN,52,-0.05094052104704247,-0.10141360227825653,-0.0069013131364928,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.059740701979523116,-0.037017127086935865,0,-0.24080973585874624,0.0
L0,all_trials_count_qc,D1_C,D2_CV,52,0.2795999982121063,-0.46996139712856255,1.005245172494463,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.1032037416053998,0.41212398236546605,2,-0.1394780693218904,1.2438938811872007
L0,all_trials_count_qc,D1_C,D3_CVN,52,-0.15150904030047554,-1.0302437594541272,0.7165454753250277,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.3363584153093895,-0.003055531853659274,2,-1.6388242987480985,1.2438938811872007
L0,all_trials_count_qc,D2_CV,D3_CVN,52,-0.4311090385125818,-0.8603355557361041,-0.04703240285270332,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.490239405393139,-0.2881378829718853,0,-1.6388242987480985,0.0
L0,budget40,D1_C,D2_CV,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D3_CVN,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D4_CN,52,0.0,0.0,0.0,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0,0.0,0,0.0,0.0
L0,budget40,D1_C,D5_CFULL,52,-0.08181060423030094,-0.19087059880547197,0.004623863989342234,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.10012849674357338,-0.044062268900277514,0,-0.4254151419975649,0.0
L0,budget40,D1_C,D6_CRANDOM_0,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_1,52,0.09271994160446549,-0.5475672556526376,0.725189695429944,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.04741669519482516,0.21898233052168642,3,-0.6655792289904966,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_10,52,0.18401535292699833,-0.5283191395417487,0.8099297811171239,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.06856525361965031,0.37412619559847604,2,-0.11158889296912804,1.1185694666995516
L0,budget40,D1_C,D6_CRANDOM_11,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_12,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_13,52,-0.6814214094334375,-1.60214786366436,0.15690184500723414,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.8323171711025042,-0.38300994639576225,1,-2.5538828709740433,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_14,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_15,52,0.06591625571038325,-0.4994420784139018,0.5936549379364113,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.011149622025998514,0.19634150050431604,2,-0.5956623776661232,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_16,52,0.06425320163861646,-0.7258454231837709,0.8113032598204054,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.05534200563170047,0.22497476258015603,2,-0.580990491633807,1.3660052770254048
L0,budget40,D1_C,D6_CRANDOM_17,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_18,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_19,52,0.1352995555524654,-0.41819513198378816,0.6994041890184808,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.0004179304517497726,0.24639239244570674,2,-0.23486921848729594,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_2,52,-0.2976756878422139,-1.1412877874152831,0.4904000099491558,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.44104702359772713,-0.10692048868738568,2,-2.046792059683938,0.9885276458701483
L0,budget40,D1_C,D6_CRANDOM_3,52,-0.05300834732936735,-0.6244186623450386,0.5114541216485313,52,2000,20260917,baseline_minus_augmented,baseline - augmented,True,-0.18332638781995064,0.0484502078342238,2,-1.2044035468110246,0.9885276458701483
