mode,variant,model,n,MAE
R_SUP,all_trials,D6_CRANDOM_17,52,6.38226429430233
R_SUP,all_trials,D6_CRANDOM_18,52,6.807376486749979
R_SUP,all_trials,D6_CRANDOM_19,52,6.327431415928178
R_SUP,all_trials,D6_CRANDOM_2,52,6.180373175600583
R_SUP,all_trials,D6_CRANDOM_3,52,6.425658307432712
R_SUP,all_trials,D6_CRANDOM_4,52,6.426537477726834
R_SUP,all_trials,D6_CRANDOM_5,52,6.405253555448842
R_SUP,all_trials,D6_CRANDOM_6,52,6.534705072362182
R_SUP,all_trials,D6_CRANDOM_7,52,6.280733895963579
R_SUP,all_trials,D6_CRANDOM_8,52,6.468307128071132
R_SUP,all_trials,D6_CRANDOM_9,52,6.321918716718465
R_SUP,all_trials,D7_CPRE,52,6.607480115832932
R_SUP,all_trials_count_qc,D1_C,52,7.209481958850569
R_SUP,all_trials_count_qc,D2_CV,52,6.750337600960642
R_SUP,all_trials_count_qc,D3_CVN,52,6.826716204234213
R_SUP,budget40,D0_mean,52,17.698952470293936
R_SUP,budget40,D1_C,52,6.607480115832933
R_SUP,budget40,D2_CV,52,6.380612777606962
R_SUP,budget40,D3_CVN,52,6.718741892721018
R_SUP,budget40,D4_CN,52,6.905538379000441
R_SUP,budget40,D5_CFULL,52,6.601360961603802
R_SUP,budget40,D6_CRANDOM_0,52,6.282765537505943
R_SUP,budget40,D6_CRANDOM_1,52,6.406544943669575
R_SUP,budget40,D6_CRANDOM_10,52,6.4970262690731735
R_SUP,budget40,D6_CRANDOM_11,52,6.4825611519447
R_SUP,budget40,D6_CRANDOM_12,52,6.378639869894784
R_SUP,budget40,D6_CRANDOM_13,52,6.370570977721846
R_SUP,budget40,D6_CRANDOM_14,52,6.436298677966667
R_SUP,budget40,D6_CRANDOM_15,52,6.53035412839317
R_SUP,budget40,D6_CRANDOM_16,52,6.408996351207518
R_SUP,budget40,D6_CRANDOM_17,52,6.386097403563332
R_SUP,budget40,D6_CRANDOM_18,52,6.514292821164151
R_SUP,budget40,D6_CRANDOM_19,52,6.32983510486972
R_SUP,budget40,D6_CRANDOM_2,52,6.20704284766351
R_SUP,budget40,D6_CRANDOM_3,52,6.505003948743042
R_SUP,budget40,D6_CRANDOM_4,52,6.436361934562648
R_SUP,budget40,D6_CRANDOM_5,52,6.3850801267830795
R_SUP,budget40,D6_CRANDOM_6,52,6.491082505632453
R_SUP,budget40,D6_CRANDOM_7,52,6.32713883512786
R_SUP,budget40,D6_CRANDOM_8,52,6.504615357608675
R_SUP,budget40,D6_CRANDOM_9,52,6.260522842913501
R_SUP,budget40,D7_CPRE,52,6.607480115832933
R_SUP,budget40_count_qc,D1_C,52,7.209481958850569
R_SUP,budget40_count_qc,D2_CV,52,6.750189026825568
R_SUP,budget40_count_qc,D3_CVN,52,6.743371844125895
