seed,stratum,child,n,n_dev,dev_rate,auc
11,after_standard_run2,7,115,22,0.19130434782608696,0.4261974584555229
11,after_standard_run2,12,192,39,0.203125,0.5780961957432547
11,after_standard_run2,14,197,38,0.19289340101522842,0.5000827540549487
11,after_standard_run2,21,167,34,0.20359281437125748,0.5927686864219371
11,after_standard_run2,23,193,38,0.19689119170984457,0.5131578947368421
11,after_standard_run2,24,366,69,0.1885245901639344,0.49077733860342554
11,after_standard_run2,29,76,12,0.15789473684210525,0.6328125
11,after_standard_run2,30,195,38,0.19487179487179487,0.5553134428427757
11,after_standard_run2,33,186,37,0.1989247311827957,0.5375476147288227
11,after_standard_run2,37,144,29,0.2013888888888889,0.5292353823088456
11,after_standard_run2,42,192,39,0.203125,0.6037372213842803
11,after_standard_run2,48,155,31,0.2,0.5876690946930281
11,after_standard_run2,49,192,35,0.18229166666666666,0.5765241128298454
11,after_standard_run2,57,197,39,0.19796954314720813,0.6014281077572217
11,after_standard_run2,66,167,31,0.18562874251497005,0.6378083491461101
11,after_standard_run3,7,85,21,0.24705882352941178,0.35230654761904756
11,after_standard_run3,12,152,40,0.2631578947368421,0.546875
11,after_standard_run3,14,157,39,0.2484076433121019,0.5736636245110821
11,after_standard_run3,21,133,30,0.22556390977443608,0.6032362459546927
11,after_standard_run3,23,156,39,0.25,0.5615822923515231
11,after_standard_run3,24,290,72,0.2482758620689655,0.52118374108053
11,after_standard_run3,29,71,15,0.2112676056338028,0.7077380952380953
11,after_standard_run3,30,158,39,0.2468354430379747,0.5610859728506787
11,after_standard_run3,33,148,34,0.22972972972972974,0.4971620227038183
11,after_standard_run3,37,117,29,0.24786324786324787,0.5822884012539185
11,after_standard_run3,42,155,38,0.24516129032258063,0.5065227170490327
11,after_standard_run3,48,123,33,0.2682926829268293,0.5535353535353535
11,after_standard_run3,49,157,40,0.25477707006369427,0.558440170940171
11,after_standard_run3,57,158,40,0.25316455696202533,0.703707627118644
11,after_standard_run3,66,134,31,0.23134328358208955,0.560601315377388
11,after_standard_run4plus,7,112,51,0.45535714285714285,0.4321761491481839
11,after_standard_run4plus,12,222,110,0.4954954954954955,0.5595373376623377
11,after_standard_run4plus,14,234,119,0.5085470085470085,0.5263427109974425
11,after_standard_run4plus,21,211,106,0.5023696682464455,0.5876909254267746
11,after_standard_run4plus,23,236,119,0.5042372881355932,0.5279034690799397
11,after_standard_run4plus,24,436,219,0.5022935779816514,0.5041243187509206
11,after_standard_run4plus,29,117,54,0.46153846153846156,0.5298353909465021
11,after_standard_run4plus,30,239,119,0.497907949790795,0.6035714285714286
11,after_standard_run4plus,33,227,112,0.4933920704845815,0.4610248447204969
