packet,risk_unit,support,capability,execution,research,contrast,gain_bits,ci_low,ci_high,identity_groups
P0,bits_per_trial,PASS,PASS,COMPLETE,NO_DETECTABLE_COMPRESSION_PENALTY,R_SIM__post__lambda0.01__PC8_minus_FULL,-0.0017497883504512467,-0.007432838341606195,0.0036190294375158935,49
N2R,bits_per_bag,PASS,PASS,COMPLETE,NO_CONTROLLED_GAIN_ESTABLISHED,HQ_minus_HQV,-0.0008439491115699554,-0.008416884923888979,0.006606403453742466,49
R3,bits_per_trial,PASS,PASS,COMPLETE,NO_ADDED_VALUE_OVER_SUPERVISION,SUP_minus_MATCH__Htrial_Zpost,0.03412474977695781,-0.031362724203380946,0.09847715649566827,49
