outer_fold,role,group_count,group_min_required,bag_count,pair_count,member_trial_count,candidate_count,class_member_counts,class_bag_counts,half_member_counts,class_support,group_support
0,A,28,12,394,197,3152,28,"{'0': 1576, '1': 1576}","{'0': 197, '1': 197}","{'0': 1808, '1': 1344}",True,True
0,B,3,3,48,24,384,3,"{'0': 192, '1': 192}","{'0': 24, '1': 24}","{'0': 208, '1': 176}",True,True
0,C,1,4,18,9,144,1,"{'0': 72, '1': 72}","{'0': 9, '1': 9}","{'0': 80, '1': 64}",True,False
0,D,6,4,76,38,608,6,"{'0': 304, '1': 304}","{'0': 38, '1': 38}","{'0': 352, '1': 256}",True,True
0,E,11,3,162,81,1296,11,"{'0': 648, '1': 648}","{'0': 81, '1': 81}","{'0': 752, '1': 544}",True,True
1,A,27,12,382,191,3056,27,"{'0': 1528, '1': 1528}","{'0': 191, '1': 191}","{'0': 1760, '1': 1296}",True,True
1,B,2,3,34,17,272,2,"{'0': 136, '1': 136}","{'0': 17, '1': 17}","{'0': 160, '1': 112}",True,False
1,C,4,4,52,26,416,4,"{'0': 208, '1': 208}","{'0': 26, '1': 26}","{'0': 240, '1': 176}",True,True
1,D,6,4,88,44,704,6,"{'0': 352, '1': 352}","{'0': 44, '1': 44}","{'0': 400, '1': 304}",True,True
1,E,10,3,142,71,1136,10,"{'0': 568, '1': 568}","{'0': 71, '1': 71}","{'0': 640, '1': 496}",True,True
2,A,30,12,424,212,3392,30,"{'0': 1696, '1': 1696}","{'0': 212, '1': 212}","{'0': 1936, '1': 1456}",True,True
2,B,3,3,38,19,304,3,"{'0': 152, '1': 152}","{'0': 19, '1': 19}","{'0': 176, '1': 128}",True,True
2,C,4,4,62,31,496,4,"{'0': 248, '1': 248}","{'0': 31, '1': 31}","{'0': 272, '1': 224}",True,True
2,D,4,4,56,28,448,4,"{'0': 224, '1': 224}","{'0': 28, '1': 28}","{'0': 256, '1': 192}",True,True
2,E,8,3,118,59,944,8,"{'0': 472, '1': 472}","{'0': 59, '1': 59}","{'0': 560, '1': 384}",True,True
3,A,28,12,406,203,3248,28,"{'0': 1624, '1': 1624}","{'0': 203, '1': 203}","{'0': 1872, '1': 1376}",True,True
3,B,3,3,38,19,304,3,"{'0': 152, '1': 152}","{'0': 19, '1': 19}","{'0': 176, '1': 128}",True,True
3,C,3,4,44,22,352,3,"{'0': 176, '1': 176}","{'0': 22, '1': 22}","{'0': 208, '1': 144}",True,False
3,D,5,4,68,34,544,5,"{'0': 272, '1': 272}","{'0': 34, '1': 34}","{'0': 304, '1': 240}",True,True
3,E,10,3,142,71,1136,10,"{'0': 568, '1': 568}","{'0': 71, '1': 71}","{'0': 640, '1': 496}",True,True
4,A,27,12,382,191,3056,27,"{'0': 1528, '1': 1528}","{'0': 191, '1': 191}","{'0': 1760, '1': 1296}",True,True
4,B,3,3,48,24,384,3,"{'0': 192, '1': 192}","{'0': 24, '1': 24}","{'0': 208, '1': 176}",True,True
4,C,3,4,44,22,352,3,"{'0': 176, '1': 176}","{'0': 22, '1': 22}","{'0': 192, '1': 160}",True,False
4,D,6,4,90,45,720,6,"{'0': 360, '1': 360}","{'0': 45, '1': 45}","{'0': 432, '1': 288}",True,True
4,E,10,3,134,67,1072,10,"{'0': 536, '1': 536}","{'0': 67, '1': 67}","{'0': 608, '1': 464}",True,True
