seed,stratum,child,n,n_dev,dev_rate,auc
11,after_standard_run1,2,122,21,0.1721311475409836,0.5733144743045733
11,after_standard_run1,3,123,27,0.21951219512195122,0.5491898148148148
11,after_standard_run1,10,345,74,0.2144927536231884,0.5034905754462949
11,after_standard_run1,18,67,10,0.14925373134328357,0.46842105263157896
11,after_standard_run1,29,50,10,0.2,0.335
11,after_standard_run1,36,62,15,0.24193548387096775,0.6921985815602837
11,after_standard_run1,40,149,27,0.18120805369127516,0.4489981785063752
11,after_standard_run2,2,104,16,0.15384615384615385,0.328125
11,after_standard_run2,3,98,11,0.11224489795918367,0.5067920585161965
11,after_standard_run2,10,265,51,0.19245283018867926,0.5332142202675463
11,after_standard_run2,18,56,12,0.21428571428571427,0.37878787878787873
11,after_standard_run2,36,58,15,0.25862068965517243,0.5472868217054263
11,after_standard_run2,40,121,22,0.18181818181818182,0.43755739210284667
11,after_standard_run3,2,88,19,0.2159090909090909,0.5758962623951183
11,after_standard_run3,3,85,15,0.17647058823529413,0.5261904761904761
11,after_standard_run3,10,212,33,0.15566037735849056,0.45285254782461487
11,after_standard_run3,18,44,11,0.25,0.33746556473829203
11,after_standard_run3,36,42,13,0.30952380952380953,0.26525198938992045
11,after_standard_run3,40,101,23,0.22772277227722773,0.5816610925306578
11,after_standard_run4plus,2,468,65,0.1388888888888889,0.5012597824012216
11,after_standard_run4plus,3,492,67,0.13617886178861788,0.5047234416154521
11,after_standard_run4plus,10,850,181,0.21294117647058824,0.4656244580432574
11,after_standard_run4plus,17,132,23,0.17424242424242425,0.5305145592341445
11,after_standard_run4plus,18,163,31,0.1901840490797546,0.54227761485826
11,after_standard_run4plus,29,131,27,0.20610687022900764,0.5642806267806267
11,after_standard_run4plus,36,180,25,0.1388888888888889,0.39922580645161293
11,after_standard_run4plus,40,381,81,0.2125984251968504,0.5212551440329218
11,after_deviant,2,144,18,0.125,0.5963403880070547
11,after_deviant,3,145,20,0.13793103448275862,0.49559999999999993
11,after_deviant,10,403,76,0.18858560794044665,0.5375422501207145
11,after_deviant,18,88,20,0.22727272727272727,0.4099264705882353
11,after_deviant,29,61,11,0.18032786885245902,0.3609090909090909
11,after_deviant,36,97,16,0.16494845360824742,0.5632716049382717
11,after_deviant,40,187,36,0.1925133689839572,0.48068432671081673
11,all,2,933,140,0.15005359056806003,0.5133714646009728
11,all,3,950,141,0.14842105263157895,0.5143904128203105
11,all,10,2092,417,0.19933078393881454,0.4942775331973227
11,all,17,282,45,0.1595744680851064,0.5528363806844819
11,all,18,421,85,0.20190023752969122,0.4511904761904762
11,all,29,319,62,0.19435736677115986,0.4983055102296975
11,all,36,460,86,0.18695652173913044,0.4969531152841687
11,all,40,945,190,0.20105820105820105,0.4982084349947717
11,after_standard_run1,9,97,12,0.12371134020618557,0.9357843137254902
11,after_standard_run1,12,137,33,0.24087591240875914,0.5421037296037297
11,after_standard_run1,21,130,22,0.16923076923076924,0.4960016835016834
11,after_standard_run1,27,110,19,0.17272727272727273,0.5057836899942163
