model,seed,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
child_spatial,11,odd_even_blocks,0,3,1,270,48,0.5853978978978979,0.5109797297297297,0.9898194074630737,0.01018059253692627
child_spatial,11,odd_even_blocks,0,6,2,525,78,0.4919979349509551,0.468723111340561,1.0098440647125244,-0.009844064712524414
child_spatial,11,odd_even_blocks,0,7,1,275,43,0.4527365677626303,0.4647654370489174,1.0207669734954834,-0.0207669734954834
child_spatial,11,odd_even_blocks,0,8,1,299,43,0.4833303052325582,0.5069494912790697,1.0194244384765625,-0.0194244384765625
child_spatial,11,odd_even_blocks,0,13,1,295,47,0.5026595744680851,0.5024879890185312,1.020872950553894,-0.020872950553894043
child_spatial,11,odd_even_blocks,0,15,1,305,46,0.4411616585529629,0.4608024173241565,1.037845492362976,-0.037845492362976074
child_spatial,11,odd_even_blocks,0,16,1,281,48,0.5298640915593705,0.4927575107296137,1.0007339715957642,-0.0007339715957641602
child_spatial,11,odd_even_blocks,0,18,2,460,60,0.5175625,0.5170833333333333,1.002650260925293,-0.0026502609252929688
child_spatial,11,odd_even_blocks,0,20,2,360,49,0.49265043638033995,0.48841787518866064,1.004251480102539,-0.0042514801025390625
child_spatial,11,odd_even_blocks,0,21,1,297,43,0.4305072331074895,0.45261856802783373,1.0347447395324707,-0.0347447395324707
child_spatial,11,odd_even_blocks,0,23,1,290,46,0.5074394155381325,0.5284212401995724,1.0052320957183838,-0.005232095718383789
child_spatial,11,odd_even_blocks,0,29,1,291,43,0.5329613653413353,0.5586552888222055,1.0042204856872559,-0.004220485687255859
child_spatial_meanfilter,11,odd_even_blocks,0,3,1,270,48,0.6692942942942942,0.5045045045045045,0.994213342666626,0.0057866573333740234
child_spatial_meanfilter,11,odd_even_blocks,0,6,2,525,78,0.46781965238341083,0.49165376011013595,1.002759337425232,-0.0027593374252319336
child_spatial_meanfilter,11,odd_even_blocks,0,7,1,275,43,0.5010525260625501,0.5,1.0018959045410156,-0.001895904541015625
child_spatial_meanfilter,11,odd_even_blocks,0,8,1,299,43,0.4996366279069767,0.501953125,1.0018786191940308,-0.0018786191940307617
child_spatial_meanfilter,11,odd_even_blocks,0,13,1,295,47,0.5326441317776253,0.5221774193548387,0.9997711181640625,0.0002288818359375
child_spatial_meanfilter,11,odd_even_blocks,0,15,1,305,46,0.4595014268927312,0.521655195568239,1.0055509805679321,-0.005550980567932129
child_spatial_meanfilter,11,odd_even_blocks,0,16,1,281,48,0.5052753934191703,0.4917292560801144,1.002713918685913,-0.002713918685913086
child_spatial_meanfilter,11,odd_even_blocks,0,18,2,460,60,0.5636458333333333,0.49916666666666665,0.9993295669555664,0.0006704330444335938
child_spatial_meanfilter,11,odd_even_blocks,0,20,2,360,49,0.5479034057352845,0.5,1.0005912780761719,-0.000591278076171875
child_spatial_meanfilter,11,odd_even_blocks,0,21,1,297,43,0.44103644021241534,0.5019685039370079,1.0036736726760864,-0.0036736726760864258
child_spatial_meanfilter,11,odd_even_blocks,0,23,1,290,46,0.4703759800427655,0.4782608695652174,1.0049186944961548,-0.004918694496154785
