model,seed,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
per_child,11,odd_even_blocks,0,1,1,292,43,0.4773512655272251,0.47963948818529933,1.0180087089538574,-0.018008708953857422
per_child,11,odd_even_blocks,1,1,1,339,61,0.49772968510437554,0.4915674018162519,1.0065690279006958,-0.006569027900695801
per_child,11,odd_even_blocks,0,4,1,316,44,0.5453709893048129,0.49131016042780745,1.0015887022018433,-0.0015887022018432617
per_child,11,odd_even_blocks,1,4,1,313,54,0.45956670956670953,0.43575718575718575,1.0121443271636963,-0.012144327163696289
per_child,11,odd_even_blocks,0,7,1,320,43,0.5141465871883133,0.5274116363025775,0.99869304895401,0.0013069510459899902
per_child,11,odd_even_blocks,1,7,1,314,48,0.5363016917293233,0.5410401002506265,1.002934217453003,-0.0029342174530029297
per_child,11,odd_even_blocks,0,8,1,281,47,0.466903073286052,0.4784506273867976,1.00556480884552,-0.0055648088455200195
per_child,11,odd_even_blocks,1,8,1,289,40,0.446285140562249,0.452359437751004,1.0071380138397217,-0.00713801383972168
per_child,11,odd_even_blocks,0,12,2,445,68,0.5314011546263068,0.5110391636760805,1.037902593612671,-0.0379025936126709
per_child,11,odd_even_blocks,1,12,2,487,71,0.5035719122426869,0.5057387594799567,1.007828712463379,-0.007828712463378906
per_child,11,odd_even_blocks,0,13,1,313,49,0.4482838589981447,0.4469310451453309,1.0424411296844482,-0.04244112968444824
per_child,11,odd_even_blocks,1,13,1,273,43,0.549747219413549,0.5203741152679474,0.9954078197479248,0.004592180252075195
per_child,11,odd_even_blocks,0,15,1,313,48,0.6174921383647798,0.5543238993710692,0.9887261390686035,0.011273860931396484
per_child,11,odd_even_blocks,1,15,1,319,48,0.5357856703567035,0.5587715252152522,1.0025980472564697,-0.0025980472564697266
per_child,11,odd_even_blocks,0,22,1,297,48,0.5977660642570282,0.5780622489959839,0.9808450937271118,0.019154906272888184
per_child,11,odd_even_blocks,1,22,1,302,46,0.5805876358695652,0.5625849184782609,0.9877742528915405,0.012225747108459473
per_child,11,early_late_halves,0,0,1,357,49,0.4390405512854492,0.4594155844155844,1.0088802576065063,-0.008880257606506348
per_child,11,early_late_halves,1,0,1,311,57,0.5527006492609475,0.5134687111479486,0.99735027551651,0.0026497244834899902
per_child,11,early_late_halves,0,1,1,470,69,0.44524558169792905,0.4808811305070657,1.019356608390808,-0.019356608390808105
per_child,11,early_late_halves,1,1,1,486,74,0.4974580162686959,0.48494489635266336,1.060492753982544,-0.060492753982543945
per_child,11,early_late_halves,0,2,1,465,71,0.47070494030170873,0.46007006506041326,1.133846402168274,-0.13384640216827393
per_child,11,early_late_halves,1,2,1,479,72,0.4968775593775594,0.5231367731367731,1.0044991970062256,-0.004499197006225586
per_child,11,early_late_halves,0,4,1,474,67,0.5120466463750045,0.4966812130991235,1.0029228925704956,-0.0029228925704956055
per_child,11,early_late_halves,1,4,1,469,74,0.5039343140608963,0.48876154635648306,1.0705654621124268,-0.07056546211242676
per_child,11,early_late_halves,0,5,1,421,55,0.44674615002483864,0.4605563835072032,1.0071938037872314,-0.007193803787231445
per_child,11,early_late_halves,1,5,1,317,56,0.5128626163108921,0.5099206349206349,1.0064871311187744,-0.006487131118774414
per_child,11,early_late_halves,0,6,1,417,67,0.49707889125799576,0.49066098081023457,1.0028712749481201,-0.002871274948120117
per_child,11,early_late_halves,1,6,1,435,64,0.5394415431266846,0.5117503369272237,0.9953678250312805,0.004632174968719482
per_child,11,early_late_halves,0,7,1,480,73,0.5355255629228232,0.5287603917740904,1.1329126358032227,-0.13291263580322266
per_child,11,early_late_halves,1,7,1,481,74,0.53028089514576,0.5073710073710074,1.0000457763671875,-4.57763671875e-05
per_child,11,early_late_halves,0,8,1,405,63,0.5281026640675763,0.49832915622389307,0.9993934631347656,0.000606536865234375
per_child,11,early_late_halves,1,8,1,477,64,0.5225862590799031,0.5111607142857143,1.0002589225769043,-0.0002589225769042969
per_child,11,early_late_halves,0,9,1,393,51,0.5555555555555557,0.5460956312349501,1.2504026889801025,-0.25040268898010254
per_child,11,early_late_halves,1,9,1,466,78,0.5193133756278087,0.539056304520222,1.002859354019165,-0.002859354019165039
per_child,11,early_late_halves,0,10,1,460,73,0.5258751902587518,0.5274680542281689,1.0000193119049072,-1.9311904907226562e-05
per_child,11,early_late_halves,1,10,1,467,70,0.5130262684418856,0.510291471752429,1.001265525817871,-0.0012655258178710938
per_child,11,early_late_halves,0,11,2,307,58,0.4809583160227115,0.47853482897105665,1.0085361003875732,-0.008536100387573242
per_child,11,early_late_halves,1,11,2,324,50,0.5224452554744525,0.5313868613138686,1.002461314201355,-0.0024613142013549805
per_child,11,early_late_halves,0,12,2,721,105,0.4747758194186766,0.46872294372294376,1.0070719718933105,-0.007071971893310547
per_child,11,early_late_halves,1,12,2,703,102,0.4984176698965776,0.48892368927604324,1.0052244663238525,-0.005224466323852539
per_child,11,early_late_halves,0,13,1,430,71,0.46096355290517477,0.45686374514496453,1.0077948570251465,-0.007794857025146484
per_child,11,early_late_halves,1,13,1,479,68,0.5184628595963933,0.48300415056533563,0.9989266395568848,0.0010733604431152344
per_child,11,early_late_halves,0,14,1,401,60,0.46796187683284457,0.45681818181818185,1.0148756504058838,-0.014875650405883789
per_child,11,early_late_halves,1,14,1,452,67,0.48532661368482266,0.5057569296375266,1.0028049945831299,-0.002804994583129883
per_child,11,early_late_halves,0,15,1,475,72,0.4201647366969947,0.4279535428728977,1.0665593147277832,-0.0665593147277832
per_child,11,early_late_halves,1,15,1,479,70,0.4452846664338107,0.4466294097100943,1.0857970714569092,-0.08579707145690918
per_child,11,early_late_halves,0,18,1,456,66,0.5873154623154624,0.5445221445221445,0.9922538995742798,0.007746100425720215
per_child,11,early_late_halves,1,18,1,441,70,0.522217943781286,0.5098382749326146,0.9988844990730286,0.0011155009269714355
per_child,11,early_late_halves,0,20,1,447,65,0.5002416431735803,0.47732581554571085,0.9991503953933716,0.000849604606628418
per_child,11,early_late_halves,1,20,1,492,75,0.5203996802557954,0.5366426858513189,1.000516653060913,-0.0005166530609130859
per_child,11,early_late_halves,0,21,1,389,60,0.5300151975683891,0.5073961499493415,1.002451777458191,-0.002451777458190918
per_child,11,early_late_halves,1,21,1,400,58,0.48991732204073407,0.509780197620488,1.0035229921340942,-0.0035229921340942383
per_child,11,early_late_halves,0,22,1,455,57,0.5932954244908754,0.5596182667724587,0.9881930351257324,0.011806964874267578
per_child,11,early_late_halves,1,22,1,464,77,0.5670827880130206,0.5306553911205074,0.9941249489784241,0.005875051021575928
per_child,11,early_late_halves,0,26,1,387,57,0.5007442849548113,0.4964114832535885,1.0027315616607666,-0.0027315616607666016
per_child,11,early_late_halves,1,26,1,469,74,0.43516934656175166,0.5070988710229216,1.0046409368515015,-0.004640936851501465
per_child,22,odd_even_blocks,0,1,1,292,43,0.5647707107499766,0.4909872046324834,0.9943304657936096,0.005669534206390381
per_child,22,odd_even_blocks,1,1,1,339,61,0.4869383181979007,0.5188701497818139,1.002325415611267,-0.00232541561126709
per_child,22,odd_even_blocks,0,4,1,316,44,0.5467496657754011,0.5619986631016043,0.9980712532997131,0.0019287467002868652
per_child,22,odd_even_blocks,1,4,1,313,54,0.5324967824967826,0.553088803088803,1.0404517650604248,-0.040451765060424805
per_child,22,odd_even_blocks,0,7,1,320,43,0.4855175887834775,0.4764503400218286,1.0029594898223877,-0.0029594898223876953
per_child,22,odd_even_blocks,1,7,1,314,48,0.44309993734335845,0.45778508771929827,1.0212900638580322,-0.021290063858032227
per_child,22,odd_even_blocks,0,8,1,281,47,0.4342153118748863,0.4438988907074013,1.00990629196167,-0.009906291961669922
per_child,22,odd_even_blocks,1,8,1,289,40,0.4731425702811245,0.48649598393574295,1.003352165222168,-0.0033521652221679688
per_child,22,odd_even_blocks,0,12,2,445,68,0.4760883133094087,0.5019893899204244,1.0421278476715088,-0.04212784767150879
per_child,22,odd_even_blocks,1,12,2,487,71,0.4797535211267606,0.46847914409534125,1.0061218738555908,-0.00612187385559082
per_child,22,odd_even_blocks,0,13,1,313,49,0.4630875077303649,0.4998453927025356,1.047797441482544,-0.047797441482543945
per_child,22,odd_even_blocks,1,13,1,273,43,0.49373104145601615,0.4941860465116279,1.0014805793762207,-0.0014805793762207031
per_child,22,odd_even_blocks,0,15,1,313,48,0.5599842767295599,0.5271619496855346,1.0002361536026,-0.00023615360260009766
per_child,22,odd_even_blocks,1,15,1,319,48,0.5715329028290284,0.5488929889298892,0.9931617379188538,0.00683826208114624
per_child,22,odd_even_blocks,0,22,1,297,48,0.5869310575635877,0.5837098393574298,1.0089503526687622,-0.008950352668762207
per_child,22,odd_even_blocks,1,22,1,302,46,0.610733695652174,0.5965523097826086,0.9796662926673889,0.020333707332611084
per_child,22,early_late_halves,0,0,1,357,49,0.5458852372117678,0.4707792207792208,1.0018430948257446,-0.001843094825744629
per_child,22,early_late_halves,1,0,1,311,57,0.4932311092692361,0.5074250587097665,1.007938027381897,-0.007938027381896973
per_child,22,early_late_halves,0,1,1,470,69,0.5379124652137772,0.5181791897068921,0.9960747957229614,0.003925204277038574
per_child,22,early_late_halves,1,1,1,486,74,0.5111191288375755,0.5086591445814747,1.0186138153076172,-0.018613815307617188
per_child,22,early_late_halves,0,2,1,465,71,0.4697397583470365,0.48214413383856436,1.0920929908752441,-0.09209299087524414
per_child,22,early_late_halves,1,2,1,479,72,0.49290199290199294,0.48561629811629814,1.0026832818984985,-0.002683281898498535
per_child,22,early_late_halves,0,4,1,474,67,0.5396237485789724,0.5065275587663647,0.9934797286987305,0.006520271301269531
per_child,22,early_late_halves,1,4,1,469,74,0.5430721861101608,0.5651727677044133,1.0709924697875977,-0.07099246978759766
per_child,22,early_late_halves,0,5,1,421,55,0.48373075012419264,0.507799304520616,1.0094083547592163,-0.009408354759216309
per_child,22,early_late_halves,1,5,1,317,56,0.48166392993979196,0.4513546798029557,1.2428059577941895,-0.24280595779418945
per_child,22,early_late_halves,0,6,1,417,67,0.5236034115138594,0.5008955223880597,1.0034433603286743,-0.0034433603286743164
per_child,22,early_late_halves,1,6,1,435,64,0.5364513140161725,0.5039378369272237,1.0105036497116089,-0.010503649711608887
per_child,22,early_late_halves,0,7,1,480,73,0.4969708188886271,0.5178889973410521,1.0767017602920532,-0.07670176029205322
per_child,22,early_late_halves,1,7,1,481,74,0.5343980343980343,0.5073710073710074,0.9959028959274292,0.004097104072570801
per_child,22,early_late_halves,0,8,1,405,63,0.3973591385872087,0.42606516290726815,1.0150136947631836,-0.015013694763183594
per_child,22,early_late_halves,1,8,1,477,64,0.4755031779661017,0.4651747881355932,1.0037500858306885,-0.0037500858306884766
per_child,22,early_late_halves,0,9,1,393,51,0.5231051484921454,0.49724802201582385,1.0699760913848877,-0.0699760913848877
per_child,22,early_late_halves,1,9,1,466,78,0.48430478456251647,0.5075006608511763,1.0039920806884766,-0.0039920806884765625
per_child,22,early_late_halves,0,10,1,460,73,0.5061767725036281,0.5035219992212665,1.0018627643585205,-0.0018627643585205078
per_child,22,early_late_halves,1,10,1,467,70,0.5200251889168765,0.5090680100755667,0.9993261098861694,0.0006738901138305664
per_child,22,early_late_halves,0,11,2,307,58,0.48331256058717625,0.45966625121174354,1.0045289993286133,-0.004528999328613281
per_child,22,early_late_halves,1,11,2,324,50,0.47901459854014594,0.5074452554744525,1.0051548480987549,-0.005154848098754883
per_child,22,early_late_halves,0,12,2,721,105,0.5265847247990105,0.5176948051948052,0.9960067868232727,0.003993213176727295
per_child,22,early_late_halves,1,12,2,703,102,0.46479723336922124,0.46925059541287395,1.0086686611175537,-0.008668661117553711
per_child,22,early_late_halves,0,13,1,430,71,0.45598101141668956,0.45500019616305076,1.0302515029907227,-0.030251502990722656
per_child,22,early_late_halves,1,13,1,479,68,0.5427400887362244,0.5166380420781451,0.996373176574707,0.0036268234252929688
per_child,22,early_late_halves,0,14,1,401,60,0.4611192570869991,0.45760019550342135,1.027342438697815,-0.02734243869781494
per_child,22,early_late_halves,1,14,1,452,67,0.5220585384764489,0.5326032176778446,1.0014514923095703,-0.0014514923095703125
per_child,22,early_late_halves,0,15,1,475,72,0.4811138682106424,0.48054521643231324,1.1261332035064697,-0.12613320350646973
per_child,22,early_late_halves,1,15,1,479,70,0.47214460356269644,0.45679357317499125,1.081526517868042,-0.08152651786804199
per_child,22,early_late_halves,0,18,1,456,66,0.4652097902097902,0.487995337995338,1.0089607238769531,-0.008960723876953125
