kind,seed,fold,centre_s,auc_base,auc_occluded,drop,group,n_channels
time,11,0,-0.16,0.555375977251496,0.5542676659366812,0.0011083113148148138,,
time,11,0,-0.12000000000000001,0.555375977251496,0.5525512536432887,0.0028247236082072913,,
time,11,0,-0.08000000000000002,0.555375977251496,0.5555309152649094,-0.00015493801341337488,,
time,11,0,-0.04000000000000001,0.555375977251496,0.555447318176873,-7.134092537697256e-05,,
time,11,0,0.0,0.555375977251496,0.5570130856177183,-0.0016371083662223285,,
time,11,0,0.03999999999999998,0.555375977251496,0.555055991369445,0.00031998588205106593,,
time,11,0,0.08000000000000002,0.555375977251496,0.5533687628966582,0.0020072143548378607,,
time,11,0,0.12,0.555375977251496,0.5473833326071295,0.007992644644366553,,
time,11,0,0.15999999999999998,0.555375977251496,0.537385794930652,0.01799018232084404,,
time,11,0,0.2,0.555375977251496,0.5369414056083097,0.018434571643186293,,
time,11,0,0.24,0.555375977251496,0.5303690956437895,0.025006881607706477,,
time,11,0,0.27999999999999997,0.555375977251496,0.5460813316142542,0.009294645637241805,,
time,11,0,0.32,0.555375977251496,0.5510058778948338,0.004370099356662216,,
time,11,0,0.36000000000000004,0.555375977251496,0.552820197181231,0.0025557800702650235,,
time,11,0,0.39999999999999997,0.555375977251496,0.5479865697774712,0.007389407474024834,,
time,11,0,0.44,0.555375977251496,0.5406988089794204,0.014677168272075658,,
time,11,0,0.48000000000000004,0.555375977251496,0.5533571573550881,0.002018819896407953,,
time,11,0,0.52,0.555375977251496,0.5554451209074128,-6.91436559168146e-05,,
time,11,0,0.56,0.555375977251496,0.5547588108162346,0.0006171664352614403,,
space,11,0,,0.555375977251496,0.5552520735547067,0.0001239036967892737,band_0_0-15,16.0
space,11,0,,0.555375977251496,0.551654712605319,0.003721264646177058,band_1_16-31,16.0
space,11,0,,0.555375977251496,0.5475583129634572,0.007817664288038761,band_2_32-47,16.0
space,11,0,,0.555375977251496,0.5518742074159242,0.003501769835571822,band_3_48-63,16.0
space,11,0,,0.555375977251496,0.5556040668623826,-0.00022808961088660595,band_4_64-79,16.0
space,11,0,,0.555375977251496,0.5547005291262757,0.000675448125220357,band_5_80-95,16.0
space,11,0,,0.555375977251496,0.539317537848436,0.016058439403060065,band_6_96-111,16.0
