test_lane,train_lanes,seed,child,n_train_children,n,n_class1,auc,bacc,ce_bal_bits,j_bits,epochs
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,0,33,827,120,0.5321310702498822,0.5136610089580387,1.0053730010986328,-0.0053730010986328125,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,1,33,321,39,0.5854700854700854,0.542416803055101,1.0073838233947754,-0.007383823394775391,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,2,33,965,145,0.4166105971404541,0.430340622371741,1.0431594848632812,-0.04315948486328125,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,3,33,866,131,0.5002336812587631,0.4956794931713143,1.016097903251648,-0.01609790325164795,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,4,33,786,128,0.4679545022796353,0.4775954597264438,1.0328763723373413,-0.03287637233734131,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,5,33,963,147,0.4514639189008937,0.48735744297719086,1.043965220451355,-0.04396522045135498,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,6,33,1717,259,0.4545325749029453,0.48983374909300836,1.0441656112670898,-0.044165611267089844,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,7,33,901,132,0.5034775584190408,0.5098021830791661,1.0124993324279785,-0.012499332427978516,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,8,33,967,141,0.5288625006439648,0.5045120464341525,1.0185178518295288,-0.01851785182952881,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,9,33,580,91,0.47590957100159553,0.48015685745747094,1.0149787664413452,-0.014978766441345215,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,10,33,785,116,0.47208262460697903,0.49170790165455386,1.051633358001709,-0.051633358001708984,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,11,33,467,69,0.43387225984997446,0.46171072755079745,1.0586304664611816,-0.05863046646118164,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,12,33,740,110,0.5471284271284271,0.501082251082251,1.0237796306610107,-0.023779630661010742,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,13,33,960,142,0.4496539137022625,0.46625228141464925,1.0397392511367798,-0.039739251136779785,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,14,33,748,112,0.49098017744833783,0.508703953279425,1.0280461311340332,-0.028046131134033203,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,15,33,940,141,0.5078067442459102,0.5079265748852733,1.0372601747512817,-0.03726017475128174,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,16,33,888,137,0.49624345155364624,0.49956262695967424,1.0279173851013184,-0.02791738510131836,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,17,33,828,119,0.5343957046852592,0.5426272060305082,1.0145257711410522,-0.014525771141052246,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,18,33,1416,199,0.49201223867901545,0.495451786459,1.0321431159973145,-0.03214311599731445,14
mff_puretone,mff_bapa+mff_unknown_hdev_ldev,11,19,33,855,131,0.6254428324406394,0.5575471300240394,0.9887796640396118,0.011220335960388184,14
