model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,11,0,4,2,1995,400,0.49419827586206894,0.5038048589341693,1.0014668703079224,-0.0014668703079223633
shared,11,0,5,1,997,200,0.5051442910915935,0.48562421580928483,1.000293493270874,-0.00029349327087402344
shared,11,0,10,1,999,200,0.5207227784730915,0.5347747183979975,0.9985299110412598,0.0014700889587402344
shared,11,0,18,1,997,200,0.5017910915934756,0.5051003764115433,1.0013407468795776,-0.0013407468795776367
shared,11,0,20,2,1996,399,0.5000282484545742,0.5123304504216082,1.0044065713882446,-0.004406571388244629
shared,11,0,31,2,1989,400,0.4829082756450598,0.4986500943989931,1.0048630237579346,-0.00486302375793457
shared,11,0,32,1,1000,200,0.511609375,0.48750000000000004,0.9998549222946167,0.00014507770538330078
shared,11,0,44,1,995,198,0.5330374003523313,0.5162921561917797,0.9977116584777832,0.002288341522216797
shared,11,0,46,1,998,200,0.49391604010025064,0.4989849624060151,1.0012677907943726,-0.0012677907943725586
shared,11,0,51,2,1993,399,0.4937366943079153,0.487251692594095,1.001892328262329,-0.0018923282623291016
shared,11,0,59,2,1991,397,0.5068384590830223,0.4993473636969871,1.0006129741668701,-0.0006129741668701172
shared,11,0,61,1,999,200,0.5138954943679599,0.5272997496871089,1.000614047050476,-0.0006140470504760742
shared,11,0,63,1,994,198,0.4826563372417644,0.4892645043398812,1.0040289163589478,-0.004028916358947754
shared,11,0,66,1,997,200,0.4930269761606022,0.5074121706398996,1.0024968385696411,-0.0024968385696411133
shared,11,0,68,1,993,198,0.47597357219998726,0.5030303030303029,1.0048401355743408,-0.00484013557434082
shared,11,1,0,1,999,200,0.4687046307884856,0.492869211514393,1.005784511566162,-0.005784511566162109
shared,11,1,2,1,997,199,0.490160703265702,0.48096686439717384,1.0018118619918823,-0.0018118619918823242
shared,11,1,9,1,596,89,0.48219311659242514,0.5193803603483811,1.0065984725952148,-0.006598472595214844
shared,11,1,16,1,997,197,0.47661802030456846,0.4774524111675127,1.0039801597595215,-0.003980159759521484
shared,11,1,19,1,1000,200,0.515625,0.515625,1.00023353099823,-0.00023353099822998047
shared,11,1,22,2,1017,201,0.5081577407082236,0.5093466491074041,1.0009191036224365,-0.0009191036224365234
shared,11,1,29,1,356,71,0.524141339263652,0.5289350135903138,1.0007219314575195,-0.0007219314575195312
shared,11,1,33,1,990,197,0.48153577303947614,0.49236658323784893,1.003162145614624,-0.0031621456146240234
shared,11,1,38,2,1990,399,0.5215560900995417,0.5064176783883025,0.999474287033081,0.0005257129669189453
shared,11,1,47,1,1000,200,0.46306875,0.495,1.0049748420715332,-0.004974842071533203
shared,11,1,55,1,997,200,0.513133626097867,0.5062045169385194,0.9994786977767944,0.0005213022232055664
shared,11,1,60,1,598,90,0.4721237970253718,0.4794400699912511,1.003683090209961,-0.0036830902099609375
shared,11,1,62,1,999,200,0.5065362953692114,0.4990613266583229,1.003987431526184,-0.003987431526184082
shared,11,1,69,1,995,200,0.5314496855345913,0.5211949685534591,0.9986779093742371,0.0013220906257629395
shared,11,1,70,1,1000,200,0.5221062499999999,0.530625,1.0008525848388672,-0.0008525848388671875
shared,11,2,1,2,1978,395,0.4979369407550157,0.4989196926201652,1.0013264417648315,-0.001326441764831543
shared,11,2,3,1,999,200,0.5234730913642052,0.5146370463078849,0.9990488290786743,0.0009511709213256836
shared,11,2,15,1,989,198,0.5158347061001928,0.4958689294972481,0.9995975494384766,0.0004024505615234375
shared,11,2,17,1,1000,200,0.5201875,0.51125,0.9988105893135071,0.00118941068649292
shared,11,2,26,1,999,200,0.5197215269086358,0.5153285356695869,0.9992421269416809,0.0007578730583190918
shared,11,2,34,1,1000,200,0.48030625,0.49125,1.0027533769607544,-0.0027533769607543945
shared,11,2,35,1,993,200,0.4716992433795712,0.472484237074401,1.0029966831207275,-0.002996683120727539
shared,11,2,37,1,997,200,0.5022616060225847,0.5040683814303639,1.0006736516952515,-0.0006736516952514648
shared,11,2,39,1,999,200,0.537622027534418,0.5165519399249061,0.9976052045822144,0.0023947954177856445
shared,11,2,50,1,996,200,0.482964824120603,0.47689698492462307,1.0021414756774902,-0.0021414756774902344
shared,11,2,52,1,999,200,0.4865018773466833,0.4802909887359199,1.0013254880905151,-0.0013254880905151367
shared,11,2,53,1,997,200,0.4688393977415308,0.4743036386449184,1.0095629692077637,-0.009562969207763672
shared,11,2,65,1,994,198,0.5181589767016902,0.5067001675041876,1.0018340349197388,-0.0018340349197387695
shared,11,2,71,1,997,200,0.5102760351317441,0.5033375156838144,0.999704122543335,0.00029587745666503906
shared,11,3,6,1,997,198,0.5126420652077723,0.49103677576768945,1.0000851154327393,-8.511543273925781e-05
shared,11,3,12,1,992,197,0.4955847141078441,0.5099830795262268,1.0025103092193604,-0.0025103092193603516
shared,11,3,13,1,997,200,0.5269730238393977,0.5374498117942283,0.9996702075004578,0.00032979249954223633
shared,11,3,21,1,996,199,0.479615770193502,0.4715263897908615,1.007691740989685,-0.007691740989685059
shared,11,3,23,1,997,200,0.47283563362609793,0.48311166875784195,1.0035982131958008,-0.0035982131958007812
shared,11,3,24,2,1995,399,0.5199213572779064,0.5147243107769424,1.0056147575378418,-0.005614757537841797
shared,11,3,28,1,998,200,0.5009962406015038,0.4898182957393484,1.0019373893737793,-0.0019373893737792969
shared,11,3,30,1,1000,200,0.488625,0.4725,1.001880168914795,-0.0018801689147949219
shared,11,3,36,1,999,200,0.48714017521902375,0.47528785982478094,1.0061490535736084,-0.0061490535736083984
shared,11,3,42,1,994,198,0.5343288411755749,0.5408228008730521,0.9987940788269043,0.0012059211730957031
shared,11,3,43,1,996,199,0.5072665712502286,0.49217227921287743,1.0012391805648804,-0.001239180564880371
shared,11,3,57,1,998,200,0.4870332080200501,0.49291353383458647,1.0024439096450806,-0.0024439096450805664
shared,11,3,64,1,992,198,0.5147507823830242,0.5058646922626772,0.9997320175170898,0.00026798248291015625
shared,11,3,67,1,998,200,0.48587406015037593,0.48543859649122806,1.0019381046295166,-0.0019381046295166016
shared,11,4,7,1,998,200,0.49194548872180455,0.4855325814536341,1.0010766983032227,-0.0010766983032226562
shared,11,4,8,1,995,200,0.481251572327044,0.4962421383647799,1.0033230781555176,-0.003323078155517578
shared,11,4,11,1,1000,200,0.4807406249999999,0.5075,1.003678321838379,-0.0036783218383789062
shared,11,4,14,1,999,200,0.49356382978723407,0.5014862327909887,1.0003976821899414,-0.00039768218994140625
shared,11,4,25,2,1523,304,0.5107494818876559,0.5123807262208022,1.0042469501495361,-0.004246950149536133
shared,11,4,27,1,998,200,0.4661434837092732,0.48295739348370925,1.0024971961975098,-0.0024971961975097656
shared,11,4,40,1,1000,200,0.46915624999999994,0.4625,1.0026798248291016,-0.0026798248291015625
shared,11,4,41,1,998,200,0.5202788220551379,0.5135401002506266,0.9996339678764343,0.00036603212356567383
shared,11,4,45,2,1995,400,0.4830023510971787,0.49056426332288405,1.0035574436187744,-0.003557443618774414
shared,11,4,48,1,998,200,0.48123433583959907,0.48679824561403506,1.0020155906677246,-0.0020155906677246094
shared,11,4,49,1,994,196,0.4765165464682114,0.47784640171858217,1.0019245147705078,-0.0019245147705078125
shared,11,4,54,1,1000,200,0.518965625,0.52125,0.9992227554321289,0.0007772445678710938
shared,11,4,56,1,996,200,0.5026821608040202,0.49405778894472363,1.0004372596740723,-0.0004372596740722656
shared,11,4,58,1,996,200,0.49498429648241205,0.5010175879396985,1.001007080078125,-0.001007080078125
shared,22,0,3,1,999,200,0.47673967459324157,0.4771589486858573,1.0046335458755493,-0.004633545875549316
shared,22,0,9,1,596,89,0.4769518870642466,0.49224342353123685,1.007539987564087,-0.007539987564086914
shared,22,0,11,1,1000,200,0.5175093749999999,0.515,1.0001394748687744,-0.00013947486877441406
shared,22,0,32,1,1000,200,0.499375,0.503125,1.0016765594482422,-0.0016765594482421875
shared,22,0,33,1,990,197,0.5013122435524033,0.49259702600802713,1.001595139503479,-0.001595139503479004
shared,22,0,35,1,993,200,0.5190226986128625,0.49238335435056746,0.9993072152137756,0.0006927847862243652
shared,22,0,38,2,1990,399,0.49234809210329405,0.48700711552608733,1.0019924640655518,-0.001992464065551758
shared,22,0,39,1,999,200,0.49758448060075094,0.4996964956195244,1.0014288425445557,-0.001428842544555664
shared,22,0,43,1,996,199,0.5077362975479657,0.4890102961482443,0.9999300241470337,6.99758529663086e-05
shared,22,0,46,1,998,200,0.5350877192982456,0.5337406015037593,0.9977928400039673,0.002207159996032715
shared,22,0,54,1,1000,200,0.5169125,0.5137499999999999,1.0010254383087158,-0.0010254383087158203
shared,22,0,63,1,994,198,0.49538094512968883,0.49500025379422363,1.0019830465316772,-0.001983046531677246
shared,22,0,67,1,998,200,0.4567982456140351,0.46558270676691726,1.0060349702835083,-0.006034970283508301
shared,22,0,68,1,993,198,0.48744044215742327,0.4851724795121022,1.0041821002960205,-0.004182100296020508
shared,22,0,69,1,995,200,0.5145786163522013,0.5335062893081761,1.0008777379989624,-0.0008777379989624023
shared,22,1,4,2,1995,400,0.47534874608150474,0.476833855799373,1.0031970739364624,-0.0031970739364624023
shared,22,1,12,1,992,197,0.5197075631325225,0.5074290457491301,0.9993877410888672,0.0006122589111328125
shared,22,1,14,1,999,200,0.5232759699624531,0.5373247809762203,0.9993617534637451,0.0006382465362548828
shared,22,1,19,1,1000,200,0.5422625000000001,0.525625,0.9977186322212219,0.002281367778778076
shared,22,1,21,1,996,199,0.5074998581363531,0.5028561880922807,1.0006096363067627,-0.0006096363067626953
shared,22,1,25,2,1523,304,0.5025851647165493,0.49659988774232544,1.0024014711380005,-0.0024014711380004883
shared,22,1,30,1,1000,200,0.497140625,0.49875,1.000950574874878,-0.0009505748748779297
shared,22,1,37,1,997,200,0.5022961104140528,0.4885727728983689,1.0006133317947388,-0.0006133317947387695
shared,22,1,40,1,1000,200,0.478934375,0.5,1.0033259391784668,-0.003325939178466797
shared,22,1,45,2,1995,400,0.48757680250783697,0.49233542319749213,1.003371000289917,-0.003371000289916992
shared,22,1,50,1,996,200,0.5608793969849246,0.5264070351758794,0.9957331418991089,0.004266858100891113
shared,22,1,59,2,1991,397,0.4883141756397574,0.48914379805884156,1.0016627311706543,-0.0016627311706542969
shared,22,1,64,1,992,198,0.5192796987507315,0.5167417245502888,0.9993546009063721,0.0006453990936279297
shared,22,1,70,1,1000,200,0.44605625,0.46375,1.0073270797729492,-0.007327079772949219
shared,22,1,71,1,997,200,0.4741593475533249,0.47877979924717695,1.0040974617004395,-0.004097461700439453
shared,22,2,6,1,997,198,0.5305653531560915,0.5286279566630006,0.9996058344841003,0.0003941655158996582
shared,22,2,7,1,998,200,0.45760338345864665,0.47650375939849626,1.004645824432373,-0.004645824432373047
shared,22,2,10,1,999,200,0.5352972465581978,0.5140425531914894,0.9970778822898865,0.0029221177101135254
shared,22,2,17,1,1000,200,0.454603125,0.47250000000000003,1.0050277709960938,-0.00502777099609375
shared,22,2,20,2,1996,399,0.4918048094563271,0.5007791865386698,1.0059318542480469,-0.005931854248046875
shared,22,2,22,2,1017,201,0.48815969173739143,0.4892906789581504,1.0032827854156494,-0.003282785415649414
shared,22,2,24,2,1995,399,0.4784439168095677,0.4899749373433584,1.0070213079452515,-0.007021307945251465
shared,22,2,34,1,1000,200,0.46863750000000004,0.46875,1.0037744045257568,-0.003774404525756836
shared,22,2,49,1,994,196,0.48319139685949564,0.49180988184747587,1.0020571947097778,-0.002057194709777832
shared,22,2,52,1,999,200,0.5034230287859824,0.5173153942428035,1.0006258487701416,-0.0006258487701416016
shared,22,2,56,1,996,200,0.4814792713567839,0.491608040201005,1.0034737586975098,-0.0034737586975097656
shared,22,2,60,1,598,90,0.4639763779527559,0.47550306211723536,1.004382610321045,-0.004382610321044922
shared,22,2,61,1,999,200,0.45649561952440554,0.44728097622027535,1.0045921802520752,-0.004592180252075195
shared,22,2,62,1,999,200,0.4735043804755945,0.48897684605757197,1.0073986053466797,-0.0073986053466796875
shared,22,3,1,2,1978,395,0.5185531397682657,0.5156936436984735,0.9996103644371033,0.0003896355628967285
shared,22,3,8,1,995,200,0.4957798742138365,0.49891509433962267,1.0017611980438232,-0.0017611980438232422
shared,22,3,13,1,997,200,0.5306524466750313,0.5029642409033876,0.9972789287567139,0.002721071243286133
shared,22,3,15,1,989,198,0.46927236971484765,0.4731320793267696,1.002884864807129,-0.0028848648071289062
shared,22,3,16,1,997,197,0.4934263959390863,0.5086008883248732,1.0007429122924805,-0.0007429122924804688
shared,22,3,23,1,997,200,0.48942283563362615,0.4882245922208281,1.0017123222351074,-0.0017123222351074219
shared,22,3,28,1,998,200,0.4720895989974937,0.4861466165413534,1.003176212310791,-0.0031762123107910156
shared,22,3,48,1,998,200,0.48015977443609026,0.4937280701754386,1.002665638923645,-0.0026656389236450195
shared,22,3,51,2,1993,399,0.4705042090797885,0.4852281267786782,1.0034313201904297,-0.0034313201904296875
shared,22,3,53,1,997,200,0.4816907151819322,0.46838456712672527,1.0051686763763428,-0.0051686763763427734
shared,22,3,57,1,998,200,0.4820018796992481,0.4636779448621554,1.0022125244140625,-0.0022125244140625
shared,22,3,58,1,996,200,0.48409861809045224,0.47423366834170855,1.0017517805099487,-0.0017517805099487305
shared,22,3,65,1,994,198,0.4890424343941932,0.4760798944216029,1.003321647644043,-0.0033216476440429688
shared,22,3,66,1,997,200,0.46605395232120456,0.48638958594730236,1.0048655271530151,-0.004865527153015137
shared,22,4,0,1,999,200,0.48930538172715893,0.4859105131414268,1.0020290613174438,-0.0020290613174438477
shared,22,4,2,1,997,199,0.43454742383597184,0.44116257981637513,1.0060521364212036,-0.006052136421203613
shared,22,4,5,1,997,200,0.49736825595984946,0.5013048933500628,1.0009515285491943,-0.0009515285491943359
shared,22,4,18,1,997,200,0.48067440401505646,0.4886825595984944,1.0031672716140747,-0.003167271614074707
shared,22,4,26,1,999,200,0.5011576971214017,0.49782540675844805,1.0020215511322021,-0.0020215511322021484
shared,22,4,27,1,998,200,0.5005263157894737,0.49044486215538846,1.0008764266967773,-0.0008764266967773438
shared,22,4,29,1,356,71,0.4783296268841117,0.4813442055843835,1.0029716491699219,-0.002971649169921875
shared,22,4,31,2,1989,400,0.48678099433606037,0.47823473882945244,1.0032211542129517,-0.00322115421295166
shared,22,4,36,1,999,200,0.4608698372966208,0.47603566958698373,1.0103927850723267,-0.01039278507232666
shared,22,4,41,1,998,200,0.5185244360902256,0.5104573934837093,0.9991324543952942,0.0008675456047058105
shared,22,4,42,1,994,198,0.5025379422364347,0.4959837064108421,1.000892996788025,-0.0008929967880249023
shared,22,4,44,1,995,198,0.5180759920408602,0.5125185354169043,0.9996330738067627,0.0003669261932373047
shared,22,4,47,1,1000,200,0.49511875000000005,0.494375,1.0017197132110596,-0.0017197132110595703
shared,22,4,55,1,997,200,0.5336637390213299,0.5307434127979925,0.9984849691390991,0.001515030860900879
shared,33,0,1,2,1978,395,0.4996841440303222,0.5075789440015352,1.0014779567718506,-0.001477956771850586
shared,33,0,3,1,999,200,0.4923435544430539,0.49983416770963707,1.002752661705017,-0.00275266170501709
shared,33,0,7,1,998,200,0.4647211779448621,0.4858897243107769,1.0046422481536865,-0.0046422481536865234
shared,33,0,13,1,997,200,0.5267189460476788,0.5199404015056461,0.9976929426193237,0.0023070573806762695
shared,33,0,15,1,989,198,0.4573229130751255,0.4732533936073759,1.0043540000915527,-0.004354000091552734
shared,33,0,19,1,1000,200,0.5216968750000001,0.501875,0.9989778399467468,0.0010221600532531738
shared,33,0,21,1,996,199,0.49350579749437273,0.49406694703126675,1.0042555332183838,-0.004255533218383789
shared,33,0,34,1,1000,200,0.48839062499999997,0.47875,1.002000331878662,-0.0020003318786621094
shared,33,0,44,1,995,198,0.49889421188041017,0.4997433557659404,1.0012534856796265,-0.0012534856796264648
shared,33,0,49,1,994,196,0.5184165771571787,0.5292696025778733,0.9995386004447937,0.00046139955520629883
shared,33,0,50,1,996,200,0.4697707286432161,0.4570728643216081,1.0048688650131226,-0.004868865013122559
shared,33,0,51,2,1993,399,0.5036304688949476,0.4938671962214193,1.0004546642303467,-0.0004546642303466797
shared,33,0,53,1,997,200,0.5121455457967378,0.5057465495608532,1.0012913942337036,-0.0012913942337036133
shared,33,0,60,1,598,90,0.5452646544181977,0.509601924759405,0.9981211423873901,0.0018788576126098633
shared,33,0,70,1,1000,200,0.481875,0.5018750000000001,1.0025314092636108,-0.00253140926361084
shared,33,1,8,1,995,200,0.48356603773584905,0.4829874213836478,1.003766655921936,-0.003766655921936035
shared,33,1,11,1,1000,200,0.48061562500000005,0.489375,1.0050328969955444,-0.005032896995544434
shared,33,1,17,1,1000,200,0.49360312500000003,0.508125,1.0018857717514038,-0.0018857717514038086
shared,33,1,18,1,997,200,0.46980552070263487,0.4809880803011293,1.0060703754425049,-0.006070375442504883
shared,33,1,20,2,1996,399,0.49460689921422213,0.5033466571877407,1.0092743635177612,-0.00927436351776123
shared,33,1,23,1,997,200,0.4986888331242158,0.49777603513174407,1.001765489578247,-0.0017654895782470703
shared,33,1,32,1,1000,200,0.5358625,0.524375,0.9976378679275513,0.0023621320724487305
