child,stratum,deviant_class,n_same,n_diff,same_minus_diff_sd
0,0-1_std,1,30,32,0.05907634903318222
0,0-1_std,2,26,31,-0.20768357147416586
0,2-3_std,1,16,14,0.06842830300695865
0,2-3_std,2,16,20,1.1425272312371182
0,4+_std,1,21,28,-0.10093173240395895
0,4+_std,2,20,24,0.6141036466782419
1,0-1_std,1,25,23,0.13563699831798545
1,0-1_std,2,26,23,0.16891225962254347
1,2-3_std,1,22,30,-0.15517223140938385
1,2-3_std,2,17,23,-0.4879484599852574
1,4+_std,1,18,16,0.06651159872015845
1,4+_std,2,27,25,0.43883020098664044
2,0-1_std,1,71,92,0.03504909101615796
2,0-1_std,2,89,79,-0.16707132618382584
2,2-3_std,1,58,47,-0.005256292924475065
2,2-3_std,2,55,62,-0.1689623638469264
2,4+_std,1,74,70,-0.03403115728095466
2,4+_std,2,54,70,0.2306557603883401
3,0-1_std,1,75,69,0.08669360985154553
3,0-1_std,2,74,72,0.26309329225777944
3,2-3_std,1,41,42,-0.09126112439766523
3,2-3_std,2,55,43,0.07003119937389196
3,4+_std,1,49,59,-0.01157156813025728
3,4+_std,2,44,53,0.07925977730225942
4,0-1_std,1,49,50,-0.09218021763109979
4,0-1_std,2,56,51,0.21379877705066466
4,2-3_std,1,28,35,0.07761843852651204
4,2-3_std,2,35,24,0.3152646885973808
4,4+_std,1,41,31,0.059877234450669434
4,4+_std,2,25,41,0.21325566625712536
5,0-1_std,1,67,103,0.004136295964291559
5,0-1_std,2,60,87,-0.09866527972691792
5,2-3_std,1,33,46,-0.12895049650495727
5,2-3_std,2,36,48,0.028303990391237342
5,4+_std,1,62,55,0.0459458270263463
5,4+_std,2,61,66,0.04315199813912671
6,0-1_std,1,28,26,0.0735197626151221
6,0-1_std,2,18,29,0.5286563191767779
6,2-3_std,1,11,15,0.10886837098856705
6,2-3_std,2,13,9,0.06036428523508463
6,4+_std,1,15,17,-0.1931593426743309
6,4+_std,2,15,20,0.26624428414834644
7,0-1_std,1,71,62,0.10806340656922894
7,0-1_std,2,85,70,-0.15015501105634455
7,2-3_std,1,50,41,0.08573770785161844
7,2-3_std,2,40,33,0.20216414705493893
7,4+_std,1,59,53,0.12020363684592152
7,4+_std,2,55,53,0.06509388197389726
8,0-1_std,1,76,75,-0.006359159694153248
8,0-1_std,2,76,75,0.03794332134008228
8,2-3_std,1,42,47,0.1454171346848487
8,2-3_std,2,38,47,0.10126721174210941
8,4+_std,1,46,57,-0.009182378589033896
8,4+_std,2,44,58,-0.21629393176611686
9,0-1_std,1,76,72,-0.02473431936407243
9,0-1_std,2,63,83,-0.40820718556361585
9,2-3_std,1,49,52,0.06220937301747991
9,2-3_std,2,53,58,-0.12234508652105075
9,4+_std,1,50,63,-0.06539955368613815
9,4+_std,2,60,47,-0.4104571820960963
10,0-1_std,1,75,98,0.08853438090456829
10,0-1_std,2,71,89,0.3650326541619574
10,2-3_std,1,48,40,0.013021546460065763
10,2-3_std,2,49,50,-0.14717629974082938
10,4+_std,1,56,64,-0.0019420186917220588
10,4+_std,2,58,64,0.17992967394108808
11,0-1_std,1,121,94,0.011113673918020116
11,0-1_std,2,113,103,-0.1199215112299816
11,2-3_std,1,66,63,0.17889333614429598
11,2-3_std,2,54,51,-0.08998289189985838
11,4+_std,1,71,72,0.008910069767475834
11,4+_std,2,88,75,0.27109263387031357
12,0-1_std,1,104,134,0.048495933701069076
12,0-1_std,2,108,130,0.21338801281792463
12,2-3_std,1,65,62,-0.17172365065751957
12,2-3_std,2,70,57,-0.24039075570359794
12,4+_std,1,71,74,0.07161909261290429
12,4+_std,2,90,80,0.43168547375763044
13,0-1_std,1,139,141,-0.03224632325227668
13,0-1_std,2,148,138,-0.15478704854484834
13,2-3_std,1,79,71,-0.08051195350421757
13,2-3_std,2,81,69,0.13119329507420133
13,4+_std,1,100,88,-0.045432857159582944
13,4+_std,2,90,93,0.1757954554999195
14,0-1_std,1,120,133,0.011958538224140232
14,0-1_std,2,137,130,0.025986990143155773
14,2-3_std,1,75,89,0.0358579419864166
14,2-3_std,2,71,94,-0.20554007839331437
14,4+_std,1,103,99,0.0930232835044878
14,4+_std,2,89,96,0.1836563149708662
