child,auc_std_vs_high,auc_std_vs_low,auc_high_vs_low
0,0.5574726599788984,0.5643902186837616,0.5445243927332108
1,0.49778536414565827,0.5349797365754813,0.549541093032958
2,0.5053733757180302,0.6029126350930798,0.5766014925286048
3,0.5400532582590208,0.6175997162270636,0.5431534189517528
4,0.49097652553496746,0.6022330527521382,0.5551913067299791
5,0.534783091021499,0.634564495420264,0.591162980791063
6,0.5392193630279252,0.6947145426280976,0.5818311994609165
7,0.5320351137487636,0.6792377305951967,0.612351412568258
8,0.542938812353586,0.603537198325452,0.5722371852421871
9,0.5151413520057588,0.6244466895500098,0.5812810477194039
10,0.5310886902109329,0.6220386417298951,0.5971483693280977
11,0.5299232934553132,0.5406281549946677,0.5186661056175048
12,0.5220057364533564,0.6305758423564178,0.6062749148365587
13,0.5120380044403814,0.5323444029316428,0.4902940566331293
14,0.5293761859890402,0.6522436341890416,0.5983702145343099
