seed,fold,child,group,n_channels,auc_base,auc_occluded,drop
11,0,2,periocular_eog,6,0.5133624572149162,0.4960637722932806,0.017298684921635665
11,0,3,periocular_eog,6,0.5145745119182249,0.5202728173298617,-0.00569830541163685
11,0,10,periocular_eog,6,0.49436629800637105,0.495004116110097,-0.000637818103725929
11,0,17,periocular_eog,6,0.552977027660572,0.5413033286451008,0.011673699015471217
11,0,18,periocular_eog,6,0.45120798319327726,0.45717787114845937,-0.005969887955182107
11,0,20,periocular_eog,6,0.396875,0.4125,-0.015625
11,0,29,periocular_eog,6,0.4986506840717962,0.49843102799046063,0.00021965608133556191
11,0,36,periocular_eog,6,0.4967510259917921,0.48579156821290886,0.010959457778883241
11,0,40,periocular_eog,6,0.4979295921924015,0.4896549320320669,0.008274660160334624
11,0,2,frontal_polar,8,0.5133624572149162,0.5029679337056386,0.010394523509277609
11,0,3,frontal_polar,8,0.5145745119182249,0.5015297758374317,0.013044736080793151
11,0,10,frontal_polar,8,0.49436629800637105,0.49569705429686106,-0.0013307562904900094
11,0,17,frontal_polar,8,0.552977027660572,0.5317862165963432,0.02119081106422882
11,0,18,frontal_polar,8,0.45120798319327726,0.4552871148459383,-0.00407913165266105
11,0,20,frontal_polar,8,0.396875,0.38125,0.015625
11,0,29,frontal_polar,8,0.4986506840717962,0.49312790259821765,0.005522781473578542
11,0,36,frontal_polar,8,0.4967510259917921,0.5147058823529411,-0.01795485636114902
11,0,40,frontal_polar,8,0.4979295921924015,0.4964447542697804,0.0014848379226211073
11,0,2,non_periocular,114,0.5133624572149162,0.5453431814087553,-0.031980724193839016
11,0,3,non_periocular,114,0.5145745119182249,0.5560406420675206,-0.04146613014929568
11,0,10,non_periocular,114,0.49436629800637105,0.4467475571781381,0.047618740828232975
11,0,17,non_periocular,114,0.552977027660572,0.582653539615565,-0.02967651195499299
11,0,18,non_periocular,114,0.45120798319327726,0.4618522408963585,-0.01064425770308125
11,0,20,non_periocular,114,0.396875,0.43124999999999997,-0.03437499999999999
11,0,29,non_periocular,114,0.4986506840717962,0.4931592820384084,0.005491402033387771
11,0,36,non_periocular,114,0.4967510259917921,0.49981345603780625,-0.003062430046014142
11,0,40,non_periocular,114,0.4979295921924015,0.532112234227954,-0.034182642035552435
11,0,2,vertex_ring,6,0.5133624572149162,0.5148531796072779,-0.0014907223923616986
11,0,3,vertex_ring,6,0.5145745119182249,0.5168143842761838,-0.002239872357958861
11,0,10,vertex_ring,6,0.49436629800637105,0.4942310032570958,0.00013529474927526097
11,0,17,vertex_ring,6,0.552977027660572,0.5363806844819503,0.016596343178621686
11,0,18,vertex_ring,6,0.45120798319327726,0.4405812324929972,0.010626750700280074
11,0,20,vertex_ring,6,0.396875,0.39375000000000004,0.0031249999999999334
11,0,29,vertex_ring,6,0.4986506840717962,0.4968306765407305,0.0018200075310657038
11,0,36,vertex_ring,6,0.4967510259917921,0.494512498445467,0.0022385275463250864
11,0,40,vertex_ring,6,0.4979295921924015,0.4969431857790171,0.000986406413384433
11,0,2,left_temporal,8,0.5133624572149162,0.5180237794991893,-0.004661322284273073
11,0,3,left_temporal,8,0.5145745119182249,0.5075480630144913,0.007026448903733606
11,0,10,left_temporal,8,0.49436629800637105,0.49302838326353843,0.0013379147428326243
11,0,17,left_temporal,8,0.552977027660572,0.5708391936240037,-0.01786216596343171
11,0,18,left_temporal,8,0.45120798319327726,0.46680672268907564,-0.015598739495798375
11,0,20,left_temporal,8,0.396875,0.384375,0.012499999999999956
11,0,29,left_temporal,8,0.4986506840717962,0.5012865570478222,-0.0026358729760260213
11,0,36,left_temporal,8,0.4967510259917921,0.4946524064171123,0.0020986195746798275
11,0,40,left_temporal,8,0.4979295921924015,0.49923318229348207,-0.001303590101080554
11,0,2,right_temporal,8,0.5133624572149162,0.5192622950819672,-0.00589983786705095
11,0,3,right_temporal,8,0.5145745119182249,0.5255897746101044,-0.011015262691879468
11,0,10,right_temporal,8,0.49436629800637105,0.4955345574286839,-0.0011682594223128562
11,0,17,right_temporal,8,0.552977027660572,0.5590248476324426,-0.006047819971870649
11,0,18,right_temporal,8,0.45120798319327726,0.4456932773109244,0.005514705882352866
11,0,20,right_temporal,8,0.396875,0.40625,-0.009375000000000022
11,0,29,right_temporal,8,0.4986506840717962,0.48556545751223795,0.013085226559558238
11,0,36,right_temporal,8,0.4967510259917921,0.48673983335406046,0.010011192637731647
11,0,40,right_temporal,8,0.4979295921924015,0.4979609620076682,-3.1369815266690804e-05
11,0,2,occipital,9,0.5133624572149162,0.5015357593226446,0.011826697892271643
11,0,3,occipital,9,0.5145745119182249,0.5219603923940772,-0.007385880475852313
11,0,10,occipital,9,0.49436629800637105,0.49447439063674437,-0.00010809263037331318
11,0,17,occipital,9,0.552977027660572,0.597515236755743,-0.04453820909517103
11,0,18,occipital,9,0.45120798319327726,0.45742296918767505,-0.0062149859943977925
11,0,20,occipital,9,0.396875,0.3625,0.03437499999999999
11,0,29,occipital,9,0.4986506840717962,0.49821137190912507,0.00043931216267112383
11,0,36,occipital,9,0.4967510259917921,0.5150945156075115,-0.01834348961571941
11,0,40,occipital,9,0.4979295921924015,0.49678633670268385,0.001143255489717665
11,0,2,band_0,16,0.5133624572149162,0.5316969915330572,-0.018334534318140916
11,0,3,band_0,16,0.5145745119182249,0.5047734266102096,0.009801085308015267
11,0,10,band_0,16,0.49436629800637105,0.4943899208991016,-2.3622892730557066e-05
11,0,17,band_0,16,0.552977027660572,0.5107829348335677,0.04219409282700426
11,0,18,band_0,16,0.45120798319327726,0.4450805322128851,0.006127450980392135
11,0,20,band_0,16,0.396875,0.390625,0.006249999999999978
11,0,29,band_0,16,0.4986506840717962,0.4853144219907116,0.013336262081084571
11,0,36,band_0,16,0.4967510259917921,0.48911826887203086,0.0076327571197612465
11,0,40,band_0,16,0.4979295921924015,0.4927988846287905,0.005130707563611003
11,0,2,band_1,16,0.5133624572149162,0.4692487840028824,0.044113673212033855
11,0,3,band_1,16,0.5145745119182249,0.5168363008354593,-0.0022617889172343864
11,0,10,band_1,16,0.49436629800637105,0.49621532624646547,-0.0018490282400944191
11,0,17,band_1,16,0.552977027660572,0.5467416783872481,0.00623534927332392
11,0,18,band_1,16,0.45120798319327726,0.46871498599439776,-0.017507002801120497
11,0,20,band_1,16,0.396875,0.3984375,-0.0015625000000000222
11,0,29,band_1,16,0.4986506840717962,0.5016317308899209,-0.0029810468181246663
11,0,36,band_1,16,0.4967510259917921,0.5284634995647307,-0.031712473572938604
11,0,40,band_1,16,0.4979295921924015,0.5088741721854304,-0.010944579993028891
11,0,2,band_2,16,0.5133624572149162,0.5129751396144839,0.0003873176004323131
11,0,3,band_2,16,0.5145745119182249,0.4941789618564202,0.020395550061804713
11,0,10,band_2,16,0.49436629800637105,0.49202619993557395,0.002340098070797103
11,0,17,band_2,16,0.552977027660572,0.5560712611345522,-0.0030942334739801902
11,0,18,band_2,16,0.45120798319327726,0.49376750700280114,-0.04255952380952388
11,0,20,band_2,16,0.396875,0.36875,0.028124999999999956
11,0,29,band_2,16,0.4986506840717962,0.4783795657085478,0.020271118363248408
11,0,36,band_2,16,0.4967510259917921,0.4907038925506778,0.006047133441114294
11,0,40,band_2,16,0.4979295921924015,0.5098640641338446,-0.011934471941443037
11,0,2,band_3,16,0.5133624572149162,0.53053503873176,-0.017172581516843755
11,0,3,band_3,16,0.5145745119182249,0.510243799805381,0.00433071211284386
11,0,10,band_3,16,0.49436629800637105,0.4844554207380364,0.009910877268334672
11,0,17,band_3,16,0.552977027660572,0.5488045007032349,0.004172526957337053
11,0,18,band_3,16,0.45120798319327726,0.45556722689075635,-0.004359243697479087
11,0,20,band_3,16,0.396875,0.415625,-0.018750000000000044
11,0,29,band_3,16,0.4986506840717962,0.5120183255930715,-0.013367641521275286
11,0,36,band_3,16,0.4967510259917921,0.4897400820793434,0.007010943912448719
11,0,40,band_3,16,0.4979295921924015,0.4974555594283723,0.0004740327640292419
11,0,2,band_4,16,0.5133624572149162,0.49519906323185015,0.0181633939830661
11,0,3,band_4,16,0.5145745119182249,0.5131543188771708,0.0014201930410541186
11,0,10,band_4,16,0.49436629800637105,0.4939332116396435,0.0004330863667275642
11,0,17,band_4,16,0.552977027660572,0.6065635255508673,-0.05358649789029535
11,0,18,band_4,16,0.45120798319327726,0.45005252100840343,0.0011554621848738345
11,0,20,band_4,16,0.396875,0.36875,0.028124999999999956
11,0,29,band_4,16,0.4986506840717962,0.49174720722982296,0.006903476841973233
11,0,36,band_4,16,0.4967510259917921,0.5091872901380425,-0.01243626414625043
11,0,40,band_4,16,0.4979295921924015,0.49889508539560823,-0.0009654932032067132
11,0,2,band_5,16,0.5133624572149162,0.5185867411277247,-0.005224283912808492
11,0,3,band_5,16,0.5145745119182249,0.5342117490290964,-0.019637237110871508
11,0,10,band_5,16,0.49436629800637105,0.4941916317692115,0.00017466623715955976
11,0,17,band_5,16,0.552977027660572,0.5395218002812939,0.013455227379278067
11,0,18,band_5,16,0.45120798319327726,0.4579306722689075,-0.006722689075630228
11,0,20,band_5,16,0.396875,0.44375,-0.046875
11,0,29,band_5,16,0.4986506840717962,0.4668005522781473,0.03185013179364887
11,0,36,band_5,16,0.4967510259917921,0.49732620320855614,-0.0005751772167640334
11,0,40,band_5,16,0.4979295921924015,0.4966120599512025,0.0013175322411990154
11,0,2,band_6,16,0.5133624572149162,0.5105071158349848,0.0028553413799314864
11,0,3,band_6,16,0.5145745119182249,0.5253136259632327,-0.010739114045007825
11,0,10,band_6,16,0.49436629800637105,0.4940319982819714,0.00033429972439963374
11,0,17,band_6,16,0.552977027660572,0.5536802625410221,-0.0007032348804500987
11,0,18,band_6,16,0.45120798319327726,0.4414040616246499,0.00980392156862736
11,0,20,band_6,16,0.396875,0.409375,-0.012500000000000011
11,0,29,band_6,16,0.4986506840717962,0.4838395883017447,0.014811095770051463
11,0,36,band_6,16,0.4967510259917921,0.48764146250466356,0.009109563487128547
11,0,40,band_6,16,0.4979295921924015,0.4977622865109795,0.0001673056814220364
11,0,2,band_7,16,0.5133624572149162,0.5189875698072419,-0.005625112592325676
11,0,3,band_7,16,0.5145745119182249,0.525861539945121,-0.011287028026896073
11,0,10,band_7,16,0.49436629800637105,0.49607859980672175,-0.0017123018003507018
11,0,17,band_7,16,0.552977027660572,0.549648382559775,0.003328645100797001
11,0,18,band_7,16,0.45120798319327726,0.4433298319327731,0.007878151260504174
11,0,20,band_7,16,0.396875,0.4125,-0.015625
11,0,29,band_7,16,0.4986506840717962,0.5412325844106941,-0.042581900338897916
11,0,36,band_7,16,0.4967510259917921,0.49384404924760605,0.0029069767441860517
11,0,40,band_7,16,0.4979295921924015,0.49111537120948057,0.006814220982920949
11,1,9,periocular_eog,6,0.945050014358189,0.9612029769311764,-0.016152962572987373
11,1,12,periocular_eog,6,0.5142211373960238,0.5154931862426996,-0.0012720488466757551
11,1,21,periocular_eog,6,0.5237989617744219,0.510146295422369,0.013652666352052867
11,1,27,periocular_eog,6,0.5482839507790693,0.5386455070830439,0.0096384436960254
11,1,31,periocular_eog,6,0.542215526021194,0.531416499027835,0.010799026993358996
11,1,32,periocular_eog,6,0.46416895652786583,0.4553582752060875,0.008810681321778313
11,1,37,periocular_eog,6,0.4729276957369741,0.4732307049317359,-0.0003030091947618385
11,1,39,periocular_eog,6,0.520549417269912,0.5214823715600363,-0.0009329542901242993
11,1,41,periocular_eog,6,0.6811002178649237,0.6081154684095861,0.07298474945533762
11,1,9,frontal_polar,8,0.945050014358189,0.9529410357040299,-0.007891021345840854
11,1,12,frontal_polar,8,0.5142211373960238,0.5162527284525987,-0.0020315910565749107
