candidate,ci_high,ci_low,gain_MAE,interval,loo_max,loo_min,meaning,n_identity_groups,n_nonzero_paired_differences,reference,repetitions,scope,seed,status
M4_MLP_THEN_MEAN,-0.7841685326785486,-5.67132504940231,-3.3389367260873093,percentile,-2.816589102502063,-4.06867986339263,complete method vs original clinical numbers,52,49,M0_C,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4_MLP_THEN_MEAN,-1.1197088538425217,-5.884819127216946,-3.587950437436857,percentile,-3.0925997406477497,-4.302867479948993,EEG increment beyond the acquisition summary (main archival increment),52,48,M1_CQ,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4_MLP_THEN_MEAN,0.18527248397771715,-0.07942988199730038,0.05504718395795841,percentile,0.07579339772918363,0.018467262214173552,learn-then-aggregate vs aggregate-then-learn (main method comparison),52,42,M3_MEAN_THEN_MLP,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M2_MEAN_RIDGE,0.0,0.0,0.0,percentile,0.0,0.0,fixed segment-mean EEG reference,52,0,M1_CQ,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M1_CQ,0.9663033387266061,-0.4364497250857375,0.24901371134954828,percentile,0.38986123168935904,0.10970197593087742,technical summary alone,52,43,M0_C,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
