outer_fold,model,n_test,fold_MAE,selection
0,M0_C,11,4.509181381245643,"{""family"": ""additive_quadratic"", ""inner_MAE"": 9.047094449715793, ""penalty"": 1.0}"
0,M1_CQ,11,4.946951505708549,"{""family"": ""additive_quadratic"", ""inner_MAE"": 10.450360430151967, ""penalty"": 1.0}"
0,M2_MEAN_RIDGE,11,4.946951505708549,"{""candidate"": ""eeg_off"", ""inner_MAE"": 10.450360430151967}"
0,M3_MEAN_THEN_MLP,11,12.306783276744813,"{""inner_MAE"": 14.044112872769203, ""penalty"": 0.1}"
0,M4_MLP_THEN_MEAN,11,12.038351298856211,"{""inner_MAE"": 13.76859693572374, ""penalty"": 0.1}"
1,M0_C,11,9.965277929839347,"{""family"": ""additive_quadratic"", ""inner_MAE"": 7.693792263849409, ""penalty"": 0.1}"
1,M1_CQ,11,9.43659056112017,"{""family"": ""additive_quadratic"", ""inner_MAE"": 8.780587495549863, ""penalty"": 0.1}"
1,M2_MEAN_RIDGE,11,9.43659056112017,"{""candidate"": ""eeg_off"", ""inner_MAE"": 8.780587495549863}"
1,M3_MEAN_THEN_MLP,11,10.320815346558495,"{""inner_MAE"": 13.726627903480768, ""penalty"": 0.1}"
1,M4_MLP_THEN_MEAN,11,10.46177621117618,"{""inner_MAE"": 13.86476098482029, ""penalty"": 0.1}"
2,M0_C,10,6.652013914713024,"{""family"": ""additive_quadratic"", ""inner_MAE"": 8.26293993318122, ""penalty"": 0.1}"
2,M1_CQ,10,6.559404799092242,"{""family"": ""additive_quadratic"", ""inner_MAE"": 8.87719621179068, ""penalty"": 0.1}"
2,M2_MEAN_RIDGE,10,6.559404799092242,"{""candidate"": ""eeg_off"", ""inner_MAE"": 8.87719621179068}"
2,M3_MEAN_THEN_MLP,10,7.949812614000564,"{""inner_MAE"": 14.46844966860836, ""penalty"": 0.1}"
2,M4_MLP_THEN_MEAN,10,7.935434424109557,"{""inner_MAE"": 14.431428705591854, ""penalty"": 0.1}"
3,M0_C,10,5.069470053198321,"{""family"": ""additive_quadratic"", ""inner_MAE"": 7.484119476820715, ""penalty"": 0.1}"
3,M1_CQ,10,4.410834580566812,"{""family"": ""additive_quadratic"", ""inner_MAE"": 7.902392054463095, ""penalty"": 0.1}"
3,M2_MEAN_RIDGE,10,4.410834580566812,"{""candidate"": ""eeg_off"", ""inner_MAE"": 7.902392054463095}"
3,M3_MEAN_THEN_MLP,10,8.597660110170356,"{""inner_MAE"": 10.726547552871576, ""penalty"": 0.1}"
3,M4_MLP_THEN_MEAN,10,8.49277069415942,"{""inner_MAE"": 10.707856023694932, ""penalty"": 0.1}"
4,M0_C,10,8.257605876098227,"{""family"": ""additive_quadratic"", ""inner_MAE"": 7.498717548565627, ""penalty"": 1.0}"
4,M1_CQ,10,7.813988134014766,"{""family"": ""additive_quadratic"", ""inner_MAE"": 8.766330848162706, ""penalty"": 1.0}"
4,M2_MEAN_RIDGE,10,7.813988134014766,"{""candidate"": ""eeg_off"", ""inner_MAE"": 8.766330848162706}"
4,M3_MEAN_THEN_MLP,10,12.111880208633893,"{""inner_MAE"": 11.942013771922396, ""penalty"": 0.1}"
4,M4_MLP_THEN_MEAN,10,12.085120682552464,"{""inner_MAE"": 11.999019068419832, ""penalty"": 0.1}"
