model,MAE,RMSE,n,n_at_source_ceiling
M0_C,6.904037516577511,11.398697810492852,52,26
M1_CQ,6.655023805227963,11.245500590220052,52,26
M2_MEAN_RIDGE,6.655023805227963,11.245500590220052,52,26
M3_MEAN_THEN_MLP,10.29802142662278,13.496968687233911,52,26
M4_MLP_THEN_MEAN,10.242974242664818,13.500111777745955,52,26
M1_CQ_amplitude,6.833795110047294,11.5555559700028,52,26
M4_amplitude,10.292404737220494,13.599849921764275,52,26
M4_mismatch,13.939862600958623,17.208509289694042,52,26
