model,seed,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
per_child,11,odd_even_blocks,0,0,1,275,42,0.5440425097077457,0.5301961986511343,0.9950348138809204,0.00496518611907959
per_child,11,odd_even_blocks,1,0,1,328,48,0.5105654761904761,0.5166666666666667,1.0022430419921875,-0.0022430419921875
per_child,11,odd_even_blocks,0,2,1,297,50,0.5530364372469635,0.5653036437246963,1.0178741216659546,-0.01787412166595459
per_child,11,odd_even_blocks,1,2,1,307,46,0.5062468765617192,0.5021655838747293,1.022066354751587,-0.022066354751586914
per_child,11,odd_even_blocks,0,3,1,297,53,0.5063795236622333,0.4957469842251778,0.9997378587722778,0.00026214122772216797
per_child,11,odd_even_blocks,1,3,1,328,41,0.5162743265063313,0.5069686411149826,1.000397801399231,-0.00039780139923095703
per_child,11,odd_even_blocks,0,4,1,335,52,0.5156292470780103,0.5472275074748573,1.0261495113372803,-0.026149511337280273
per_child,11,odd_even_blocks,1,4,1,323,48,0.5499242424242424,0.5310227272727273,0.9956346750259399,0.004365324974060059
per_child,11,odd_even_blocks,0,10,6,663,131,0.49113241118062323,0.4770705389427768,1.0262106657028198,-0.026210665702819824
per_child,11,odd_even_blocks,1,10,6,680,137,0.45695043755292974,0.45447029882647094,1.0362013578414917,-0.0362013578414917
per_child,11,odd_even_blocks,0,11,9,704,119,0.4750628456510809,0.47397112691230336,1.069800615310669,-0.06980061531066895
per_child,11,odd_even_blocks,1,11,9,721,143,0.48974641275679337,0.5037626733128463,1.0813090801239014,-0.08130908012390137
per_child,11,odd_even_blocks,0,12,1,302,68,0.5077300150829562,0.5010055304172951,1.0256154537200928,-0.025615453720092773
per_child,11,odd_even_blocks,1,12,1,298,60,0.49782913165266107,0.5129551820728291,1.0014711618423462,-0.0014711618423461914
per_child,11,odd_even_blocks,0,13,1,281,60,0.5026772247360483,0.5312594268476621,1.0980966091156006,-0.09809660911560059
per_child,11,odd_even_blocks,1,13,1,260,51,0.4766394596115959,0.4548738155549301,1.0063343048095703,-0.0063343048095703125
per_child,11,odd_even_blocks,0,15,1,257,44,0.5785851472471191,0.5807191634656423,1.021862506866455,-0.021862506866455078
per_child,11,odd_even_blocks,1,15,1,238,47,0.5144257547064721,0.5447254093795255,1.0034334659576416,-0.0034334659576416016
per_child,11,odd_even_blocks,0,16,1,283,54,0.4919537441371502,0.47828723920426974,1.0403674840927124,-0.0403674840927124
per_child,11,odd_even_blocks,1,16,1,259,53,0.5570617329181168,0.5422696464553948,0.9924179315567017,0.00758206844329834
per_child,11,odd_even_blocks,0,19,1,321,68,0.5300511508951407,0.5310974192048361,1.0022566318511963,-0.002256631851196289
per_child,11,odd_even_blocks,1,19,1,308,62,0.4593823760818253,0.46439811172305273,1.0121433734893799,-0.012143373489379883
per_child,11,odd_even_blocks,0,21,2,267,44,0.499235629841011,0.5323073787199348,1.0049474239349365,-0.0049474239349365234
per_child,11,odd_even_blocks,1,21,2,269,57,0.5206057596822244,0.5350463422707713,1.0020440816879272,-0.002044081687927246
per_child,11,odd_even_blocks,0,23,3,379,71,0.4284113773550393,0.42445582586427655,1.0118582248687744,-0.011858224868774414
per_child,11,odd_even_blocks,1,23,3,423,93,0.4730531117627892,0.483822091886608,1.0234277248382568,-0.023427724838256836
per_child,11,odd_even_blocks,0,26,1,206,43,0.9545584248822941,0.8958481951776287,0.6648581027984619,0.3351418972015381
per_child,11,odd_even_blocks,1,26,1,207,41,0.909344695856597,0.811783720246841,0.7244865894317627,0.2755134105682373
per_child,11,odd_even_blocks,0,27,2,249,54,0.5361823361823361,0.535042735042735,1.0321474075317383,-0.03214740753173828
per_child,11,odd_even_blocks,1,27,2,224,42,0.4698456305599163,0.43315018315018317,1.0552968978881836,-0.055296897888183594
per_child,11,odd_even_blocks,0,28,2,297,55,0.5227272727272727,0.5330578512396694,0.9972922801971436,0.0027077198028564453
per_child,11,odd_even_blocks,1,28,2,300,61,0.43998216612936414,0.4604911173605871,1.1058018207550049,-0.10580182075500488
per_child,11,odd_even_blocks,0,30,1,282,54,0.5767543859649122,0.5633528265107213,1.0170862674713135,-0.017086267471313477
per_child,11,odd_even_blocks,1,30,1,284,59,0.48523540489642186,0.4966101694915254,1.013822317123413,-0.013822317123413086
per_child,11,odd_even_blocks,0,31,1,281,62,0.4598615407276477,0.5052658712623361,1.0176081657409668,-0.017608165740966797
per_child,11,odd_even_blocks,1,31,1,281,52,0.43487571380584483,0.4583053409472624,1.009767770767212,-0.009767770767211914
per_child,11,odd_even_blocks,0,32,1,299,65,0.5748520710059172,0.5803418803418803,0.9910173416137695,0.008982658386230469
per_child,11,odd_even_blocks,1,32,1,307,55,0.4861111111111111,0.4931457431457431,1.021895170211792,-0.021895170211791992
per_child,11,odd_even_blocks,0,33,2,301,60,0.4520746887966805,0.5109266943291839,1.0384947061538696,-0.03849470615386963
per_child,11,odd_even_blocks,1,33,2,303,54,0.5214561951509743,0.5224230254350737,1.000510334968567,-0.0005103349685668945
per_child,11,odd_even_blocks,0,34,1,245,44,0.5443238353686115,0.558853459972863,1.0504618883132935,-0.05046188831329346
per_child,11,odd_even_blocks,1,34,1,230,59,0.5536227574586183,0.5308256516998712,1.0128817558288574,-0.012881755828857422
per_child,11,odd_even_blocks,0,37,2,295,52,0.5586419753086419,0.5806426084203862,0.9955217838287354,0.0044782161712646484
per_child,11,odd_even_blocks,1,37,2,322,69,0.5413874090622671,0.5474308300395256,0.9983348846435547,0.0016651153564453125
