representation,family,model,probability_mode,ce_bits,bacc,auroc,brier,candidate_groups,class0_trials,class1_trials
R_SIM,linear,C_L,calibrated,0.9988480783458427,0.5130858979596017,0.5234660888094685,0.4992021170363394,60,37825,9350
R_SIM,linear,C_L,raw,0.9987406087996397,0.5130858979596017,0.5234660888094685,0.4991280460042472,60,37825,9350
R_SIM,linear,C_LL,calibrated,0.9989432681096159,0.5130946165878848,0.5228398741502788,0.4992679329835991,60,37825,9350
R_SIM,linear,C_LL,raw,0.9989385477166949,0.5130946165878848,0.5228398741502788,0.49926498552772236,60,37825,9350
R_SIM,linear,C_LR,calibrated,0.9990089025667798,0.5143881481195812,0.5236805429852113,0.4993108546627376,60,37825,9350
R_SIM,linear,C_LR,raw,0.9989670448410425,0.5143881481195812,0.5236805429852113,0.4992828017822632,60,37825,9350
R_SIM,linear,C_R,calibrated,0.9996947068643787,0.5128309643293304,0.5165121677333019,0.49978648905058864,60,37825,9350
R_SIM,linear,C_R,raw,0.9995675414615823,0.5128309643293304,0.5165121677333019,0.49969940438790567,60,37825,9350
R_SIM,linear,C_RR,calibrated,0.9996373821920673,0.511882370324799,0.5167435446737748,0.49974706054986906,60,37825,9350
R_SIM,linear,C_RR,raw,1.0000995545600164,0.511882370324799,0.5167435446737748,0.500065241685823,60,37825,9350
