bank,outer_fold,calibration,n_clusters,n_bootstrap,seed,ce_bits,ce_ci_lower,ce_ci_upper,bacc,bacc_ci_lower,bacc_ci_upper,bootstrap_scope
causal,0,mixture_diagnostic,12,2000,20260917,0.9954146213427286,0.9920706888741156,0.9985984567044537,0.5399833569309934,0.5216934819283193,0.5583012970627117,fixed_later_block_predictions_clustered_by_record
causal,0,raw,12,2000,20260917,0.9958666718350139,0.992970149225485,0.9986573273403719,0.5399833569309934,0.5216934819283193,0.5583012970627117,fixed_later_block_predictions_clustered_by_record
causal,0,temperature,12,2000,20260917,0.9954146213427286,0.9920706888741156,0.9985984567044537,0.5399833569309934,0.5216934819283193,0.5583012970627117,fixed_later_block_predictions_clustered_by_record
causal,1,mixture_diagnostic,12,2000,20260917,0.9956779801296869,0.9911417605576786,0.9990858478316558,0.5260015200555979,0.5086965691218814,0.5461074300006805,fixed_later_block_predictions_clustered_by_record
causal,1,raw,12,2000,20260917,0.9963927723328188,0.9928442895350021,0.9990388508925493,0.5260015200555979,0.5086965691218814,0.5461074300006805,fixed_later_block_predictions_clustered_by_record
causal,1,temperature,12,2000,20260917,0.9956779801296869,0.9911417605576786,0.9990858478316558,0.5260015200555979,0.5086965691218814,0.5461074300006805,fixed_later_block_predictions_clustered_by_record
causal,2,mixture_diagnostic,11,2000,20260917,0.9968304573351973,0.9926094960850796,1.0008346445357412,0.5416437614941344,0.5189582753987987,0.5658132230848789,fixed_later_block_predictions_clustered_by_record
causal,2,raw,11,2000,20260917,0.9970594192745104,0.9934079111676729,1.000480733336707,0.5416437614941344,0.5189582753987987,0.5658132230848789,fixed_later_block_predictions_clustered_by_record
causal,2,temperature,11,2000,20260917,0.9968304573351973,0.9926094960850796,1.0008346445357412,0.5416437614941344,0.5189582753987987,0.5658132230848789,fixed_later_block_predictions_clustered_by_record
causal,3,mixture_diagnostic,12,2000,20260917,0.9989192951228404,0.995899191825433,1.0018720540590798,0.521359953698883,0.5019068979081474,0.5419478243113447,fixed_later_block_predictions_clustered_by_record
causal,3,raw,12,2000,20260917,0.9988016415285688,0.9962374716211705,1.0013376248308563,0.521359953698883,0.5019068979081474,0.5419478243113447,fixed_later_block_predictions_clustered_by_record
causal,3,temperature,12,2000,20260917,0.9989192951228404,0.995899191825433,1.0018720540590798,0.521359953698883,0.5019068979081474,0.5419478243113447,fixed_later_block_predictions_clustered_by_record
causal,4,mixture_diagnostic,12,2000,20260917,1.0018897312516717,0.9985436677909603,1.0052419491794715,0.5117261820202331,0.49890763424127266,0.5239628395598748,fixed_later_block_predictions_clustered_by_record
causal,4,raw,12,2000,20260917,1.0009228383999742,0.9984448625185384,1.0033846210639872,0.5117261820202331,0.49890763424127266,0.5239628395598748,fixed_later_block_predictions_clustered_by_record
causal,4,temperature,12,2000,20260917,1.0018897312516717,0.9985436677909603,1.0052419491794715,0.5117261820202331,0.49890763424127266,0.5239628395598748,fixed_later_block_predictions_clustered_by_record
offline,0,mixture_diagnostic,12,2000,20260917,0.9979810413668613,0.9960959773900504,0.9998907049377189,0.5343558594481616,0.5147344089633217,0.5550408543606548,fixed_later_block_predictions_clustered_by_record
offline,0,raw,12,2000,20260917,0.99757319341244,0.9950903961710524,1.000097909459571,0.5343558594481616,0.5147344089633217,0.5550408543606548,fixed_later_block_predictions_clustered_by_record
offline,0,temperature,12,2000,20260917,0.9979810413668613,0.9960959773900504,0.9998907049377189,0.5343558594481616,0.5147344089633217,0.5550408543606548,fixed_later_block_predictions_clustered_by_record
offline,1,mixture_diagnostic,12,2000,20260917,0.9975849110661006,0.9950987724537809,0.9997185689980114,0.5338057657332131,0.5181647779950658,0.5499955031180012,fixed_later_block_predictions_clustered_by_record
offline,1,raw,12,2000,20260917,0.9974815954256459,0.9948068033780386,0.9997948730428541,0.5338057657332131,0.5181647779950658,0.5499955031180012,fixed_later_block_predictions_clustered_by_record
offline,1,temperature,12,2000,20260917,0.9975849110661006,0.9950987724537809,0.9997185689980114,0.5338057657332131,0.5181647779950658,0.5499955031180012,fixed_later_block_predictions_clustered_by_record
offline,2,mixture_diagnostic,11,2000,20260917,0.9976299598630619,0.9947907089025804,1.0002272648561952,0.5317392110147829,0.5111709593123909,0.5525247851304029,fixed_later_block_predictions_clustered_by_record
offline,2,raw,11,2000,20260917,0.9975310938047155,0.9944945060996306,1.0003050770357278,0.5317392110147829,0.5111709593123909,0.5525247851304029,fixed_later_block_predictions_clustered_by_record
offline,2,temperature,11,2000,20260917,0.9976299598630619,0.9947907089025804,1.0002272648561952,0.5317392110147829,0.5111709593123909,0.5525247851304029,fixed_later_block_predictions_clustered_by_record
offline,3,mixture_diagnostic,12,2000,20260917,0.9983085361209564,0.9947515657120071,1.0020276180468994,0.5205653619388485,0.5011036273038889,0.5407615619774845,fixed_later_block_predictions_clustered_by_record
offline,3,raw,12,2000,20260917,0.9995322789775729,0.993865208741563,1.0055555422967584,0.5205653619388485,0.5011036273038889,0.5407615619774845,fixed_later_block_predictions_clustered_by_record
offline,3,temperature,12,2000,20260917,0.9983085361209564,0.9947515657120071,1.0020276180468994,0.5205653619388485,0.5011036273038889,0.5407615619774845,fixed_later_block_predictions_clustered_by_record
offline,4,mixture_diagnostic,12,2000,20260917,1.000267650097175,0.9983460868828767,1.002234988422413,0.5046577071215367,0.49011128296570855,0.5209117957119133,fixed_later_block_predictions_clustered_by_record
offline,4,raw,12,2000,20260917,1.0017562584947735,0.99891075819481,1.004772393519544,0.5046577071215367,0.49011128296570855,0.5209117957119133,fixed_later_block_predictions_clustered_by_record
offline,4,temperature,12,2000,20260917,1.000267650097175,0.9983460868828767,1.002234988422413,0.5046577071215367,0.49011128296570855,0.5209117957119133,fixed_later_block_predictions_clustered_by_record
causal,ALL,mixture_diagnostic,59,2000,20260917,0.9977619417771237,0.9959351621992563,0.9994454289278459,0.5279141276085417,0.5188093563161499,0.5373052631836698,fixed_later_block_predictions_clustered_by_record
causal,ALL,raw,59,2000,20260917,0.9978213678165445,0.9963718962844791,0.999161441057451,0.5279141276085417,0.5188093563161499,0.5373052631836698,fixed_later_block_predictions_clustered_by_record
causal,ALL,temperature,59,2000,20260917,0.9977619417771237,0.9959351621992563,0.9994454289278459,0.5279141276085417,0.5188093563161499,0.5373052631836698,fixed_later_block_predictions_clustered_by_record
offline,ALL,mixture_diagnostic,59,2000,20260917,0.9983666986831664,0.9971911087648438,0.9995360268338563,0.5249109771536224,0.5156243733271599,0.5337727889825908,fixed_later_block_predictions_clustered_by_record
offline,ALL,raw,59,2000,20260917,0.9987959652131706,0.9971146254297801,1.0005537548115349,0.5249109771536224,0.5156243733271599,0.5337727889825908,fixed_later_block_predictions_clustered_by_record
offline,ALL,temperature,59,2000,20260917,0.9983666986831664,0.9971911087648438,0.9995360268338563,0.5249109771536224,0.5156243733271599,0.5337727889825908,fixed_later_block_predictions_clustered_by_record
