child,n_dev_after_dev,n_dev_after_std3,dev_after_dev,dev_after_std3,std_after_dev,std_after_std3,repetition_effect,carryover_on_standards
0,17,60,-0.6412553995305957,0.013211316914331063,0.0069859454291270875,-0.14686054064427914,-0.6544667164449268,0.15384648607340623
1,22,87,-0.012579029206678622,-0.05904089620244881,-0.24773426133782234,-0.18703565664373178,0.046461866995770186,-0.06069860469409055
2,21,89,-0.12466587088260488,-0.2093664485061713,-0.3490248281730297,-0.1594372293609811,0.08470057762356643,-0.18958759881204862
3,12,45,0.014991076209406937,0.16138709987647498,0.3166728460862016,0.1905634522482443,-0.14639602366706805,0.1261093938379573
4,19,88,-0.3237804545470484,0.03059755786955448,-0.031131968172136763,-0.1753792428117806,-0.3543780124166029,0.14424727463964385
5,13,71,-0.3907203477624334,-0.01062362855831007,-0.10324486357222358,-0.1270918400287758,-0.38009671920412336,0.02384697645655222
6,20,80,-0.5869597237154034,-0.29290391994887566,-0.2021334019265863,-0.308756148525521,-0.29405580376652773,0.10662274659893473
7,25,88,0.0656467153149482,-0.10486233115439339,-0.30298372870516604,-0.047634772742539265,0.1705090464693416,-0.2553489559626268
8,22,85,0.3779850858606784,-0.036324362326702886,-0.14822942226352193,-0.18245716740773207,0.4143094481873813,0.03422774514421015
9,23,81,-0.34123890710288657,-0.08160426658243683,-0.15973871723093996,-0.22299663083829868,-0.2596346405204497,0.06325791360735872
10,23,92,-0.028257928763192146,-0.19705674772193224,-0.12209100720600403,-0.24897858959183589,0.1687988189587401,0.12688758238583187
11,22,60,-0.31761153257730806,-0.3719209605156627,-0.28561172077420266,-0.28238730966303033,0.05430942793835464,-0.0032244111111723317
12,33,126,0.1566674151466738,-0.15901379003242222,-0.15674499556294097,-0.10380753126218872,0.31568120517909604,-0.052937464300752246
13,26,81,-0.4217489002072701,-0.351060799720556,-0.2571118926166,-0.3591090016798942,-0.07068810048671414,0.10199710906329418
14,16,82,0.19790879824280816,-0.4084975691608495,-0.19422392897946636,-0.22322508030478538,0.6064063674036577,0.029001151325319025
15,21,89,-0.0265572694919258,0.24272089150077378,0.26292879264117486,0.06266638931227159,-0.2692781609926996,0.20026240332890327
17,12,24,-0.45314523505273874,0.11275338624012511,-0.2733441863474368,-0.14323784181160362,-0.5658986212928638,-0.13010634453583317
18,25,84,0.703007717064962,0.036221569607769954,0.02363411887882886,0.04119264647781841,0.6667861474571921,-0.01755852759898955
20,21,81,-0.17102121602771836,-0.4145452319505389,-0.2792479093918764,-0.44893523424203835,0.24352401592282052,0.16968732485016197
21,19,72,-0.21084278538562196,-0.19068269345183497,-0.1453748566403386,-0.10256203866601553,-0.020160091933786983,-0.042812817974323084
22,22,80,0.03103735214864373,-0.0689780806155355,-0.17506176235824972,-0.24554105446899416,0.10001543276417922,0.07047929211074444
23,12,32,-0.7204619667725499,-0.40931005973574514,-0.42153589746571674,-0.48493608405454564,-0.3111519070368048,0.0634001865888289
26,20,78,-0.19538025992811056,0.02758075818146481,-0.10963138841709154,-0.09704618394428659,-0.22296101810957536,-0.01258520447280495
