task,contrast,baseline,augmented,gain_MAE,ci_low,ci_high,n_identity_groups,positive_fold_count,n_folds
A_given_C,primary,C_BEST,C_Z,-0.24904127766796932,-0.6999790469317396,0.21678237447390405,56,1,5
A_given_C,quality_adjusted,C_Q,C_Q_Z,-0.35177382443746147,-1.205520460163036,0.4307623382162902,56,2,5
A_given_C,content_control,C_SHUFFLED_Z,C_Z,0.6499118597003878,-0.3795222817465067,2.0151313559430966,56,2,5
A_given_C,clinical_nonlinearity,C_LINEAR,C_BEST,0.854617862083786,-0.6656898741004634,2.35562295396099,56,4,5
A_given_C,EEG_alone_vs_mean,MEAN,Z_ONLY,0.3162318737909491,-1.0436870900929076,1.5606396016243584,56,2,5
A_given_C,quality_vs_clinical,C_BEST,C_Q,-1.4047810802848393,-2.522291029573622,-0.27775849360424193,56,0,5
V_given_C,primary,C_BEST,C_Z,-0.02702255379849104,-0.16980733741515697,0.10736857743562941,56,0,5
V_given_C,quality_adjusted,C_Q,C_Q_Z,-0.3552839002997157,-0.9342947693279124,0.11702156578845443,56,1,5
V_given_C,content_control,C_SHUFFLED_Z,C_Z,0.0335913752113156,-0.06993512950930961,0.15204547567203028,56,1,5
V_given_C,clinical_nonlinearity,C_LINEAR,C_BEST,1.2002840129894827,-0.1967561911311091,2.642146486102527,56,2,5
V_given_C,EEG_alone_vs_mean,MEAN,Z_ONLY,0.11481451091635186,-0.6578438963913521,0.9117736127490862,56,1,5
V_given_C,quality_vs_clinical,C_BEST,C_Q,-0.26928642247103546,-1.3088525623646832,0.7213574576911876,56,3,5
V_given_C_and_A,primary,C_BEST,C_Z,0.04773393667054788,-0.18879650944674062,0.28892893754512144,56,2,5
V_given_C_and_A,quality_adjusted,C_Q,C_Q_Z,-0.14775544351235734,-1.3415036097990705,0.9490751497360665,56,1,5
V_given_C_and_A,content_control,C_SHUFFLED_Z,C_Z,-0.030585837048037284,-0.5015896987794132,0.45138121238751566,56,2,5
V_given_C_and_A,clinical_nonlinearity,C_LINEAR,C_BEST,1.5576158071764448,0.17152973949233943,2.8510940995769154,56,3,5
V_given_C_and_A,EEG_alone_vs_mean,MEAN,Z_ONLY,0.11481451091635186,-0.6578438963913521,0.9117736127490862,56,1,5
V_given_C_and_A,quality_vs_clinical,C_BEST,C_Q,-0.6815926509018287,-1.7748543034570685,0.45375980655401466,56,2,5
