task,model,n_identity_groups,MAE,RMSE,R2,prediction_min,prediction_max
A_given_C,MEAN,56,14.424693362193365,17.168473308429935,-0.02411113297401224,86.77777777777777,89.0
A_given_C,C_LINEAR,56,4.692264327058388,6.960413956796886,0.8316729662230489,54.712709906016684,100.0
A_given_C,C_BEST,56,3.837646464974602,6.521064552054168,0.8522522993877455,45.336810004125724,100.0
A_given_C,Z_ONLY,56,14.108461488402416,17.16584945305664,-0.02379812737184972,65.73498820860195,100.0
A_given_C,C_Z,56,4.086687742642572,6.974193201339597,0.8310058463633927,42.09248313703452,100.0
A_given_C,C_Q,56,5.242427545259441,8.14914594941853,0.7692679503324247,46.09171540084369,100.0
A_given_C,C_Q_Z,56,5.594201369696902,9.0786502964642,0.7136307992156881,40.43216883592744,100.0
A_given_C,C_SHUFFLED_Z,56,4.736599602342959,8.195173515710778,0.766654173003772,45.22875287826699,100.0
V_given_C,MEAN,56,18.222447691197694,21.62597455113253,-0.03584517501068052,79.05555555555556,82.61111111111111
V_given_C,C_LINEAR,56,7.116773197820524,10.291277988385005,0.7654248021322785,42.146824964995304,100.0
V_given_C,C_BEST,56,5.916489184831042,8.999195614294884,0.820629567014038,18.208313438183758,100.0
V_given_C,Z_ONLY,56,18.10763318028134,21.409649447267874,-0.015225657553894267,71.00356152141819,89.91373260004465
V_given_C,C_Z,56,5.943511738629533,9.080902926236792,0.8173576280887154,18.489664151376886,100.0
V_given_C,C_Q,56,6.1857756073020775,9.399870345972907,0.8043016342494723,25.972413220158813,100.0
V_given_C,C_Q_Z,56,6.541059507601793,9.926431286568347,0.7817623112926649,25.456428978431795,100.0
V_given_C,C_SHUFFLED_Z,56,5.977103113840848,9.060699635765864,0.8181694134743385,17.522430806294665,100.0
V_given_C_and_A,MEAN,56,18.222447691197694,21.62597455113253,-0.03584517501068052,79.05555555555556,82.61111111111111
V_given_C_and_A,C_LINEAR,56,6.8381742798656076,9.318577465556617,0.8076719129612023,32.41755867083172,100.0
V_given_C_and_A,C_BEST,56,5.2805584726891635,7.982242122818865,0.8588784732906951,20.517330321439857,100.0
V_given_C_and_A,Z_ONLY,56,18.10763318028134,21.409649447267874,-0.015225657553894267,71.00356152141819,89.91373260004465
V_given_C_and_A,C_Z,56,5.232824536018614,8.056505813187156,0.8562403781067927,20.517330321439857,100.0
V_given_C_and_A,C_Q,56,5.962151123590991,8.848044658286396,0.8266043954753194,25.93054552485303,100.0
V_given_C_and_A,C_Q_Z,56,6.109906567103349,9.069184478213371,0.8178287055122673,25.93054552485303,100.0
V_given_C_and_A,C_SHUFFLED_Z,56,5.202238698970577,8.150179286789953,0.8528779400608888,19.565148770774904,100.0
